# STATION: D1021
# STATION NAME: DW1021 Borrego Springs
# LATITUDE: 33.19283
# LONGITUDE: -116.27867
# ELEVATION [ft]: 587
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_since_local_midnight_set_1,solar_radiation_set_1,precip_accum_set_1,precip_accum_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Millimeters,W/m**2,Millimeters,Millimeters,Celsius,Celsius,code,Pascals,Pascals,Celsius
D1021,02/01/2020 00:10 UTC,102302.75,25.0,12.0,0.45,73.0,1.79,0.0,179.0,,0.0,-6.31,,ENE,100150.86,102221.05,
D1021,02/01/2020 00:16 UTC,102302.75,24.44,13.0,1.34,74.0,2.23,0.0,158.0,,0.0,-5.72,,ENE,100150.86,102224.98,
D1021,02/01/2020 00:20 UTC,102336.62,24.44,13.0,0.45,74.0,1.79,0.0,111.0,,0.0,-5.72,,ENE,100184.02,102258.82,
D1021,02/01/2020 00:25 UTC,102336.62,23.89,13.0,0.0,,1.79,0.0,95.0,,0.0,-6.16,,,100184.02,102262.7,
D1021,02/01/2020 00:32 UTC,102336.62,23.89,13.0,0.0,,1.79,0.0,79.0,,0.0,-6.16,,,100184.02,102262.7,
D1021,02/01/2020 00:35 UTC,102336.62,23.89,14.0,0.45,74.0,1.79,0.0,63.0,,0.0,-5.2,,ENE,100184.02,102262.7,
D1021,02/01/2020 00:40 UTC,102336.62,23.89,14.0,0.45,74.0,1.79,0.0,49.0,,0.0,-5.2,,ENE,100184.02,102262.7,
D1021,02/01/2020 00:45 UTC,102336.62,23.89,14.0,0.0,,1.34,0.0,35.0,,0.0,-5.2,,,100184.02,102262.7,
D1021,02/01/2020 00:50 UTC,102336.62,23.33,14.0,0.0,,0.9,0.0,18.0,,0.0,-5.65,,,100184.02,102266.66,
D1021,02/01/2020 00:55 UTC,102336.62,23.33,14.0,0.0,,0.9,0.0,14.0,,0.0,-5.65,,,100184.02,102266.66,
D1021,02/01/2020 01:00 UTC,102336.62,22.78,15.0,0.0,,0.9,0.0,12.0,,0.0,-5.19,,,100184.02,102270.56,
D1021,02/01/2020 01:05 UTC,102370.48,22.78,15.0,0.0,,0.9,0.0,9.0,,0.0,-5.19,,,100217.17,102304.4,
D1021,02/01/2020 01:10 UTC,102336.62,22.78,15.0,0.0,,0.9,0.0,7.0,,0.0,-5.19,,,100184.02,102270.56,
D1021,02/01/2020 01:16 UTC,102370.48,22.22,17.0,0.0,,0.9,0.0,5.0,,0.0,-4.01,,,100217.17,102308.38,
D1021,02/01/2020 01:20 UTC,102370.48,21.67,17.0,0.0,,0.9,0.0,0.0,,0.0,-4.46,,,100217.17,102312.32,
D1021,02/01/2020 01:25 UTC,102370.48,21.67,18.0,0.45,74.0,1.34,0.0,0.0,,0.0,-3.7,,ENE,100217.17,102312.32,
D1021,02/01/2020 01:30 UTC,102370.48,20.56,18.0,0.45,74.0,1.34,0.0,0.0,,0.0,-4.62,,ENE,100217.17,102320.3,
D1021,02/01/2020 01:35 UTC,102370.48,20.0,19.0,0.45,74.0,1.34,0.0,0.0,,0.0,-4.37,,ENE,100217.17,102324.36,
D1021,02/01/2020 01:40 UTC,102404.34,19.44,19.0,0.45,74.0,1.34,0.0,0.0,,0.0,-4.84,,ENE,100250.32,102362.27,
D1021,02/01/2020 01:46 UTC,102404.34,19.44,20.0,0.45,74.0,1.34,0.0,0.0,,0.0,-4.16,,ENE,100250.32,102362.27,
D1021,02/01/2020 01:50 UTC,102404.34,18.89,20.0,0.9,74.0,1.79,0.0,0.0,,0.0,-4.62,,ENE,100250.32,102366.28,
D1021,02/01/2020 01:55 UTC,102404.34,18.89,20.0,1.34,87.0,2.23,0.0,0.0,,0.0,-4.62,,E,100250.32,102366.28,
D1021,02/01/2020 02:01 UTC,102404.34,18.89,21.0,0.9,87.0,2.23,0.0,0.0,,0.0,-3.97,,E,100250.32,102366.28,
D1021,02/01/2020 02:05 UTC,102404.34,18.33,21.0,0.9,87.0,1.79,0.0,0.0,,0.0,-4.44,,E,100250.32,102370.38,
D1021,02/01/2020 02:10 UTC,102404.34,17.78,21.0,0.45,87.0,1.79,0.0,0.0,,0.0,-4.91,,E,100250.32,102374.43,
D1021,02/01/2020 02:16 UTC,102404.34,17.78,21.0,0.45,87.0,1.34,0.0,0.0,,0.0,-4.91,,E,100250.32,102374.43,
D1021,02/01/2020 02:20 UTC,102438.21,17.22,22.0,0.9,87.0,1.34,0.0,0.0,,0.0,-4.76,,E,100283.48,102412.42,
D1021,02/01/2020 02:25 UTC,102438.21,17.22,23.0,0.45,87.0,1.34,0.0,0.0,,0.0,-4.18,,E,100283.48,102412.42,
D1021,02/01/2020 02:32 UTC,102438.21,16.67,23.0,0.45,87.0,0.9,0.0,0.0,,0.0,-4.64,,E,100283.48,102416.49,
D1021,02/01/2020 02:35 UTC,102438.21,16.67,23.0,0.45,87.0,0.9,0.0,0.0,,0.0,-4.64,,E,100283.48,102416.49,
D1021,02/01/2020 02:40 UTC,102438.21,16.67,23.0,0.45,87.0,1.34,0.0,0.0,,0.0,-4.64,,E,100283.48,102416.49,
D1021,02/01/2020 02:46 UTC,102438.21,16.11,23.0,0.45,87.0,1.34,0.0,0.0,,0.0,-5.12,,E,100283.48,102420.66,
D1021,02/01/2020 02:50 UTC,102438.21,16.11,23.0,0.45,87.0,0.9,0.0,0.0,,0.0,-5.12,,E,100283.48,102420.66,
D1021,02/01/2020 02:55 UTC,102438.21,16.11,25.0,0.0,,0.9,0.0,0.0,,0.0,-4.02,,,100283.48,102420.66,
D1021,02/01/2020 03:01 UTC,102472.07,16.11,25.0,0.0,,0.45,0.0,0.0,,0.0,-4.02,,,100316.62,102454.5,
D1021,02/01/2020 03:05 UTC,102472.07,15.56,25.0,0.45,87.0,0.9,0.0,0.0,,0.0,-4.49,,E,100316.62,102458.61,
D1021,02/01/2020 03:10 UTC,102472.07,15.56,24.0,0.0,,0.9,0.0,0.0,,0.0,-5.03,,,100316.62,102458.61,
D1021,02/01/2020 03:15 UTC,102505.93,15.56,24.0,0.0,,0.45,0.0,0.0,,0.0,-5.03,,,100349.77,102492.47,
D1021,02/01/2020 03:20 UTC,102505.93,15.0,26.0,0.0,,0.9,0.0,0.0,,0.0,-4.45,,,100349.77,102496.67,
D1021,02/01/2020 03:25 UTC,102505.93,15.0,28.0,0.0,,0.9,0.0,0.0,,0.0,-3.46,,,100349.77,102496.67,
D1021,02/01/2020 03:32 UTC,102505.93,14.44,27.0,0.0,,0.9,0.0,0.0,,0.0,-4.43,,,100349.77,102500.89,
D1021,02/01/2020 03:35 UTC,102505.93,14.44,27.0,0.0,,0.0,0.0,0.0,,0.0,-4.43,,,100349.77,102500.89,
D1021,02/01/2020 03:40 UTC,102505.93,14.44,27.0,0.0,,0.0,0.0,0.0,,0.0,-4.43,,,100349.77,102500.89,
D1021,02/01/2020 03:45 UTC,102505.93,14.44,28.0,0.0,,0.9,0.0,0.0,,0.0,-3.95,,,100349.77,102500.88,
D1021,02/01/2020 03:50 UTC,102505.93,14.44,26.0,0.9,87.0,1.34,0.0,0.0,,0.0,-4.93,,E,100349.77,102500.89,
D1021,02/01/2020 03:55 UTC,102505.93,14.44,28.0,0.45,87.0,1.34,0.0,0.0,,0.0,-3.95,,E,100349.77,102500.88,
D1021,02/01/2020 04:01 UTC,102505.93,14.44,28.0,0.9,87.0,1.34,0.0,0.0,,0.0,-3.95,,E,100349.77,102500.88,
D1021,02/01/2020 04:05 UTC,102505.93,13.89,28.0,1.34,87.0,1.79,0.0,0.0,,0.0,-4.42,,E,100349.77,102505.04,
D1021,02/01/2020 04:10 UTC,102505.93,13.33,27.0,1.34,87.0,1.79,0.0,0.0,,0.0,-5.39,,E,100349.77,102509.3,
D1021,02/01/2020 04:16 UTC,102505.93,13.89,26.0,1.34,87.0,2.23,0.0,0.0,,0.0,-5.4,,E,100349.77,102505.05,
D1021,02/01/2020 04:20 UTC,102505.93,14.44,26.0,1.34,87.0,2.23,0.0,0.0,,0.0,-4.93,,E,100349.77,102500.89,
D1021,02/01/2020 04:25 UTC,102505.93,14.44,25.0,1.34,90.0,2.68,0.0,0.0,,0.0,-5.45,,E,100349.77,102500.89,
D1021,02/01/2020 04:31 UTC,102539.8,14.44,28.0,0.45,90.0,2.68,0.0,0.0,,0.0,-3.95,,E,100382.93,102534.75,
D1021,02/01/2020 04:35 UTC,102539.8,14.44,25.0,1.34,90.0,1.79,0.0,0.0,,0.0,-5.45,,E,100382.93,102534.76,
D1021,02/01/2020 04:40 UTC,102539.8,14.44,26.0,1.34,90.0,1.79,0.0,0.0,,0.0,-4.93,,E,100382.93,102534.76,
D1021,02/01/2020 04:45 UTC,102539.8,13.89,26.0,0.9,90.0,1.79,0.0,0.0,,0.0,-5.4,,E,100382.93,102538.92,
D1021,02/01/2020 04:50 UTC,102539.8,14.44,27.0,0.9,90.0,1.79,0.0,0.0,,0.0,-4.43,,E,100382.93,102534.76,
D1021,02/01/2020 04:55 UTC,102539.8,14.44,26.0,0.9,90.0,1.79,0.0,0.0,,0.0,-4.93,,E,100382.93,102534.76,
D1021,02/01/2020 05:02 UTC,102539.8,14.44,26.0,0.9,90.0,1.79,0.0,0.0,,0.0,-4.93,,E,100382.93,102534.76,
D1021,02/01/2020 05:05 UTC,102539.8,15.0,27.0,0.9,90.0,1.34,0.0,0.0,,0.0,-3.95,,E,100382.93,102530.54,
D1021,02/01/2020 05:10 UTC,102539.8,15.0,26.0,0.45,90.0,1.34,0.0,0.0,,0.0,-4.45,,E,100382.93,102530.54,
D1021,02/01/2020 05:16 UTC,102539.8,15.0,26.0,0.45,90.0,1.34,0.0,0.0,,0.0,-4.45,,E,100382.93,102530.54,
D1021,02/01/2020 05:20 UTC,102539.8,15.0,27.0,0.45,90.0,1.79,0.0,0.0,,0.0,-3.95,,E,100382.93,102530.54,
D1021,02/01/2020 05:25 UTC,102539.8,14.44,27.0,0.9,90.0,1.79,0.0,0.0,,0.0,-4.43,,E,100382.93,102534.76,
D1021,02/01/2020 05:31 UTC,102539.8,13.33,28.0,0.9,90.0,1.34,0.0,0.0,,0.0,-4.91,,E,100382.93,102543.17,
D1021,02/01/2020 05:35 UTC,102539.8,13.33,28.0,0.45,90.0,1.34,0.0,0.0,,0.0,-4.91,,E,100382.93,102543.17,
D1021,02/01/2020 05:40 UTC,102539.8,13.33,28.0,0.0,,0.9,0.0,0.0,,0.0,-4.91,,,100382.93,102543.17,
D1021,02/01/2020 05:46 UTC,102539.8,13.89,28.0,0.0,,0.0,0.0,0.0,,0.0,-4.42,,,100382.93,102538.91,
D1021,02/01/2020 05:50 UTC,102539.8,13.89,29.0,0.0,,0.0,0.0,0.0,,0.0,-3.96,,,100382.93,102538.91,
D1021,02/01/2020 05:55 UTC,102539.8,13.89,30.0,0.9,90.0,1.34,0.0,0.0,,0.0,-3.51,,E,100382.93,102538.91,
D1021,02/01/2020 06:01 UTC,102539.8,13.33,27.0,0.9,90.0,1.34,0.0,0.0,,0.0,-5.39,,E,100382.93,102543.17,
D1021,02/01/2020 06:05 UTC,102539.8,13.33,28.0,0.0,,1.34,0.0,0.0,,0.0,-4.91,,,100382.93,102543.17,
D1021,02/01/2020 06:10 UTC,102539.8,13.33,28.0,0.0,,0.9,0.0,0.0,,0.0,-4.91,,,100382.93,102543.17,
D1021,02/01/2020 06:16 UTC,102539.8,13.33,28.0,0.45,90.0,0.9,0.0,0.0,,0.0,-4.91,,E,100382.93,102543.17,
D1021,02/01/2020 06:21 UTC,102539.8,13.33,27.0,0.45,90.0,0.9,0.0,0.0,,0.0,-5.39,,E,100382.93,102543.17,
D1021,02/01/2020 06:25 UTC,102539.8,13.33,26.0,0.45,90.0,1.34,0.0,0.0,,0.0,-5.89,,E,100382.93,102543.17,
D1021,02/01/2020 06:31 UTC,102539.8,13.33,27.0,0.45,90.0,1.34,0.0,0.0,,0.0,-5.39,,E,100382.93,102543.17,
