# STATION: IMPSD
# STATION NAME: Imperial Valley
# LATITUDE: 32.74500
# LONGITUDE: -116.03760
# ELEVATION [ft]: 637
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
IMPSD,01/31/2020 23:00 PST,,,17.7,18.75,3.5,238.6,4.15,12.3,,-6.45,,WSW,,,,,,
IMPSD,01/31/2020 23:10 PST,,,17.86,18.33,3.33,242.2,4.15,12.3,,-6.61,,WSW,,,,,,
IMPSD,01/31/2020 23:20 PST,,,17.22,18.94,3.15,245.2,3.98,12.3,,-6.72,,WSW,,,,,,
IMPSD,01/31/2020 23:30 PST,,,18.07,17.71,3.5,235.7,4.38,12.3,,-6.89,,SW,,,,,,
IMPSD,01/31/2020 23:40 PST,,,17.88,17.78,3.45,229.1,4.38,12.29,,-6.99,,SW,,,,,,
IMPSD,01/31/2020 23:50 PST,,,18.02,17.37,3.12,239.3,4.02,12.29,,-7.18,,WSW,,,,,,
IMPSD,02/01/2020 00:00 PST,,,17.97,17.32,2.26,245.7,3.56,12.29,,-7.26,,WSW,,,,,,
IMPSD,02/01/2020 00:10 PST,,,17.86,17.38,2.51,248.5,3.56,12.29,,-7.3,,WSW,,,,,,
IMPSD,02/01/2020 00:20 PST,,,17.83,17.27,2.75,248.2,3.72,12.28,,-7.41,,WSW,,,,,,
IMPSD,02/01/2020 00:30 PST,,,17.81,17.29,2.34,254.1,3.53,12.28,,-7.41,,WSW,,,,,,
IMPSD,02/01/2020 00:40 PST,,,17.32,17.94,2.04,257.4,3.46,12.28,,-7.34,,WSW,,,,,,
IMPSD,02/01/2020 00:50 PST,,,16.66,18.67,1.85,260.9,2.84,12.28,,-7.37,,W,,,,,,
IMPSD,02/01/2020 01:00 PST,,,16.89,18.32,2.36,258.0,3.69,12.27,,-7.43,,WSW,,,,,,
IMPSD,02/01/2020 01:10 PST,,,16.89,18.21,2.56,256.1,3.92,12.27,,-7.5,,WSW,,,,,,
IMPSD,02/01/2020 01:20 PST,,,17.31,17.52,2.69,250.6,3.85,12.27,,-7.65,,WSW,,,,,,
IMPSD,02/01/2020 01:30 PST,,,17.6,17.05,2.94,239.7,3.72,12.26,,-7.76,,WSW,,,,,,
IMPSD,02/01/2020 01:40 PST,,,17.71,16.82,3.04,238.2,4.02,12.26,,-7.85,,WSW,,,,,,
IMPSD,02/01/2020 01:50 PST,,,17.38,17.21,2.48,252.7,3.36,12.26,,-7.82,,WSW,,,,,,
IMPSD,02/01/2020 02:00 PST,,,16.48,18.26,2.21,259.7,3.82,12.26,,-7.81,,W,,,,,,
