# STATION: BLCSD
# STATION NAME: Black Canyon
# LATITUDE: 33.09856
# LONGITUDE: -116.82758
# ELEVATION [ft]: 1897
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Celsius,Celsius,Pascals
BLCSD,02/01/2020 00:00 UTC,,22.98,9.44,3.43,63.42,5.52,13.03,,-10.92,,ENE,,,,
BLCSD,02/01/2020 00:10 UTC,,22.91,9.18,2.69,69.43,4.25,13.03,,-11.32,,ENE,,,,
BLCSD,02/01/2020 00:20 UTC,,23.09,9.74,1.7,32.17,3.63,13.03,,-10.45,,NNE,,,,
BLCSD,02/01/2020 00:30 UTC,,22.66,18.37,1.14,326.9,2.35,13.04,,-2.61,,NNW,,,,
BLCSD,02/01/2020 00:40 UTC,,21.85,22.14,1.21,352.4,2.19,13.04,,-0.77,,N,,,,
BLCSD,02/01/2020 00:50 UTC,,21.8,10.99,2.08,64.4,4.12,13.06,,-9.95,,ENE,,,,
BLCSD,02/01/2020 01:00 UTC,,21.08,10.35,3.32,53.98,5.72,12.57,,-11.25,,NE,,,,
BLCSD,02/01/2020 01:10 UTC,,20.39,11.24,3.98,58.41,5.92,12.34,,-10.77,,ENE,,,,
BLCSD,02/01/2020 01:20 UTC,,20.07,11.31,4.22,49.96,5.72,12.31,,-10.95,,NE,,,,
BLCSD,02/01/2020 01:30 UTC,,20.08,10.81,3.73,46.52,5.92,12.29,,-11.5,,NE,,,,
BLCSD,02/01/2020 01:40 UTC,,19.29,12.55,4.07,58.88,6.04,12.28,,-10.27,,ENE,,,,
BLCSD,02/01/2020 01:50 UTC,,18.87,12.57,3.47,51.07,5.75,12.26,,-10.58,,NE,,,,
BLCSD,02/01/2020 02:00 UTC,,17.37,14.56,3.05,5.55,3.88,12.26,,-9.95,,N,,,,
BLCSD,02/01/2020 02:10 UTC,,16.62,15.0,3.16,3.94,4.25,12.25,,-10.18,,N,,,,
BLCSD,02/01/2020 02:20 UTC,,16.7,14.64,3.25,6.9,4.48,12.24,,-10.42,,N,,,,
BLCSD,02/01/2020 02:30 UTC,,16.6,14.44,3.96,28.33,5.42,12.24,,-10.67,,NNE,,,,
BLCSD,02/01/2020 02:40 UTC,,17.65,12.02,3.87,35.05,4.7,12.23,,-12.1,,NE,,,,
BLCSD,02/01/2020 02:50 UTC,,18.17,10.95,3.36,22.02,4.57,12.23,,-12.83,,NNE,,,,
BLCSD,02/01/2020 03:00 UTC,,17.59,11.53,3.26,12.51,4.44,12.22,,-12.66,,NNE,,,,
BLCSD,02/01/2020 03:10 UTC,,17.04,11.56,3.96,18.01,5.1,12.22,,-13.06,,NNE,,,,
BLCSD,02/01/2020 03:20 UTC,,18.38,9.88,3.46,34.04,4.67,12.22,,-13.91,,NE,,,,
BLCSD,02/01/2020 03:30 UTC,,18.32,10.07,3.49,56.14,4.73,12.22,,-13.73,,NE,,,,
BLCSD,02/01/2020 03:40 UTC,,18.03,10.28,2.76,76.34,4.77,12.21,,-13.71,,ENE,,,,
BLCSD,02/01/2020 03:50 UTC,,18.19,11.09,3.81,65.42,6.11,12.21,,-12.66,,ENE,,,,
BLCSD,02/01/2020 04:00 UTC,,17.39,12.3,3.06,72.32,4.83,12.21,,-12.03,,ENE,,,,
BLCSD,02/01/2020 04:10 UTC,,17.25,12.83,2.86,63.32,5.2,12.21,,-11.62,,ENE,,,,
BLCSD,02/01/2020 04:20 UTC,,17.47,12.69,3.45,62.38,6.08,12.2,,-11.58,,ENE,,,,
BLCSD,02/01/2020 04:30 UTC,,17.26,13.04,2.06,76.46,4.7,12.21,,-11.41,,ENE,,,,
BLCSD,02/01/2020 04:40 UTC,,17.22,13.27,1.79,72.68,3.76,12.2,,-11.23,,ENE,,,,
BLCSD,02/01/2020 04:50 UTC,,17.24,13.3,2.06,71.39,4.12,12.19,,-11.18,,ENE,,,,
BLCSD,02/01/2020 05:00 UTC,,16.59,14.16,3.01,88.3,4.87,12.19,,-10.93,,E,,,,
BLCSD,02/01/2020 05:10 UTC,,16.49,14.44,3.24,81.4,5.13,12.19,,-10.76,,E,,,,
BLCSD,02/01/2020 05:20 UTC,,16.68,14.39,2.84,81.2,4.31,12.19,,-10.65,,E,,,,
BLCSD,02/01/2020 05:30 UTC,,16.95,13.98,3.45,72.02,4.51,12.18,,-10.8,,ENE,,,,
BLCSD,02/01/2020 05:40 UTC,,17.44,13.49,3.44,67.18,5.03,12.19,,-10.85,,ENE,,,,
BLCSD,02/01/2020 05:50 UTC,,17.39,13.37,3.44,72.86,4.87,12.18,,-11.0,,ENE,,,,
BLCSD,02/01/2020 06:00 UTC,,17.53,13.16,3.34,75.04,4.41,12.18,,-11.08,,ENE,,,,
BLCSD,02/01/2020 06:10 UTC,,17.73,12.87,3.41,76.06,4.7,12.18,,-11.2,,ENE,,,,
BLCSD,02/01/2020 06:20 UTC,,17.32,13.22,3.28,62.61,4.7,12.18,,-11.19,,ENE,,,,
BLCSD,02/01/2020 06:30 UTC,,16.73,13.37,2.84,16.74,4.21,12.17,,-11.53,,NNE,,,,
BLCSD,02/01/2020 06:40 UTC,,16.97,13.09,2.5,29.54,4.21,12.17,,-11.59,,NNE,,,,
BLCSD,02/01/2020 06:50 UTC,,16.66,12.72,1.27,30.34,3.56,12.17,,-12.19,,NNE,,,,
BLCSD,02/01/2020 07:00 UTC,,17.12,11.61,4.07,65.6,5.26,12.16,,-12.95,,ENE,,,,
BLCSD,02/01/2020 07:10 UTC,,16.48,12.15,3.2,41.0,5.39,12.16,,-12.9,,NE,,,,
BLCSD,02/01/2020 07:20 UTC,,16.32,11.94,3.83,15.53,4.8,12.16,,-13.24,,NNE,,,,
BLCSD,02/01/2020 07:30 UTC,,16.38,11.73,3.18,6.88,4.12,12.16,,-13.4,,N,,,,
BLCSD,02/01/2020 07:40 UTC,,17.63,9.35,1.64,25.96,2.74,12.15,,-15.15,,NNE,,,,
BLCSD,02/01/2020 07:50 UTC,,18.9,8.13,1.98,29.92,3.17,12.15,,-15.84,,NNE,,,,
