# STATION: CLMSD
# STATION NAME: Creelman
# LATITUDE: 33.01569
# LONGITUDE: -116.87093
# ELEVATION [ft]: 1441
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
CLMSD,01/31/2020 23:00 PST,,,11.46,34.32,1.2,48.2,2.45,12.26,,-3.85,,NE,,,,,,
CLMSD,01/31/2020 23:10 PST,,,10.99,35.26,0.31,167.3,1.31,12.25,,-3.9,,SSE,,,,,,
CLMSD,01/31/2020 23:20 PST,,,10.12,37.88,1.26,240.7,1.73,12.25,,-3.72,,WSW,,,,,,
CLMSD,01/31/2020 23:30 PST,,,11.53,32.26,0.95,227.2,1.7,12.25,,-4.61,,SW,,,,,,
CLMSD,01/31/2020 23:40 PST,,,10.94,33.64,0.6,276.1,1.44,12.24,,-4.57,,W,,,,,,
CLMSD,01/31/2020 23:50 PST,,,10.67,35.19,0.12,198.5,0.78,12.24,,-4.21,,SSW,,,,,,
CLMSD,02/01/2020 00:00 PST,,,10.87,32.78,0.4,185.5,1.01,12.24,,-4.98,,S,,,,,,
CLMSD,02/01/2020 00:10 PST,,,10.3,34.6,0.31,61.87,1.31,12.23,,-4.77,,ENE,,,,,,
CLMSD,02/01/2020 00:20 PST,,,10.7,33.09,0.19,266.2,1.37,12.23,,-5.0,,W,,,,,,
CLMSD,02/01/2020 00:30 PST,,,10.56,33.03,0.96,286.2,1.96,12.22,,-5.15,,WNW,,,,,,
CLMSD,02/01/2020 00:40 PST,,,10.91,30.11,0.0,,0.0,12.22,,-6.06,,,,,,,,
CLMSD,02/01/2020 00:50 PST,,,10.58,31.35,0.0,,0.0,12.22,,-5.82,,,,,,,,
CLMSD,02/01/2020 01:00 PST,,,10.65,31.24,0.19,220.4,1.01,12.21,,-5.81,,SW,,,,,,
CLMSD,02/01/2020 01:10 PST,,,10.47,32.18,0.87,214.1,1.86,12.21,,-5.58,,SW,,,,,,
CLMSD,02/01/2020 01:20 PST,,,10.56,30.46,1.32,318.7,2.32,12.21,,-6.22,,NW,,,,,,
CLMSD,02/01/2020 01:30 PST,,,12.94,21.93,1.27,252.3,2.06,12.2,,-8.42,,WSW,,,,,,
CLMSD,02/01/2020 01:40 PST,,,12.44,24.01,0.72,279.7,2.03,12.2,,-7.68,,W,,,,,,
CLMSD,02/01/2020 01:50 PST,,,11.74,26.16,0.23,198.4,1.18,12.2,,-7.17,,SSW,,,,,,
CLMSD,02/01/2020 02:00 PST,,,10.31,30.21,0.44,295.2,1.21,12.2,,-6.54,,WNW,,,,,,
CLMSD,02/01/2020 02:10 PST,,,11.27,26.46,0.15,246.6,0.98,12.19,,-7.43,,WSW,,,,,,
CLMSD,02/01/2020 02:20 PST,,,10.0,29.59,0.57,301.4,1.86,12.19,,-7.08,,WNW,,,,,,
CLMSD,02/01/2020 02:30 PST,,,11.74,24.55,1.12,234.6,1.86,12.19,,-7.99,,SW,,,,,,
CLMSD,02/01/2020 02:40 PST,,,9.81,31.47,1.39,211.6,1.99,12.18,,-6.45,,SSW,,,,,,
CLMSD,02/01/2020 02:50 PST,,,9.9,30.34,0.8,205.4,1.44,12.18,,-6.85,,SSW,,,,,,
CLMSD,02/01/2020 03:00 PST,,,9.93,29.08,0.27,148.3,1.08,12.18,,-7.37,,SSE,,,,,,
CLMSD,02/01/2020 03:10 PST,,,10.22,26.81,0.72,85.9,1.5,12.17,,-8.17,,E,,,,,,
CLMSD,02/01/2020 03:20 PST,,,11.01,25.0,1.52,111.4,2.03,12.17,,-8.39,,ESE,,,,,,
CLMSD,02/01/2020 03:30 PST,,,10.27,28.15,0.43,157.6,1.28,12.17,,-7.5,,SSE,,,,,,
CLMSD,02/01/2020 03:40 PST,,,8.54,33.26,0.0,,0.0,12.16,,-6.85,,,,,,,,
CLMSD,02/01/2020 03:50 PST,,,9.75,27.58,0.31,151.5,1.47,12.16,,-8.21,,SSE,,,,,,
CLMSD,02/01/2020 04:00 PST,,,7.97,38.47,0.8,249.3,1.31,12.16,,-5.44,,WSW,,,,,,
CLMSD,02/01/2020 04:10 PST,,,8.68,33.87,0.73,236.2,1.63,12.16,,-6.48,,SW,,,,,,
CLMSD,02/01/2020 04:20 PST,,,9.33,29.93,0.59,97.2,1.6,12.15,,-7.52,,E,,,,,,
CLMSD,02/01/2020 04:30 PST,,,10.8,25.39,0.85,107.8,1.4,12.15,,-8.37,,ESE,,,,,,
CLMSD,02/01/2020 04:40 PST,,,10.38,27.43,0.0,,0.0,12.14,,-7.74,,,,,,,,
CLMSD,02/01/2020 04:50 PST,,,9.99,27.53,0.3,91.8,1.93,12.14,,-8.03,,E,,,,,,
CLMSD,02/01/2020 05:00 PST,,,12.27,22.16,0.59,81.0,1.18,12.14,,-8.85,,E,,,,,,
CLMSD,02/01/2020 05:10 PST,,,11.33,28.31,0.29,204.9,0.92,12.14,,-6.5,,SSW,,,,,,
CLMSD,02/01/2020 05:20 PST,,,8.66,34.55,0.38,191.5,2.06,12.13,,-6.24,,SSW,,,,,,
CLMSD,02/01/2020 05:30 PST,,,8.94,34.74,0.86,232.2,2.22,12.13,,-5.92,,SW,,,,,,
CLMSD,02/01/2020 05:40 PST,,,9.5,33.31,1.02,217.1,1.76,12.13,,-5.98,,SW,,,,,,
CLMSD,02/01/2020 05:50 PST,,,9.24,36.75,0.34,201.4,1.67,12.13,,-4.91,,SSW,,,,,,
CLMSD,02/01/2020 06:00 PST,,,9.52,33.5,0.32,222.7,1.31,12.13,,-5.89,,SW,,,,,,
CLMSD,02/01/2020 06:10 PST,,,9.89,30.92,0.06,207.4,0.85,12.12,,-6.61,,SSW,,,,,,
CLMSD,02/01/2020 06:20 PST,,,9.26,32.34,0.0,,0.0,12.12,,-6.58,,,,,,,,
CLMSD,02/01/2020 06:30 PST,,,8.86,34.36,0.05,237.2,0.88,12.11,,-6.14,,WSW,,,,,,
CLMSD,02/01/2020 06:40 PST,,,8.96,36.61,0.13,217.9,0.85,12.11,,-5.21,,SW,,,,,,
CLMSD,02/01/2020 06:50 PST,,,8.33,38.96,0.0,,0.0,12.11,,-4.95,,,,,,,,
CLMSD,02/01/2020 07:00 PST,,,8.34,37.59,0.0,,0.0,12.12,,-5.42,,,,,,,,
CLMSD,02/01/2020 07:10 PST,,,9.48,32.6,0.0,,0.0,12.18,,-6.28,,,,,,,,
CLMSD,02/01/2020 07:20 PST,,,11.68,26.28,0.21,75.19,1.04,12.3,,-7.17,,ENE,,,,,,
CLMSD,02/01/2020 07:30 PST,,,11.81,26.97,1.15,72.24,1.53,12.49,,-6.72,,ENE,,,,,,
CLMSD,02/01/2020 07:40 PST,,,12.24,27.79,1.58,63.01,2.06,12.69,,-5.96,,ENE,,,,,,
CLMSD,02/01/2020 07:50 PST,,,13.02,27.3,1.68,86.1,2.35,12.88,,-5.51,,E,,,,,,
CLMSD,02/01/2020 08:00 PST,,,13.93,25.58,1.31,80.9,2.03,13.04,,-5.58,,E,,,,,,
CLMSD,02/01/2020 08:10 PST,,,14.52,28.44,1.38,88.3,1.8,13.18,,-3.67,,E,,,,,,
CLMSD,02/01/2020 08:20 PST,,,15.28,28.61,1.34,75.59,1.6,13.22,,-2.93,,ENE,,,,,,
