# STATION: CTMSD
# STATION NAME: Corte Madera
# LATITUDE: 32.78287
# LONGITUDE: -116.54971
# ELEVATION [ft]: 4009
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
CTMSD,02/01/2020 00:00 UTC,,,18.33,15.0,3.58,275.0,4.92,,,-8.8,,W,,,,,,
CTMSD,02/01/2020 00:10 UTC,,,17.22,16.0,3.58,283.0,4.92,,,-8.88,,WNW,,,,,,
CTMSD,02/01/2020 00:20 UTC,,,17.22,16.0,2.68,283.0,4.02,,,-8.88,,WNW,,,,,,
CTMSD,02/01/2020 00:30 UTC,,,16.67,15.0,2.68,289.0,3.58,,,-10.14,,WNW,,,,,,
CTMSD,02/01/2020 00:40 UTC,,,16.67,13.0,1.79,330.0,4.47,,,-11.92,,NNW,,,,,,
CTMSD,02/01/2020 00:50 UTC,,,15.56,10.0,2.68,344.0,4.47,,,-15.95,,NNW,,,,,,
CTMSD,02/01/2020 01:00 UTC,,,15.0,11.0,0.9,332.0,1.79,,,-15.26,,NNW,,,,,,
CTMSD,02/01/2020 01:10 UTC,,,13.89,11.0,1.79,303.0,2.23,,,-16.13,,WNW,,,,,,
CTMSD,02/01/2020 01:20 UTC,,,13.89,11.0,2.23,356.0,3.58,,,-16.13,,N,,,,,,
CTMSD,02/01/2020 01:30 UTC,,,12.78,12.0,1.34,313.0,2.23,,,-15.97,,NW,,,,,,
CTMSD,02/01/2020 01:40 UTC,,,12.78,13.0,1.34,327.0,1.79,,,-15.02,,NNW,,,,,,
CTMSD,02/01/2020 01:50 UTC,,,12.22,12.0,1.79,349.0,2.68,,,-16.42,,N,,,,,,
CTMSD,02/01/2020 02:00 UTC,,,11.67,12.0,0.9,316.0,1.79,,,-16.85,,NW,,,,,,
CTMSD,02/01/2020 02:10 UTC,,,11.67,11.0,1.34,29.0,3.13,,,-17.87,,NNE,,,,,,
CTMSD,02/01/2020 02:20 UTC,,,11.67,10.0,2.23,0.0,4.02,,,-18.97,,N,,,,,,
CTMSD,02/01/2020 02:30 UTC,,,12.22,8.0,3.58,26.0,4.47,,,-21.08,,NNE,,,,,,
CTMSD,02/01/2020 02:40 UTC,,,12.22,7.0,2.68,28.0,4.47,,,-22.56,,NNE,,,,,,
CTMSD,02/01/2020 02:50 UTC,,,12.78,7.0,2.68,2.0,3.58,,,-22.15,,N,,,,,,
CTMSD,02/01/2020 03:00 UTC,,,12.78,7.0,2.68,12.0,4.47,,,-22.15,,NNE,,,,,,
CTMSD,02/01/2020 03:10 UTC,,,13.33,7.0,1.79,0.0,3.58,,,-21.74,,N,,,,,,
CTMSD,02/01/2020 03:20 UTC,,,12.78,8.0,2.23,10.0,3.13,,,-20.66,,N,,,,,,
CTMSD,02/01/2020 03:30 UTC,,,12.78,8.0,1.79,351.0,3.13,,,-20.66,,N,,,,,,
CTMSD,02/01/2020 03:40 UTC,,,12.22,8.0,0.9,267.0,2.23,,,-21.08,,W,,,,,,
CTMSD,02/01/2020 03:50 UTC,,,13.33,7.0,1.79,289.0,3.13,,,-21.74,,WNW,,,,,,
CTMSD,02/01/2020 04:00 UTC,,,13.89,7.0,0.9,318.0,1.79,,,-21.32,,NW,,,,,,
CTMSD,02/01/2020 04:10 UTC,,,13.89,7.0,0.9,304.0,1.79,,,-21.32,,NW,,,,,,
CTMSD,02/01/2020 04:20 UTC,,,13.33,8.0,1.34,352.0,2.23,,,-20.24,,N,,,,,,
CTMSD,02/01/2020 04:30 UTC,,,13.89,8.0,2.23,327.0,3.58,,,-19.82,,NNW,,,,,,
CTMSD,02/01/2020 04:40 UTC,,,12.78,10.0,1.34,335.0,3.13,,,-18.11,,NNW,,,,,,
CTMSD,02/01/2020 04:50 UTC,,,12.78,10.0,1.79,311.0,2.23,,,-18.11,,NW,,,,,,
CTMSD,02/01/2020 05:00 UTC,,,13.33,10.0,0.9,297.0,2.68,,,-17.68,,WNW,,,,,,
CTMSD,02/01/2020 05:10 UTC,,,13.33,9.0,0.9,306.0,2.23,,,-18.9,,NW,,,,,,
CTMSD,02/01/2020 05:20 UTC,,,13.33,10.0,2.23,315.0,3.58,,,-17.68,,NW,,,,,,
CTMSD,02/01/2020 05:30 UTC,,,13.89,9.0,1.79,343.0,3.13,,,-18.47,,NNW,,,,,,
CTMSD,02/01/2020 05:40 UTC,,,13.33,9.0,1.34,328.0,2.23,,,-18.9,,NNW,,,,,,
CTMSD,02/01/2020 05:50 UTC,,,13.33,9.0,1.79,333.0,2.68,,,-18.9,,NNW,,,,,,
CTMSD,02/01/2020 06:00 UTC,,,12.78,10.0,1.34,314.0,2.68,,,-18.11,,NW,,,,,,
CTMSD,02/01/2020 06:10 UTC,,,12.22,10.0,0.9,328.0,1.79,,,-18.54,,NNW,,,,,,
CTMSD,02/01/2020 06:20 UTC,,,12.22,10.0,1.79,309.0,3.13,,,-18.54,,NW,,,,,,
CTMSD,02/01/2020 06:30 UTC,,,12.78,10.0,1.34,304.0,2.23,,,-18.11,,NW,,,,,,
CTMSD,02/01/2020 06:40 UTC,,,11.11,12.0,1.79,291.0,2.68,,,-17.29,,WNW,,,,,,
CTMSD,02/01/2020 06:50 UTC,,,11.11,12.0,1.79,308.0,2.23,,,-17.29,,NW,,,,,,
CTMSD,02/01/2020 07:00 UTC,,,11.11,11.0,0.45,259.0,1.79,,,-18.31,,W,,,,,,
CTMSD,02/01/2020 07:10 UTC,,,11.11,11.0,1.34,227.0,2.68,,,-18.31,,SW,,,,,,
CTMSD,02/01/2020 07:20 UTC,,,11.11,10.0,1.34,251.0,3.13,,,-19.4,,WSW,,,,,,
CTMSD,02/01/2020 07:30 UTC,,,11.11,9.0,0.9,279.0,2.23,,,-20.6,,W,,,,,,
CTMSD,02/01/2020 07:40 UTC,,,11.67,9.0,0.9,270.0,2.23,,,-20.17,,W,,,,,,
CTMSD,02/01/2020 07:50 UTC,,,12.22,8.0,0.9,287.0,1.79,,,-21.08,,WNW,,,,,,
CTMSD,02/01/2020 08:00 UTC,,,12.78,7.0,0.9,304.0,1.79,,,-22.15,,NW,,,,,,
CTMSD,02/01/2020 08:10 UTC,,,12.22,7.0,0.9,295.0,2.23,,,-22.56,,WNW,,,,,,
CTMSD,02/01/2020 08:20 UTC,,,12.22,7.0,2.68,16.0,4.47,,,-22.56,,NNE,,,,,,
CTMSD,02/01/2020 08:30 UTC,,,11.67,7.0,2.23,1.0,4.02,,,-22.97,,N,,,,,,
CTMSD,02/01/2020 08:40 UTC,,,11.11,8.0,2.23,327.0,3.58,,,-21.92,,NNW,,,,,,
CTMSD,02/01/2020 08:50 UTC,,,11.11,8.0,1.34,274.0,1.79,,,-21.92,,W,,,,,,
CTMSD,02/01/2020 09:00 UTC,,,10.56,8.0,0.9,232.0,1.79,,,-22.34,,SW,,,,,,
CTMSD,02/01/2020 09:10 UTC,,,10.56,8.0,0.45,203.0,1.34,,,-22.34,,SSW,,,,,,
CTMSD,02/01/2020 09:20 UTC,,,12.78,5.0,2.68,53.0,5.37,,,-25.8,,NE,,,,,,
CTMSD,02/01/2020 09:30 UTC,,,12.78,6.0,0.9,320.0,2.23,,,-23.84,,NW,,,,,,
CTMSD,02/01/2020 09:40 UTC,,,12.22,6.0,1.79,57.0,4.47,,,-24.25,,ENE,,,,,,
CTMSD,02/01/2020 09:50 UTC,,,13.89,5.0,3.58,62.0,5.37,,,-25.0,,ENE,,,,,,
