# STATION: DYESD
# STATION NAME: Dye Mountain
# LATITUDE: 33.068817
# LONGITUDE: -116.709897
# ELEVATION [ft]: 2998
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
DYESD,02/01/2020 00:00 UTC,,,18.91,12.52,4.97,92.4,9.57,13.19,,-10.6,,E,,,,,,
DYESD,02/01/2020 00:10 UTC,,,18.54,12.24,7.01,104.3,9.64,13.19,,-11.18,,ESE,,,,,,
DYESD,02/01/2020 00:20 UTC,,,18.34,12.18,7.05,105.3,9.9,13.2,,-11.4,,ESE,,,,,,
DYESD,02/01/2020 00:30 UTC,,,18.13,12.68,6.63,103.5,9.18,13.21,,-11.06,,ESE,,,,,,
DYESD,02/01/2020 00:40 UTC,,,17.92,13.74,5.82,100.5,8.46,12.98,,-10.23,,E,,,,,,
DYESD,02/01/2020 00:50 UTC,,,17.64,14.51,4.93,93.7,7.77,12.65,,-9.78,,E,,,,,,
DYESD,02/01/2020 01:00 UTC,,,17.42,14.65,5.33,93.4,8.07,12.54,,-9.83,,E,,,,,,
DYESD,02/01/2020 01:10 UTC,,,16.94,15.26,4.62,84.5,7.45,12.48,,-9.71,,E,,,,,,
DYESD,02/01/2020 01:20 UTC,,,16.73,15.08,5.45,88.1,8.56,12.43,,-10.03,,E,,,,,,
DYESD,02/01/2020 01:30 UTC,,,16.67,14.65,5.12,89.3,8.72,12.42,,-10.44,,E,,,,,,
DYESD,02/01/2020 01:40 UTC,,,16.66,14.27,5.77,77.29,8.46,12.41,,-10.77,,ENE,,,,,,
DYESD,02/01/2020 01:50 UTC,,,16.47,14.34,5.22,68.49,8.49,12.4,,-10.87,,ENE,,,,,,
DYESD,02/01/2020 02:00 UTC,,,16.52,14.08,6.02,72.04,8.69,12.4,,-11.05,,ENE,,,,,,
DYESD,02/01/2020 02:10 UTC,,,16.49,13.97,5.56,72.64,8.82,12.39,,-11.17,,ENE,,,,,,
DYESD,02/01/2020 02:20 UTC,,,16.27,14.1,4.94,72.32,7.38,12.38,,-11.24,,ENE,,,,,,
DYESD,02/01/2020 02:30 UTC,,,16.23,13.27,4.35,66.44,6.43,12.38,,-12.02,,ENE,,,,,,
DYESD,02/01/2020 02:40 UTC,,,15.91,13.33,4.26,67.95,7.58,12.37,,-12.22,,ENE,,,,,,
DYESD,02/01/2020 02:50 UTC,,,16.19,12.88,4.9,71.58,7.55,12.37,,-12.42,,ENE,,,,,,
DYESD,02/01/2020 03:00 UTC,,,16.14,13.59,5.41,72.36,8.36,12.37,,-11.8,,ENE,,,,,,
DYESD,02/01/2020 03:10 UTC,,,16.14,13.64,5.44,76.35,8.75,12.36,,-11.75,,ENE,,,,,,
DYESD,02/01/2020 03:20 UTC,,,16.59,12.5,5.36,85.8,8.95,12.36,,-12.46,,E,,,,,,
DYESD,02/01/2020 03:30 UTC,,,16.52,12.71,3.83,73.24,7.18,12.36,,-12.32,,ENE,,,,,,
DYESD,02/01/2020 03:40 UTC,,,16.51,13.09,4.31,78.65,8.13,12.35,,-11.96,,ENE,,,,,,
DYESD,02/01/2020 03:50 UTC,,,16.63,13.12,3.45,84.8,6.37,12.35,,-11.84,,E,,,,,,
DYESD,02/01/2020 04:00 UTC,,,16.79,13.18,3.66,88.1,6.24,12.35,,-11.65,,E,,,,,,
DYESD,02/01/2020 04:10 UTC,,,16.88,13.2,3.08,69.41,6.4,12.35,,-11.56,,ENE,,,,,,
DYESD,02/01/2020 04:20 UTC,,,16.72,13.77,3.43,74.4,7.42,12.34,,-11.17,,ENE,,,,,,
DYESD,02/01/2020 04:30 UTC,,,16.45,14.62,4.09,80.6,7.28,12.34,,-10.64,,E,,,,,,
DYESD,02/01/2020 04:40 UTC,,,16.47,14.85,4.83,96.3,8.0,12.34,,-10.43,,E,,,,,,
DYESD,02/01/2020 04:50 UTC,,,16.55,15.04,5.85,102.2,8.56,12.34,,-10.21,,ESE,,,,,,
DYESD,02/01/2020 05:00 UTC,,,16.62,14.95,5.33,96.9,8.75,12.33,,-10.23,,E,,,,,,
DYESD,02/01/2020 05:10 UTC,,,16.34,15.44,4.74,93.0,8.69,12.33,,-10.05,,E,,,,,,
DYESD,02/01/2020 05:20 UTC,,,16.38,15.43,5.61,95.1,9.12,12.33,,-10.02,,E,,,,,,
DYESD,02/01/2020 05:30 UTC,,,16.44,15.21,6.0,102.7,10.32,12.32,,-10.16,,ESE,,,,,,
DYESD,02/01/2020 05:40 UTC,,,16.44,15.26,5.99,101.1,9.28,12.32,,-10.11,,E,,,,,,
DYESD,02/01/2020 05:50 UTC,,,16.38,15.16,6.17,106.6,9.64,12.32,,-10.24,,ESE,,,,,,
DYESD,02/01/2020 06:00 UTC,,,16.76,14.01,6.33,102.1,11.07,12.31,,-10.92,,ESE,,,,,,
DYESD,02/01/2020 06:10 UTC,,,16.52,14.47,5.35,91.5,9.05,12.31,,-10.71,,E,,,,,,
DYESD,02/01/2020 06:20 UTC,,,16.36,14.9,5.42,89.5,8.43,12.3,,-10.48,,E,,,,,,
DYESD,02/01/2020 06:30 UTC,,,16.35,14.54,4.39,83.7,7.77,12.3,,-10.79,,E,,,,,,
DYESD,02/01/2020 06:40 UTC,,,17.01,12.39,5.29,89.1,9.4,12.3,,-12.24,,E,,,,,,
DYESD,02/01/2020 06:50 UTC,,,17.44,11.38,5.85,84.6,10.16,12.3,,-12.94,,E,,,,,,
