# STATION: HOSSD
# STATION NAME: Hoskings Ranch
# LATITUDE: 33.08265
# LONGITUDE: -116.65725
# ELEVATION [ft]: 3738
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,volt_set_1,wind_gust_set_1,wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,volts,m/s,Degrees,Celsius,Celsius,code,Celsius
HOSSD,01/31/2020 23:00 PST,14.28,15.95,4.93,12.33,7.68,75.28,-11.32,,ENE,
HOSSD,01/31/2020 23:10 PST,14.43,13.4,5.03,12.33,8.49,73.6,-13.34,,ENE,
HOSSD,01/31/2020 23:20 PST,14.44,12.55,4.79,12.32,7.9,71.86,-14.12,,ENE,
HOSSD,01/31/2020 23:30 PST,14.39,12.03,4.52,12.32,6.83,73.39,-14.67,,ENE,
HOSSD,01/31/2020 23:40 PST,14.44,11.14,4.96,12.32,8.62,67.22,-15.55,,ENE,
HOSSD,01/31/2020 23:50 PST,14.75,9.75,6.0,12.31,8.07,60.25,-16.88,,ENE,
HOSSD,02/01/2020 00:00 PST,14.51,9.92,5.22,12.31,7.12,63.02,-16.86,,ENE,
HOSSD,02/01/2020 00:10 PST,14.07,10.34,4.18,12.31,6.08,63.48,-16.72,,ENE,
HOSSD,02/01/2020 00:20 PST,13.92,10.42,3.76,12.3,5.39,61.89,-16.74,,ENE,
HOSSD,02/01/2020 00:30 PST,13.78,10.72,3.44,12.3,5.55,67.79,-16.52,,ENE,
HOSSD,02/01/2020 00:40 PST,13.84,10.64,2.84,12.3,3.95,73.66,-16.56,,ENE,
HOSSD,02/01/2020 00:50 PST,13.38,11.2,2.91,12.29,5.16,68.41,-16.32,,ENE,
HOSSD,02/01/2020 01:00 PST,13.03,12.36,3.39,12.29,4.73,59.68,-15.42,,ENE,
HOSSD,02/01/2020 01:10 PST,13.17,12.62,3.46,12.29,5.1,60.41,-15.07,,ENE,
HOSSD,02/01/2020 01:20 PST,13.43,12.26,3.99,12.29,5.78,64.52,-15.2,,ENE,
HOSSD,02/01/2020 01:30 PST,13.47,12.48,4.08,12.28,6.2,58.09,-14.96,,ENE,
HOSSD,02/01/2020 01:40 PST,13.56,12.94,3.9,12.27,5.75,59.35,-14.45,,ENE,
HOSSD,02/01/2020 01:50 PST,13.68,12.69,3.53,12.27,5.75,62.89,-14.59,,ENE,
HOSSD,02/01/2020 02:00 PST,13.91,11.89,3.24,12.27,4.93,64.63,-15.19,,ENE,
HOSSD,02/01/2020 02:10 PST,13.67,11.99,3.71,12.26,6.63,60.05,-15.28,,ENE,
HOSSD,02/01/2020 02:20 PST,13.48,12.31,3.7,12.26,5.23,63.36,-15.12,,ENE,
HOSSD,02/01/2020 02:30 PST,13.41,12.61,4.03,12.25,5.55,59.09,-14.88,,ENE,
HOSSD,02/01/2020 02:40 PST,13.58,12.6,4.23,12.25,5.95,60.26,-14.76,,ENE,
HOSSD,02/01/2020 02:50 PST,13.7,12.44,4.26,12.25,6.92,63.77,-14.82,,ENE,
HOSSD,02/01/2020 03:00 PST,13.91,11.95,4.55,12.24,6.53,67.6,-15.13,,ENE,
HOSSD,02/01/2020 03:10 PST,13.74,11.93,4.61,12.24,6.57,60.95,-15.28,,ENE,
HOSSD,02/01/2020 03:20 PST,13.58,11.89,4.39,12.23,6.04,60.81,-15.45,,ENE,
HOSSD,02/01/2020 03:30 PST,13.52,11.74,4.24,12.23,5.75,58.92,-15.65,,ENE,
HOSSD,02/01/2020 03:40 PST,13.43,11.73,4.11,12.22,5.65,62.1,-15.73,,ENE,
HOSSD,02/01/2020 03:50 PST,13.71,11.06,4.14,12.22,6.24,66.78,-16.21,,ENE,
HOSSD,02/01/2020 04:00 PST,13.73,10.96,3.76,12.22,5.42,68.25,-16.3,,ENE,
HOSSD,02/01/2020 04:10 PST,13.62,10.84,3.6,12.22,5.16,62.76,-16.51,,ENE,
HOSSD,02/01/2020 04:20 PST,13.65,10.82,4.35,12.21,6.47,59.4,-16.51,,ENE,
HOSSD,02/01/2020 04:30 PST,13.61,10.85,4.14,12.21,5.78,58.87,-16.51,,ENE,
HOSSD,02/01/2020 04:40 PST,14.07,10.67,4.54,12.2,6.8,65.2,-16.35,,ENE,
HOSSD,02/01/2020 04:50 PST,14.13,11.07,4.73,12.2,6.53,61.55,-15.87,,ENE,
HOSSD,02/01/2020 05:00 PST,13.84,11.91,4.78,12.2,6.6,58.77,-15.23,,ENE,
HOSSD,02/01/2020 05:10 PST,13.76,12.44,5.12,12.19,7.42,58.67,-14.77,,ENE,
HOSSD,02/01/2020 05:20 PST,13.86,12.36,5.14,12.19,7.12,60.81,-14.77,,ENE,
HOSSD,02/01/2020 05:30 PST,13.92,12.61,5.03,12.19,6.99,56.69,-14.48,,ENE,
HOSSD,02/01/2020 05:40 PST,13.99,12.82,5.05,12.19,6.99,59.82,-14.22,,ENE,
HOSSD,02/01/2020 05:50 PST,13.97,12.95,4.99,12.18,6.57,58.3,-14.12,,ENE,
HOSSD,02/01/2020 06:00 PST,14.11,12.96,5.05,12.19,7.05,59.56,-14.0,,ENE,
