# STATION: HRPSD
# STATION NAME: Harrison Park
# LATITUDE: 33.03958
# LONGITUDE: -116.56062
# ELEVATION [ft]: 4868
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
HRPSD,02/01/2020 00:00 UTC,,,11.75,24.66,4.86,81.4,7.09,13.15,,-7.93,,E,,,,,,
HRPSD,02/01/2020 00:10 UTC,,,11.62,24.31,5.01,84.3,7.28,13.16,,-8.22,,E,,,,,,
HRPSD,02/01/2020 00:20 UTC,,,11.69,24.02,4.9,88.0,6.92,13.16,,-8.32,,E,,,,,,
HRPSD,02/01/2020 00:30 UTC,,,11.59,24.03,4.57,96.1,6.6,13.17,,-8.4,,E,,,,,,
HRPSD,02/01/2020 00:40 UTC,,,11.36,24.64,3.63,100.6,5.82,13.17,,-8.27,,E,,,,,,
HRPSD,02/01/2020 00:50 UTC,,,11.07,24.38,4.02,99.6,6.5,13.19,,-8.66,,E,,,,,,
HRPSD,02/01/2020 01:00 UTC,,,10.9,23.28,4.39,99.7,6.6,12.95,,-9.39,,E,,,,,,
HRPSD,02/01/2020 01:10 UTC,,,11.0,20.65,4.28,95.5,6.27,12.61,,-10.82,,E,,,,,,
HRPSD,02/01/2020 01:20 UTC,,,11.02,18.57,4.92,87.8,6.6,12.47,,-12.12,,E,,,,,,
HRPSD,02/01/2020 01:30 UTC,,,11.35,15.3,5.95,74.44,6.99,12.39,,-14.21,,ENE,,,,,,
HRPSD,02/01/2020 01:40 UTC,,,11.28,16.23,5.75,79.99,6.76,12.36,,-13.55,,E,,,,,,
HRPSD,02/01/2020 01:50 UTC,,,11.29,15.6,5.41,80.1,7.09,12.34,,-14.03,,E,,,,,,
HRPSD,02/01/2020 02:00 UTC,,,11.15,15.67,5.69,81.2,7.25,12.33,,-14.09,,E,,,,,,
HRPSD,02/01/2020 02:10 UTC,,,10.93,16.54,6.16,82.7,7.94,12.32,,-13.61,,E,,,,,,
HRPSD,02/01/2020 02:20 UTC,,,10.81,17.4,5.35,88.4,7.71,12.31,,-13.09,,E,,,,,,
HRPSD,02/01/2020 02:30 UTC,,,10.97,17.08,5.23,92.5,6.99,12.31,,-13.19,,E,,,,,,
HRPSD,02/01/2020 02:40 UTC,,,10.8,17.48,4.54,98.4,7.25,12.3,,-13.04,,E,,,,,,
HRPSD,02/01/2020 02:50 UTC,,,10.81,17.85,5.32,104.5,7.94,12.3,,-12.78,,ESE,,,,,,
HRPSD,02/01/2020 03:00 UTC,,,10.56,18.56,4.72,101.4,6.92,12.29,,-12.51,,ESE,,,,,,
HRPSD,02/01/2020 03:10 UTC,,,10.52,19.32,5.09,99.1,7.84,12.29,,-12.04,,E,,,,,,
HRPSD,02/01/2020 03:20 UTC,,,10.74,19.72,5.45,96.3,7.61,12.28,,-11.61,,E,,,,,,
HRPSD,02/01/2020 03:30 UTC,,,11.07,19.54,5.99,92.9,8.88,12.28,,-11.45,,E,,,,,,
HRPSD,02/01/2020 03:40 UTC,,,11.17,20.24,6.22,88.6,9.73,12.28,,-10.92,,E,,,,,,
HRPSD,02/01/2020 03:50 UTC,,,10.85,21.04,5.12,97.0,7.35,12.28,,-10.71,,E,,,,,,
HRPSD,02/01/2020 04:00 UTC,,,10.58,21.55,5.23,98.6,7.61,12.27,,-10.63,,E,,,,,,
HRPSD,02/01/2020 04:10 UTC,,,10.77,21.46,5.22,97.0,8.79,12.27,,-10.53,,E,,,,,,
HRPSD,02/01/2020 04:20 UTC,,,10.79,21.39,4.95,97.5,7.55,12.27,,-10.55,,E,,,,,,
HRPSD,02/01/2020 04:30 UTC,,,10.86,21.51,5.74,91.6,7.9,12.26,,-10.42,,E,,,,,,
HRPSD,02/01/2020 04:40 UTC,,,10.97,21.33,5.67,94.3,7.58,12.26,,-10.43,,E,,,,,,
HRPSD,02/01/2020 04:50 UTC,,,10.83,21.62,4.76,93.5,6.92,12.26,,-10.38,,E,,,,,,
HRPSD,02/01/2020 05:00 UTC,,,10.86,21.75,5.0,93.1,7.77,12.25,,-10.28,,E,,,,,,
HRPSD,02/01/2020 05:10 UTC,,,10.87,21.9,4.97,92.5,6.83,12.25,,-10.19,,E,,,,,,
HRPSD,02/01/2020 05:20 UTC,,,10.76,22.07,4.84,94.8,6.89,12.25,,-10.18,,E,,,,,,
HRPSD,02/01/2020 05:30 UTC,,,10.66,22.27,4.96,97.2,7.28,12.24,,-10.15,,E,,,,,,
HRPSD,02/01/2020 05:40 UTC,,,10.59,22.64,5.27,100.2,7.45,12.24,,-10.0,,E,,,,,,
HRPSD,02/01/2020 05:50 UTC,,,10.58,22.99,5.01,103.2,7.42,12.24,,-9.82,,ESE,,,,,,
HRPSD,02/01/2020 06:00 UTC,,,10.44,23.21,3.77,101.2,7.09,12.24,,-9.82,,E,,,,,,
HRPSD,02/01/2020 06:10 UTC,,,10.72,21.35,3.57,98.0,5.62,12.24,,-10.63,,E,,,,,,
HRPSD,02/01/2020 06:20 UTC,,,11.71,17.32,5.18,88.0,7.05,12.23,,-12.41,,E,,,,,,
HRPSD,02/01/2020 06:30 UTC,,,12.11,15.25,5.26,88.9,7.05,12.23,,-13.64,,E,,,,,,
HRPSD,02/01/2020 06:40 UTC,,,12.18,13.29,4.8,90.4,6.73,12.23,,-15.24,,E,,,,,,
HRPSD,02/01/2020 06:50 UTC,,,12.08,13.39,3.68,92.4,5.55,12.23,,-15.23,,E,,,,,,
HRPSD,02/01/2020 07:00 UTC,,,11.76,13.02,3.94,99.0,6.17,12.22,,-15.82,,E,,,,,,
HRPSD,02/01/2020 07:10 UTC,,,11.79,11.16,3.51,102.4,5.26,12.22,,-17.61,,ESE,,,,,,
HRPSD,02/01/2020 07:20 UTC,,,11.91,9.71,3.19,102.0,5.26,12.21,,-19.12,,ESE,,,,,,
HRPSD,02/01/2020 07:30 UTC,,,12.29,8.73,2.99,102.4,4.31,12.21,,-20.04,,ESE,,,,,,
HRPSD,02/01/2020 07:40 UTC,,,12.19,9.72,3.12,112.3,4.77,12.21,,-18.89,,ESE,,,,,,
HRPSD,02/01/2020 07:50 UTC,,,12.19,9.13,2.64,98.1,4.67,12.2,,-19.61,,E,,,,,,
HRPSD,02/01/2020 08:00 UTC,,,12.67,7.94,4.44,79.95,6.99,12.2,,-20.82,,E,,,,,,
HRPSD,02/01/2020 08:10 UTC,,,12.63,8.17,3.89,89.2,7.12,12.2,,-20.53,,E,,,,,,
HRPSD,02/01/2020 08:20 UTC,,,12.57,8.52,4.64,85.1,6.08,12.2,,-20.1,,E,,,,,,
HRPSD,02/01/2020 08:30 UTC,,,12.77,8.08,4.66,88.8,6.27,12.19,,-20.55,,E,,,,,,
HRPSD,02/01/2020 08:40 UTC,,,12.79,8.11,4.39,85.7,5.75,12.19,,-20.49,,E,,,,,,
HRPSD,02/01/2020 08:50 UTC,,,12.64,8.66,4.16,86.8,6.33,12.19,,-19.87,,E,,,,,,
HRPSD,02/01/2020 09:00 UTC,,,12.58,9.16,3.8,90.2,5.58,12.18,,-19.27,,E,,,,,,
HRPSD,02/01/2020 09:10 UTC,,,12.64,9.08,3.36,96.9,5.07,12.18,,-19.33,,E,,,,,,
HRPSD,02/01/2020 09:20 UTC,,,12.09,10.72,3.1,103.9,4.57,12.17,,-17.84,,ESE,,,,,,
HRPSD,02/01/2020 09:30 UTC,,,12.03,10.8,3.06,96.4,4.6,12.17,,-17.8,,E,,,,,,
HRPSD,02/01/2020 09:40 UTC,,,11.68,12.85,2.74,105.8,4.28,12.17,,-16.04,,ESE,,,,,,
HRPSD,02/01/2020 09:50 UTC,,,11.51,13.85,3.3,112.3,4.9,12.16,,-15.28,,ESE,,,,,,
HRPSD,02/01/2020 10:00 UTC,,,11.52,13.64,3.6,116.3,5.16,12.16,,-15.45,,ESE,,,,,,
HRPSD,02/01/2020 10:10 UTC,,,11.74,13.01,3.99,109.3,6.5,12.15,,-15.84,,ESE,,,,,,
HRPSD,02/01/2020 10:20 UTC,,,11.84,12.46,3.35,112.0,5.58,12.15,,-16.27,,ESE,,,,,,
HRPSD,02/01/2020 10:30 UTC,,,11.74,11.7,2.41,115.4,3.76,12.15,,-17.09,,ESE,,,,,,
HRPSD,02/01/2020 10:40 UTC,,,11.89,10.5,2.35,109.0,3.36,12.14,,-18.24,,ESE,,,,,,
HRPSD,02/01/2020 10:50 UTC,,,12.18,9.26,2.09,101.0,3.6,12.14,,-19.46,,E,,,,,,
HRPSD,02/01/2020 11:00 UTC,,,12.24,9.09,2.46,94.6,4.9,12.13,,-19.62,,E,,,,,,
HRPSD,02/01/2020 11:10 UTC,,,12.57,8.6,3.13,87.8,4.93,12.13,,-20.0,,E,,,,,,
HRPSD,02/01/2020 11:20 UTC,,,12.44,8.87,3.16,91.2,4.48,12.12,,-19.75,,E,,,,,,
HRPSD,02/01/2020 11:30 UTC,,,12.44,9.07,3.03,95.4,5.2,12.12,,-19.49,,E,,,,,,
HRPSD,02/01/2020 11:40 UTC,,,12.61,8.92,3.39,90.3,5.26,12.12,,-19.55,,E,,,,,,
HRPSD,02/01/2020 11:50 UTC,,,12.6,9.07,3.42,88.7,4.9,12.11,,-19.37,,E,,,,,,
HRPSD,02/01/2020 12:00 UTC,,,12.66,9.32,3.68,86.7,5.45,12.11,,-19.01,,E,,,,,,
HRPSD,02/01/2020 12:10 UTC,,,12.57,9.87,4.47,82.0,6.24,12.11,,-18.42,,E,,,,,,
HRPSD,02/01/2020 12:20 UTC,,,12.63,10.09,4.79,86.0,7.15,12.1,,-18.12,,E,,,,,,
HRPSD,02/01/2020 12:30 UTC,,,12.66,10.13,4.33,91.2,6.43,12.1,,-18.05,,E,,,,,,
HRPSD,02/01/2020 12:40 UTC,,,12.64,10.49,4.42,91.1,6.86,12.09,,-17.66,,E,,,,,,
HRPSD,02/01/2020 12:50 UTC,,,12.52,11.18,5.2,85.3,7.9,12.09,,-17.01,,E,,,,,,
HRPSD,02/01/2020 13:00 UTC,,,12.39,11.82,5.27,81.5,8.46,12.09,,-16.46,,E,,,,,,
HRPSD,02/01/2020 13:10 UTC,,,12.28,12.23,5.86,83.6,8.23,12.08,,-16.14,,E,,,,,,
HRPSD,02/01/2020 13:20 UTC,,,12.18,13.02,6.03,82.7,9.08,12.08,,-15.48,,E,,,,,,
HRPSD,02/01/2020 13:30 UTC,,,12.05,13.71,5.89,80.6,8.3,12.08,,-14.97,,E,,,,,,
HRPSD,02/01/2020 13:40 UTC,,,12.07,14.31,6.34,76.66,8.85,12.07,,-14.44,,ENE,,,,,,
HRPSD,02/01/2020 13:50 UTC,,,12.11,15.2,6.98,74.04,11.2,12.07,,-13.68,,ENE,,,,,,
HRPSD,02/01/2020 14:00 UTC,,,12.22,15.49,7.15,78.32,10.58,12.07,,-13.36,,ENE,,,,,,
HRPSD,02/01/2020 14:10 UTC,,,11.87,16.21,6.59,77.36,9.83,12.06,,-13.09,,ENE,,,,,,
HRPSD,02/01/2020 14:20 UTC,,,11.99,17.42,6.38,83.3,8.95,12.06,,-12.11,,E,,,,,,
HRPSD,02/01/2020 14:30 UTC,,,11.79,18.43,6.12,83.8,10.0,12.06,,-11.57,,E,,,,,,
HRPSD,02/01/2020 14:40 UTC,,,11.79,19.0,6.69,82.5,10.45,12.06,,-11.19,,E,,,,,,
HRPSD,02/01/2020 14:50 UTC,,,11.73,19.81,6.77,82.5,10.97,12.06,,-10.72,,E,,,,,,
HRPSD,02/01/2020 15:00 UTC,,,11.78,20.5,7.8,80.4,11.04,12.09,,-10.25,,E,,,,,,
HRPSD,02/01/2020 15:10 UTC,,,11.71,20.87,7.14,76.44,9.87,12.19,,-10.09,,ENE,,,,,,
HRPSD,02/01/2020 15:20 UTC,,,11.82,21.15,7.46,79.61,10.72,12.3,,-9.83,,E,,,,,,
HRPSD,02/01/2020 15:30 UTC,,,12.04,21.95,8.43,75.57,11.76,12.44,,-9.17,3.34,ENE,,,,,,
HRPSD,02/01/2020 15:40 UTC,,,12.27,22.72,8.37,79.43,11.96,12.63,,-8.54,3.65,E,,,,,,
HRPSD,02/01/2020 15:50 UTC,,,12.42,23.64,8.72,77.84,14.21,12.79,,-7.9,3.57,ENE,,,,,,
HRPSD,02/01/2020 16:00 UTC,,,12.64,24.31,9.54,76.92,12.93,12.71,,-7.35,3.26,ENE,,,,,,
HRPSD,02/01/2020 16:10 UTC,,,12.87,25.21,10.03,71.37,14.76,12.66,,-6.68,3.21,ENE,,,,,,
HRPSD,02/01/2020 16:20 UTC,,,12.96,25.73,9.85,73.8,14.14,12.75,,-6.34,3.43,ENE,,,,,,
HRPSD,02/01/2020 16:30 UTC,,,13.05,26.13,9.71,73.9,15.03,12.95,,-6.06,3.63,ENE,,,,,,
HRPSD,02/01/2020 16:40 UTC,,,13.23,25.77,10.2,71.1,13.52,13.15,,-6.09,3.53,ENE,,,,,,
HRPSD,02/01/2020 16:50 UTC,,,13.33,26.63,10.97,72.92,14.76,13.07,,-5.57,3.17,ENE,,,,,,
HRPSD,02/01/2020 17:00 UTC,,,13.33,26.81,11.76,74.99,17.08,13.04,,-5.48,2.72,ENE,,,,,,
HRPSD,02/01/2020 17:10 UTC,,,13.28,26.53,11.64,77.25,15.88,13.04,,-5.66,2.72,ENE,,,,,,
HRPSD,02/01/2020 17:20 UTC,,,13.34,26.75,11.5,74.06,16.82,13.04,,-5.5,2.88,ENE,,,,,,
HRPSD,02/01/2020 17:30 UTC,,,13.39,26.99,10.07,72.46,14.47,13.05,,-5.34,3.8,ENE,,,,,,
HRPSD,02/01/2020 17:40 UTC,,,13.41,26.73,10.5,76.91,14.34,13.05,,-5.45,3.55,ENE,,,,,,
HRPSD,02/01/2020 17:50 UTC,,,13.44,26.51,11.36,79.52,16.1,13.05,,-5.54,3.08,E,,,,,,
HRPSD,02/01/2020 18:00 UTC,,,13.4,26.82,12.47,77.55,17.12,13.06,,-5.42,2.41,ENE,,,,,,
HRPSD,02/01/2020 18:10 UTC,,,13.7,27.56,11.38,75.84,16.1,13.06,,-4.8,3.38,ENE,,,,,,
HRPSD,02/01/2020 18:20 UTC,,,13.66,27.29,12.8,73.68,17.21,13.06,,-4.96,2.55,ENE,,,,,,
HRPSD,02/01/2020 18:30 UTC,,,13.73,27.11,11.24,74.7,15.64,13.06,,-4.99,3.5,ENE,,,,,,
HRPSD,02/01/2020 18:40 UTC,,,13.76,26.69,10.97,79.93,15.12,13.06,,-5.17,3.69,E,,,,,,
HRPSD,02/01/2020 18:50 UTC,,,13.64,26.51,10.46,82.9,15.12,13.07,,-5.36,3.85,E,,,,,,
HRPSD,02/01/2020 19:00 UTC,,,13.71,26.36,11.31,76.45,16.17,13.07,,-5.38,3.43,ENE,,,,,,
HRPSD,02/01/2020 19:10 UTC,,,13.79,26.33,10.74,77.52,15.71,13.07,,-5.32,3.86,ENE,,,,,,
HRPSD,02/01/2020 19:20 UTC,,,13.96,26.34,9.86,76.51,14.7,13.07,,-5.17,4.62,ENE,,,,,,
HRPSD,02/01/2020 19:30 UTC,,,14.11,26.29,10.04,72.13,14.44,13.06,,-5.07,4.68,ENE,,,,,,
HRPSD,02/01/2020 19:40 UTC,,,14.08,26.39,10.74,74.42,14.4,13.07,,-5.04,4.21,ENE,,,,,,
HRPSD,02/01/2020 19:50 UTC,,,14.21,26.65,10.04,69.76,15.58,13.07,,-4.8,4.8,ENE,,,,,,
HRPSD,02/01/2020 20:00 UTC,,,14.33,26.74,10.29,69.15,14.83,13.07,,-4.65,4.79,ENE,,,,,,
HRPSD,02/01/2020 20:10 UTC,,,14.36,26.88,10.76,71.23,14.76,13.07,,-4.56,4.54,ENE,,,,,,
HRPSD,02/01/2020 20:20 UTC,,,14.11,26.84,11.65,69.41,16.76,13.07,,-4.8,3.72,ENE,,,,,,
HRPSD,02/01/2020 20:30 UTC,,,14.22,26.57,11.51,64.44,15.12,13.07,,-4.83,3.93,ENE,,,,,,
HRPSD,02/01/2020 20:40 UTC,,,14.66,26.36,8.63,60.26,14.14,13.07,,-4.56,6.28,ENE,,,,,,
HRPSD,02/01/2020 20:50 UTC,,,14.52,26.12,10.32,61.71,14.73,13.07,,-4.8,4.99,ENE,,,,,,
HRPSD,02/01/2020 21:00 UTC,,,14.37,26.28,10.28,64.89,13.46,13.07,,-4.85,4.84,ENE,,,,,,
HRPSD,02/01/2020 21:10 UTC,,,14.26,26.13,10.73,65.06,15.25,13.07,,-5.02,4.43,ENE,,,,,,
HRPSD,02/01/2020 21:20 UTC,,,14.29,26.33,9.98,69.17,13.78,13.07,,-4.89,4.93,ENE,,,,,,
HRPSD,02/01/2020 21:30 UTC,,,14.56,26.15,9.21,69.95,12.77,13.07,,-4.75,5.76,ENE,,,,,,
HRPSD,02/01/2020 21:40 UTC,,,14.35,26.07,8.73,83.6,13.13,13.08,,-4.97,5.84,E,,,,,,
HRPSD,02/01/2020 21:50 UTC,,,14.26,26.25,9.7,80.6,14.14,13.09,,-4.96,5.08,E,,,,,,
HRPSD,02/01/2020 22:00 UTC,,,14.53,26.18,8.86,71.45,13.88,13.09,,-4.76,5.97,ENE,,,,,,
HRPSD,02/01/2020 22:10 UTC,,,14.5,26.1,8.7,77.66,13.43,13.09,,-4.83,6.04,ENE,,,,,,
HRPSD,02/01/2020 22:20 UTC,,,14.41,26.17,8.46,77.92,12.93,13.09,,-4.87,6.11,ENE,,,,,,
HRPSD,02/01/2020 22:30 UTC,,,14.28,25.95,10.37,74.76,14.83,13.09,,-5.09,4.68,ENE,,,,,,
HRPSD,02/01/2020 22:40 UTC,,,14.3,26.46,8.43,82.0,12.64,13.09,,-4.82,6.0,E,,,,,,
HRPSD,02/01/2020 22:50 UTC,,,14.32,26.13,9.42,77.9,12.87,13.1,,-4.97,5.33,ENE,,,,,,
HRPSD,02/01/2020 23:00 UTC,,,14.37,25.78,9.84,79.32,14.44,13.1,,-5.1,5.12,E,,,,,,
HRPSD,02/01/2020 23:10 UTC,,,14.29,26.28,8.75,82.2,12.93,13.1,,-4.92,5.76,E,,,,,,
HRPSD,02/01/2020 23:20 UTC,,,14.17,26.31,8.44,83.5,13.2,13.1,,-5.01,5.84,E,,,,,,
HRPSD,02/01/2020 23:30 UTC,,,14.07,26.65,8.08,84.6,12.74,13.11,,-4.92,5.99,E,,,,,,
