# STATION: LAGSD
# STATION NAME: Laguna
# LATITUDE: 32.84538
# LONGITUDE: -116.47192
# ELEVATION [ft]: 5030
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
LAGSD,01/31/2020 23:00 PST,,,11.67,9.0,3.58,62.0,5.37,,-20.17,,ENE,,,,,,
LAGSD,01/31/2020 23:10 PST,,,12.22,8.0,4.47,65.0,6.7,,-21.08,,ENE,,,,,,
LAGSD,01/31/2020 23:20 PST,,,12.22,7.0,4.02,61.0,6.7,,-22.56,,ENE,,,,,,
LAGSD,01/31/2020 23:30 PST,,,12.78,7.0,3.58,55.0,5.81,,-22.15,,NE,,,,,,
LAGSD,01/31/2020 23:40 PST,,,12.78,7.0,2.68,47.0,4.47,,-22.15,,NE,,,,,,
LAGSD,01/31/2020 23:50 PST,,,12.22,7.0,2.23,42.0,3.58,,-22.56,,NE,,,,,,
LAGSD,02/01/2020 00:00 PST,,,9.44,11.0,0.9,60.0,3.13,,-19.61,,ENE,,,,,,
LAGSD,02/01/2020 00:10 PST,,,5.56,18.0,0.45,182.0,1.34,,-17.01,,S,,,,,,
LAGSD,02/01/2020 00:20 PST,,,4.44,20.0,0.0,,1.34,,-16.7,,,,,,,,
LAGSD,02/01/2020 00:30 PST,,,3.89,22.0,0.45,161.0,1.34,,-16.03,,SSE,,,,,,
LAGSD,02/01/2020 00:40 PST,,,5.56,17.0,1.34,37.0,4.02,,-17.69,,NE,,,,,,
LAGSD,02/01/2020 00:50 PST,,,11.11,8.0,3.13,41.0,5.81,,-21.92,,NE,,,,,,
LAGSD,02/01/2020 01:00 PST,,,11.67,7.0,3.13,52.0,4.92,,-22.97,,NE,,,,,,
LAGSD,02/01/2020 01:10 PST,,,12.22,7.0,3.13,59.0,5.37,,-22.56,,ENE,,,,,,
LAGSD,02/01/2020 01:20 PST,,,12.22,6.0,1.79,52.0,4.47,,-24.25,,NE,,,,,,
LAGSD,02/01/2020 01:30 PST,,,11.67,7.0,0.9,42.0,1.79,,-22.97,,NE,,,,,,
LAGSD,02/01/2020 01:40 PST,,,9.44,10.0,0.0,,1.79,,-20.7,,,,,,,,
LAGSD,02/01/2020 01:50 PST,,,7.22,13.0,0.45,43.0,1.79,,-19.45,,NE,,,,,,
LAGSD,02/01/2020 02:00 PST,,,5.56,16.0,0.45,60.0,2.23,,-18.39,,ENE,,,,,,
LAGSD,02/01/2020 02:10 PST,,,3.89,21.0,0.45,104.0,1.34,,-16.58,,ESE,,,,,,
LAGSD,02/01/2020 02:20 PST,,,3.33,23.0,0.45,54.0,1.34,,-15.97,,NE,,,,,,
LAGSD,02/01/2020 02:30 PST,,,5.56,16.0,1.34,52.0,3.13,,-18.39,,NE,,,,,,
LAGSD,02/01/2020 02:40 PST,,,9.44,10.0,1.34,48.0,3.13,,-20.7,,NE,,,,,,
LAGSD,02/01/2020 02:50 PST,,,7.78,13.0,0.9,74.0,2.23,,-19.01,,ENE,,,,,,
