# STATION: MGRSD
# STATION NAME: Mussey Grade
# LATITUDE: 32.98626
# LONGITUDE: -116.90810
# ELEVATION [ft]: 1594
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
MGRSD,01/31/2020 23:00 PST,,,17.0,18.5,1.31,37.37,2.19,12.83,,-7.21,,NE,,,,,,
MGRSD,01/31/2020 23:10 PST,,,17.67,17.07,1.47,34.55,2.52,12.82,,-7.69,,NE,,,,,,
MGRSD,01/31/2020 23:20 PST,,,16.87,18.68,1.31,33.48,2.42,12.82,,-7.19,,NNE,,,,,,
MGRSD,01/31/2020 23:30 PST,,,16.41,19.32,1.32,29.95,2.16,12.82,,-7.14,,NNE,,,,,,
MGRSD,01/31/2020 23:40 PST,,,16.46,19.17,1.31,35.11,2.28,12.82,,-7.2,,NE,,,,,,
MGRSD,01/31/2020 23:50 PST,,,17.46,16.79,2.06,35.61,3.66,12.81,,-8.07,,NE,,,,,,
MGRSD,02/01/2020 00:00 PST,,,17.04,17.32,2.18,44.33,3.49,12.81,,-8.02,,NE,,,,,,
MGRSD,02/01/2020 00:10 PST,,,17.87,14.42,2.59,37.56,4.21,12.81,,-9.67,,NE,,,,,,
MGRSD,02/01/2020 00:20 PST,,,17.24,15.18,2.38,37.92,3.79,12.8,,-9.53,,NE,,,,,,
MGRSD,02/01/2020 00:30 PST,,,17.23,14.64,2.56,44.01,5.32,12.8,,-9.99,,NE,,,,,,
MGRSD,02/01/2020 00:40 PST,,,17.09,14.47,2.26,40.66,4.41,12.8,,-10.25,,NE,,,,,,
MGRSD,02/01/2020 00:50 PST,,,16.42,15.3,1.72,52.53,2.91,12.79,,-10.1,,NE,,,,,,
MGRSD,02/01/2020 01:00 PST,,,16.72,14.06,1.38,35.11,2.84,12.79,,-10.91,,NE,,,,,,
MGRSD,02/01/2020 01:10 PST,,,17.13,13.41,1.7,44.41,3.17,12.79,,-11.17,,NE,,,,,,
MGRSD,02/01/2020 01:20 PST,,,17.42,12.68,1.71,48.94,3.07,12.78,,-11.63,,NE,,,,,,
MGRSD,02/01/2020 01:30 PST,,,17.54,12.24,1.61,55.6,2.39,12.78,,-11.97,,NE,,,,,,
MGRSD,02/01/2020 01:40 PST,,,17.03,13.06,1.32,50.86,2.45,12.78,,-11.58,,NE,,,,,,
MGRSD,02/01/2020 01:50 PST,,,15.96,14.81,0.96,48.46,1.83,12.77,,-10.88,,NE,,,,,,
MGRSD,02/01/2020 02:00 PST,,,15.72,15.1,2.06,74.5,3.6,12.77,,-10.83,,ENE,,,,,,
MGRSD,02/01/2020 02:10 PST,,,15.84,14.72,2.28,57.76,3.82,12.77,,-11.05,,ENE,,,,,,
MGRSD,02/01/2020 02:20 PST,,,16.52,13.63,1.82,47.49,2.74,12.76,,-11.46,,NE,,,,,,
MGRSD,02/01/2020 02:30 PST,,,16.02,14.34,1.21,50.68,2.61,12.76,,-11.23,,NE,,,,,,
MGRSD,02/01/2020 02:40 PST,,,15.28,15.31,0.56,42.69,1.21,12.75,,-11.01,,NE,,,,,,
MGRSD,02/01/2020 02:50 PST,,,14.84,16.07,1.38,73.2,2.45,12.75,,-10.77,,ENE,,,,,,
MGRSD,02/01/2020 03:00 PST,,,15.32,15.2,1.97,60.7,3.69,12.74,,-11.07,,ENE,,,,,,
MGRSD,02/01/2020 03:10 PST,,,15.75,15.11,1.79,56.79,2.55,12.74,,-10.8,,ENE,,,,,,
MGRSD,02/01/2020 03:20 PST,,,15.19,15.94,0.72,26.5,1.53,12.74,,-10.59,,NNE,,,,,,
MGRSD,02/01/2020 03:30 PST,,,15.79,14.24,1.56,47.6,2.64,12.73,,-11.5,,NE,,,,,,
MGRSD,02/01/2020 03:40 PST,,,16.4,13.26,1.98,54.52,3.0,12.73,,-11.89,,NE,,,,,,
MGRSD,02/01/2020 03:50 PST,,,16.67,12.92,1.78,48.34,3.2,12.72,,-11.99,,NE,,,,,,
MGRSD,02/01/2020 04:00 PST,,,16.99,12.68,2.22,49.4,3.27,12.72,,-11.97,,NE,,,,,,
MGRSD,02/01/2020 04:10 PST,,,17.11,12.28,1.91,42.35,3.07,12.72,,-12.27,,NE,,,,,,
MGRSD,02/01/2020 04:20 PST,,,17.87,11.12,1.64,37.3,2.88,12.71,,-12.88,,NE,,,,,,
MGRSD,02/01/2020 04:30 PST,,,17.66,11.57,2.69,52.05,3.63,12.71,,-12.56,,NE,,,,,,
MGRSD,02/01/2020 04:40 PST,,,17.21,12.45,2.46,47.52,3.63,12.71,,-12.02,,NE,,,,,,
MGRSD,02/01/2020 04:50 PST,,,17.04,12.77,2.54,47.78,3.72,12.7,,-11.84,,NE,,,,,,
MGRSD,02/01/2020 05:00 PST,,,16.92,13.17,2.34,45.75,3.82,12.7,,-11.56,,NE,,,,,,
MGRSD,02/01/2020 05:10 PST,,,17.14,12.94,2.4,43.49,4.38,12.7,,-11.6,,NE,,,,,,
MGRSD,02/01/2020 05:20 PST,,,16.7,13.63,1.95,53.18,3.13,12.7,,-11.31,,NE,,,,,,
MGRSD,02/01/2020 05:30 PST,,,16.37,14.21,1.94,54.29,3.1,12.69,,-11.06,,NE,,,,,,
MGRSD,02/01/2020 05:40 PST,,,16.6,14.04,2.09,50.18,3.3,12.69,,-11.02,,NE,,,,,,
MGRSD,02/01/2020 05:50 PST,,,16.63,14.14,1.9,54.39,2.97,12.69,,-10.91,,NE,,,,,,
MGRSD,02/01/2020 06:00 PST,,,16.36,14.79,1.62,58.57,3.07,12.68,,-10.57,,ENE,,,,,,
MGRSD,02/01/2020 06:10 PST,,,16.71,14.28,1.67,44.86,3.07,12.68,,-10.72,,NE,,,,,,
MGRSD,02/01/2020 06:20 PST,,,16.74,14.51,1.74,44.54,3.07,12.68,,-10.5,,NE,,,,,,
MGRSD,02/01/2020 06:30 PST,,,16.33,15.53,1.47,51.5,2.71,12.68,,-9.98,,NE,,,,,,
MGRSD,02/01/2020 06:40 PST,,,15.96,16.45,1.64,57.88,3.27,12.68,,-9.56,,ENE,,,,,,
MGRSD,02/01/2020 06:50 PST,,,15.58,17.47,1.17,50.22,1.86,12.67,,-9.11,,NE,,,,,,
MGRSD,02/01/2020 07:00 PST,,,14.95,19.28,0.88,47.0,1.53,12.67,,-8.38,,NE,,,,,,
MGRSD,02/01/2020 07:10 PST,,,15.25,19.28,0.9,38.88,1.83,12.67,,-8.13,,NE,,,,,,
MGRSD,02/01/2020 07:20 PST,,,16.47,17.62,0.81,39.75,1.57,12.67,,-8.27,,NE,,,,,,
MGRSD,02/01/2020 07:30 PST,,,17.18,16.91,0.66,66.63,1.73,12.68,,-8.21,,ENE,,,,,,
MGRSD,02/01/2020 07:40 PST,,,17.33,17.66,0.93,52.95,2.91,12.68,,-7.53,,NE,,,,,,
MGRSD,02/01/2020 07:50 PST,,,17.73,17.91,0.8,54.49,1.67,12.68,,-7.02,,NE,,,,,,
MGRSD,02/01/2020 08:00 PST,,,17.6,19.58,0.65,37.33,2.09,12.68,,-5.97,,NE,,,,,,
MGRSD,02/01/2020 08:10 PST,,,19.07,17.5,1.44,5.33,2.84,12.68,,-6.22,,N,,,,,,
MGRSD,02/01/2020 08:20 PST,,,20.08,17.79,0.54,60.86,1.96,13.24,,-5.17,,ENE,,,,,,
MGRSD,02/01/2020 08:30 PST,,,20.64,18.14,0.74,65.24,1.83,13.59,,-4.45,,ENE,,,,,,
MGRSD,02/01/2020 08:40 PST,,,21.59,17.8,0.38,77.31,1.5,13.68,,-3.92,,ENE,,,,,,
MGRSD,02/01/2020 08:50 PST,,,21.98,18.31,0.52,83.8,1.99,13.67,,-3.22,,E,,,,,,
MGRSD,02/01/2020 09:00 PST,,,22.4,18.85,0.97,85.8,2.45,13.65,,-2.48,,E,,,,,,
MGRSD,02/01/2020 09:10 PST,,,22.52,19.83,0.8,84.9,2.22,13.63,,-1.7,,E,,,,,,
MGRSD,02/01/2020 09:20 PST,,,23.45,19.18,0.33,83.6,1.67,13.61,,-1.37,,E,,,,,,
MGRSD,02/01/2020 09:30 PST,,,24.27,19.16,0.57,106.2,1.67,13.61,,-0.71,,ESE,,,,,,
MGRSD,02/01/2020 09:40 PST,,,24.31,18.57,0.95,94.9,3.27,13.59,,-1.1,,E,,,,,,
MGRSD,02/01/2020 09:50 PST,,,24.64,18.51,0.76,108.3,2.61,13.59,,-0.87,,ESE,,,,,,
MGRSD,02/01/2020 10:00 PST,,,24.26,19.37,0.99,354.1,2.35,13.57,,-0.57,,N,,,,,,
MGRSD,02/01/2020 10:10 PST,,,24.81,18.63,0.56,17.4,2.25,13.56,,-0.64,,NNE,,,,,,
MGRSD,02/01/2020 10:20 PST,,,25.0,17.63,2.15,52.28,6.3,13.57,,-1.23,,NE,,,,,,
MGRSD,02/01/2020 10:30 PST,,,24.99,17.27,2.81,59.07,6.57,13.56,,-1.52,,ENE,,,,,,
MGRSD,02/01/2020 10:40 PST,,,24.84,17.1,3.44,58.82,7.18,13.56,,-1.77,,ENE,,,,,,
MGRSD,02/01/2020 10:50 PST,,,24.86,17.2,3.19,62.63,8.88,13.56,,-1.68,,ENE,,,,,,
MGRSD,02/01/2020 11:00 PST,,,24.92,17.15,3.67,54.59,8.27,13.56,,-1.67,,NE,,,,,,
MGRSD,02/01/2020 11:10 PST,,,25.0,17.23,3.58,49.7,7.28,13.56,,-1.54,,NE,,,,,,
MGRSD,02/01/2020 11:20 PST,,,24.96,17.16,3.61,53.73,6.92,13.53,,-1.63,,NE,,,,,,
MGRSD,02/01/2020 11:30 PST,,,24.98,17.03,3.71,54.71,7.48,13.56,,-1.72,,NE,,,,,,
MGRSD,02/01/2020 11:40 PST,,,25.2,17.19,3.1,63.6,7.02,13.57,,-1.41,,ENE,,,,,,
MGRSD,02/01/2020 11:50 PST,,,25.46,17.24,2.72,55.25,6.01,13.57,,-1.16,,NE,,,,,,
MGRSD,02/01/2020 12:00 PST,,,25.31,16.81,3.84,54.43,7.74,13.57,,-1.62,,NE,,,,,,
MGRSD,02/01/2020 12:10 PST,,,25.34,16.67,3.49,51.68,7.15,13.57,,-1.71,,NE,,,,,,
MGRSD,02/01/2020 12:20 PST,,,25.41,16.53,3.49,57.79,7.58,13.57,,-1.76,,ENE,,,,,,
MGRSD,02/01/2020 12:30 PST,,,25.53,16.7,3.29,48.22,6.8,13.57,,-1.53,,NE,,,,,,
MGRSD,02/01/2020 12:40 PST,,,25.6,16.49,3.24,65.81,6.6,13.57,,-1.64,,ENE,,,,,,
MGRSD,02/01/2020 12:50 PST,,,25.92,16.66,2.84,46.46,6.73,13.57,,-1.24,,NE,,,,,,
MGRSD,02/01/2020 13:00 PST,,,25.74,16.48,3.42,59.1,6.24,13.57,,-1.53,,ENE,,,,,,
MGRSD,02/01/2020 13:10 PST,,,25.71,16.42,3.63,56.29,6.3,13.57,,-1.61,,ENE,,,,,,
MGRSD,02/01/2020 13:20 PST,,,25.82,16.34,3.16,54.66,6.83,13.57,,-1.58,,NE,,,,,,
MGRSD,02/01/2020 13:30 PST,,,26.07,16.0,2.8,61.25,5.23,13.54,,-1.66,,ENE,,,,,,
MGRSD,02/01/2020 13:40 PST,,,25.78,15.76,3.88,52.91,7.42,13.53,,-2.1,,NE,,,,,,
MGRSD,02/01/2020 13:50 PST,,,25.79,15.68,3.37,59.37,7.61,13.53,,-2.16,,ENE,,,,,,
MGRSD,02/01/2020 14:00 PST,,,25.78,15.59,3.76,54.12,7.58,13.53,,-2.25,,NE,,,,,,
MGRSD,02/01/2020 14:10 PST,,,25.74,15.6,3.32,61.41,7.52,13.53,,-2.27,,ENE,,,,,,
MGRSD,02/01/2020 14:20 PST,,,25.68,15.67,3.66,52.19,6.6,13.53,,-2.26,,NE,,,,,,
MGRSD,02/01/2020 14:30 PST,,,25.61,15.69,3.73,56.29,7.28,13.53,,-2.3,,ENE,,,,,,
MGRSD,02/01/2020 14:40 PST,,,25.68,15.94,3.17,61.98,7.02,13.53,,-2.03,,ENE,,,,,,
