# STATION: ROCSD
# STATION NAME: Rockwood
# LATITUDE: 33.14219
# LONGITUDE: -116.96861
# ELEVATION [ft]: 2210
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,volt_set_1,wind_gust_set_1,wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,volts,m/s,Degrees,Celsius,Celsius,code,Celsius
ROCSD,01/31/2020 23:00 PST,18.04,13.35,5.6,12.2,7.28,78.85,-10.5,,E,
ROCSD,01/31/2020 23:10 PST,18.21,12.83,4.36,12.2,5.88,63.71,-10.85,,ENE,
ROCSD,01/31/2020 23:20 PST,18.88,11.56,4.12,12.2,5.85,59.43,-11.61,,ENE,
ROCSD,01/31/2020 23:30 PST,19.21,10.99,2.71,12.19,5.39,65.98,-11.98,,ENE,
ROCSD,01/31/2020 23:40 PST,19.45,11.05,2.64,12.19,3.66,44.2,-11.72,,NE,
ROCSD,01/31/2020 23:50 PST,19.72,11.94,2.66,12.18,3.36,12.48,-10.55,,NNE,
ROCSD,02/01/2020 00:00 PST,19.91,13.2,2.02,12.18,2.68,1.36,-9.14,,N,
ROCSD,02/01/2020 00:10 PST,20.28,12.42,1.94,12.18,2.22,358.0,-9.61,,N,
ROCSD,02/01/2020 00:20 PST,20.51,12.04,1.75,12.17,2.06,358.1,-9.82,,N,
ROCSD,02/01/2020 00:30 PST,20.56,12.11,1.75,12.17,2.42,353.5,-9.71,,N,
ROCSD,02/01/2020 00:40 PST,20.49,12.9,2.18,12.17,2.74,358.8,-8.97,,N,
ROCSD,02/01/2020 00:50 PST,20.49,12.79,2.41,12.17,2.81,2.38,-9.08,,N,
ROCSD,02/01/2020 01:00 PST,20.53,12.2,2.34,12.16,2.91,8.72,-9.64,,N,
ROCSD,02/01/2020 01:10 PST,20.72,10.86,2.25,12.16,2.81,10.48,-10.94,,N,
ROCSD,02/01/2020 01:20 PST,21.08,9.51,1.82,12.16,2.22,341.2,-12.29,,NNW,
ROCSD,02/01/2020 01:30 PST,21.21,10.21,1.97,12.15,2.19,338.5,-11.32,,NNW,
ROCSD,02/01/2020 01:40 PST,20.79,10.75,1.5,12.15,2.19,46.39,-11.01,,NE,
ROCSD,02/01/2020 01:50 PST,19.95,9.65,2.38,12.15,4.05,98.5,-12.99,,E,
ROCSD,02/01/2020 02:00 PST,19.69,9.15,1.48,12.15,2.16,90.5,-13.83,,E,
ROCSD,02/01/2020 02:10 PST,20.09,8.64,1.95,12.14,2.64,107.5,-14.21,,ESE,
ROCSD,02/01/2020 02:20 PST,20.14,8.14,2.51,12.14,3.6,81.7,-14.88,,E,
ROCSD,02/01/2020 02:30 PST,19.98,8.04,3.0,12.14,3.92,73.15,-15.15,,ENE,
ROCSD,02/01/2020 02:40 PST,19.68,8.42,3.94,12.14,5.65,68.41,-14.83,,ENE,
ROCSD,02/01/2020 02:50 PST,19.17,9.4,4.68,12.13,6.14,74.28,-13.9,,ENE,
