# STATION: SILSD
# STATION NAME: Sill Hill
# LATITUDE: 32.954055
# LONGITUDE: -116.642846
# ELEVATION [ft]: 3556
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
SILSD,02/01/2020 00:00 UTC,,,18.9,17.25,1.99,289.0,2.84,13.09,,-6.54,,WNW,,,,,,
SILSD,02/01/2020 00:10 UTC,,,18.71,18.22,1.76,283.5,2.64,13.09,,-5.99,,WNW,,,,,,
SILSD,02/01/2020 00:20 UTC,,,19.31,19.79,0.71,297.9,1.67,13.09,,-4.41,,WNW,,,,,,
SILSD,02/01/2020 00:30 UTC,,,18.94,23.53,1.94,233.8,3.0,13.1,,-2.41,,SW,,,,,,
SILSD,02/01/2020 00:40 UTC,,,18.48,24.55,2.21,222.4,3.17,13.11,,-2.23,,SW,,,,,,
SILSD,02/01/2020 00:50 UTC,,,17.99,27.09,1.83,231.6,2.45,13.09,,-1.32,,SW,,,,,,
SILSD,02/01/2020 01:00 UTC,,,17.31,29.59,1.2,210.0,1.89,12.6,,-0.7,,SSW,,,,,,
SILSD,02/01/2020 01:10 UTC,,,17.23,28.18,1.07,167.3,1.99,12.46,,-1.44,,SSE,,,,,,
SILSD,02/01/2020 01:20 UTC,,,17.07,26.75,1.53,164.4,2.68,12.38,,-2.28,,SSE,,,,,,
SILSD,02/01/2020 01:30 UTC,,,16.87,25.61,0.3,111.1,1.47,12.32,,-3.04,,ESE,,,,,,
SILSD,02/01/2020 01:40 UTC,,,16.73,25.05,1.11,152.1,6.57,12.29,,-3.46,,SSE,,,,,,
SILSD,02/01/2020 01:50 UTC,,,16.98,15.22,3.6,114.0,6.47,12.28,,-9.71,,ESE,,,,,,
SILSD,02/01/2020 02:00 UTC,,,17.01,15.99,2.88,144.9,5.58,12.27,,-9.06,,SE,,,,,,
SILSD,02/01/2020 02:10 UTC,,,17.17,17.8,2.51,159.6,7.35,12.26,,-7.56,,SSE,,,,,,
SILSD,02/01/2020 02:20 UTC,,,17.29,13.35,2.33,168.3,5.62,12.26,,-11.1,,SSE,,,,,,
SILSD,02/01/2020 02:30 UTC,,,17.06,10.44,3.12,130.3,8.0,12.25,,-14.28,,SE,,,,,,
SILSD,02/01/2020 02:40 UTC,,,17.12,7.59,3.49,136.1,8.4,12.25,,-17.98,,SE,,,,,,
SILSD,02/01/2020 02:50 UTC,,,17.05,6.85,5.0,111.3,9.21,12.24,,-19.21,,ESE,,,,,,
SILSD,02/01/2020 03:00 UTC,,,17.16,6.65,7.49,100.6,11.27,12.24,,-19.47,,E,,,,,,
SILSD,02/01/2020 03:10 UTC,,,17.44,6.75,7.85,108.1,12.15,12.24,,-19.09,,ESE,,,,,,
SILSD,02/01/2020 03:20 UTC,,,18.02,6.55,7.71,94.0,15.45,12.23,,-19.0,,E,,,,,,
SILSD,02/01/2020 03:30 UTC,,,17.66,6.92,7.28,103.9,14.76,12.23,,-18.64,,ESE,,,,,,
SILSD,02/01/2020 03:40 UTC,,,17.68,7.68,6.47,129.3,11.69,12.23,,-17.42,,SE,,,,,,
SILSD,02/01/2020 03:50 UTC,,,17.48,7.95,4.74,115.3,8.72,12.23,,-17.17,,ESE,,,,,,
SILSD,02/01/2020 04:00 UTC,,,17.27,9.01,2.42,117.7,7.38,12.22,,-15.87,,ESE,,,,,,
SILSD,02/01/2020 04:10 UTC,,,16.72,11.32,5.24,112.2,10.68,12.22,,-13.57,,ESE,,,,,,
SILSD,02/01/2020 04:20 UTC,,,17.44,9.58,6.66,92.3,12.35,12.22,,-15.01,,E,,,,,,
SILSD,02/01/2020 04:30 UTC,,,18.31,8.41,7.81,87.7,13.36,12.22,,-15.89,,E,,,,,,
SILSD,02/01/2020 04:40 UTC,,,18.64,7.77,5.43,75.3,10.68,12.22,,-16.57,,ENE,,,,,,
SILSD,02/01/2020 04:50 UTC,,,17.55,11.67,2.71,233.1,6.53,12.21,,-12.54,,SW,,,,,,
