# STATION: SSOSD
# STATION NAME: Sunset Oaks
# LATITUDE: 33.07452
# LONGITUDE: -116.81370
# ELEVATION [ft]: 2337
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
SSOSD,02/01/2020 00:00 UTC,,,21.36,12.95,3.68,69.99,5.45,13.65,,-8.23,,ENE,,,,,,
SSOSD,02/01/2020 00:10 UTC,,,21.26,12.63,3.78,82.7,5.98,13.65,,-8.63,,E,,,,,,
SSOSD,02/01/2020 00:20 UTC,,,20.74,14.04,4.25,89.5,6.2,13.65,,-7.69,,E,,,,,,
SSOSD,02/01/2020 00:30 UTC,,,20.45,14.25,4.2,77.46,6.7,13.65,,-7.74,,ENE,,,,,,
SSOSD,02/01/2020 00:40 UTC,,,19.98,15.02,3.63,84.6,5.72,13.64,,-7.44,,E,,,,,,
SSOSD,02/01/2020 00:50 UTC,,,19.53,15.24,4.14,93.7,6.24,13.64,,-7.62,,E,,,,,,
SSOSD,02/01/2020 01:00 UTC,,,19.07,16.06,3.61,76.78,5.49,13.65,,-7.33,,ENE,,,,,,
SSOSD,02/01/2020 01:10 UTC,,,18.68,16.38,3.52,67.45,4.87,13.11,,-7.39,,ENE,,,,,,
SSOSD,02/01/2020 01:20 UTC,,,18.39,16.11,4.25,61.29,5.92,13.04,,-7.84,,ENE,,,,,,
SSOSD,02/01/2020 01:30 UTC,,,18.08,16.21,4.66,68.69,6.01,13.0,,-8.01,,ENE,,,,,,
SSOSD,02/01/2020 01:40 UTC,,,17.54,16.6,4.18,69.9,5.26,12.98,,-8.15,,ENE,,,,,,
SSOSD,02/01/2020 01:50 UTC,,,17.21,16.84,4.2,73.98,5.36,12.97,,-8.24,,ENE,,,,,,
SSOSD,02/01/2020 02:00 UTC,,,17.3,16.28,4.64,69.16,6.3,12.97,,-8.6,,ENE,,,,,,
SSOSD,02/01/2020 02:10 UTC,,,17.03,16.7,4.28,67.85,5.72,12.96,,-8.49,,ENE,,,,,,
SSOSD,02/01/2020 02:20 UTC,,,16.92,16.86,4.4,64.49,7.02,12.95,,-8.46,,ENE,,,,,,
SSOSD,02/01/2020 02:30 UTC,,,17.32,15.81,5.15,49.66,7.61,12.95,,-8.95,,NE,,,,,,
SSOSD,02/01/2020 02:40 UTC,,,17.47,14.45,4.62,46.55,6.63,12.94,,-9.96,,NE,,,,,,
SSOSD,02/01/2020 02:50 UTC,,,16.67,15.55,3.11,80.1,5.32,12.94,,-9.69,,E,,,,,,
SSOSD,02/01/2020 03:00 UTC,,,15.77,16.59,3.13,83.6,4.02,12.93,,-9.61,,E,,,,,,
SSOSD,02/01/2020 03:10 UTC,,,15.61,16.35,3.21,88.2,4.31,12.93,,-9.92,,E,,,,,,
SSOSD,02/01/2020 03:20 UTC,,,15.59,15.49,3.55,84.6,4.8,12.92,,-10.62,,E,,,,,,
SSOSD,02/01/2020 03:30 UTC,,,15.72,14.91,4.3,87.9,5.1,12.92,,-10.99,,E,,,,,,
SSOSD,02/01/2020 03:40 UTC,,,16.24,15.26,4.46,86.8,6.04,12.92,,-10.28,,E,,,,,,
SSOSD,02/01/2020 03:50 UTC,,,15.99,17.12,4.63,89.7,7.15,12.91,,-9.03,,E,,,,,,
SSOSD,02/01/2020 04:00 UTC,,,16.83,16.63,5.23,88.7,8.65,12.91,,-8.71,,E,,,,,,
SSOSD,02/01/2020 04:10 UTC,,,17.2,16.24,5.01,90.0,7.55,12.9,,-8.71,,E,,,,,,
SSOSD,02/01/2020 04:20 UTC,,,17.16,16.4,4.93,93.7,6.7,12.9,,-8.62,,E,,,,,,
SSOSD,02/01/2020 04:30 UTC,,,17.83,15.61,6.17,107.0,9.21,12.9,,-8.7,,ESE,,,,,,
SSOSD,02/01/2020 04:40 UTC,,,17.92,15.85,6.08,106.6,8.95,12.89,,-8.43,,ESE,,,,,,
SSOSD,02/01/2020 04:50 UTC,,,17.88,16.08,6.1,97.8,8.85,12.89,,-8.28,,E,,,,,,
SSOSD,02/01/2020 05:00 UTC,,,17.74,16.3,4.47,99.7,6.7,12.89,,-8.22,,E,,,,,,
SSOSD,02/01/2020 05:10 UTC,,,17.83,16.09,3.61,92.7,4.6,12.89,,-8.31,,E,,,,,,
SSOSD,02/01/2020 05:20 UTC,,,17.28,16.93,4.68,91.5,6.73,12.88,,-8.11,,E,,,,,,
SSOSD,02/01/2020 05:30 UTC,,,16.67,17.9,4.5,89.2,6.14,12.88,,-7.9,,E,,,,,,
SSOSD,02/01/2020 05:40 UTC,,,16.16,18.8,4.14,85.9,5.55,12.88,,-7.7,,E,,,,,,
SSOSD,02/01/2020 05:50 UTC,,,16.21,18.66,4.03,84.4,6.5,12.87,,-7.75,,E,,,,,,
SSOSD,02/01/2020 06:00 UTC,,,17.16,16.98,4.98,74.85,7.32,12.87,,-8.18,,ENE,,,,,,
SSOSD,02/01/2020 06:10 UTC,,,17.53,16.26,5.03,65.2,6.76,12.87,,-8.42,,ENE,,,,,,
SSOSD,02/01/2020 06:20 UTC,,,17.7,16.02,4.86,63.85,6.6,12.86,,-8.48,,ENE,,,,,,
SSOSD,02/01/2020 06:30 UTC,,,17.36,16.46,4.17,62.35,5.88,12.86,,-8.41,,ENE,,,,,,
SSOSD,02/01/2020 06:40 UTC,,,17.08,16.78,3.34,81.9,4.8,12.86,,-8.39,,E,,,,,,
SSOSD,02/01/2020 06:50 UTC,,,16.71,17.25,3.27,81.5,4.21,12.85,,-8.34,,E,,,,,,
SSOSD,02/01/2020 07:00 UTC,,,16.67,16.79,3.1,76.88,4.25,12.85,,-8.72,,ENE,,,,,,
SSOSD,02/01/2020 07:10 UTC,,,16.88,15.21,2.81,60.48,3.66,12.85,,-9.8,,ENE,,,,,,
SSOSD,02/01/2020 07:20 UTC,,,17.51,13.45,3.33,52.25,4.12,12.84,,-10.83,,NE,,,,,,
SSOSD,02/01/2020 07:30 UTC,,,17.42,13.12,3.41,40.31,4.31,12.84,,-11.21,,NE,,,,,,
SSOSD,02/01/2020 07:40 UTC,,,16.85,13.56,3.39,48.32,4.28,12.83,,-11.25,,NE,,,,,,
SSOSD,02/01/2020 07:50 UTC,,,16.44,13.68,3.9,60.73,5.23,12.83,,-11.47,,ENE,,,,,,
SSOSD,02/01/2020 08:00 UTC,,,16.27,13.5,4.34,68.85,5.52,12.83,,-11.77,,ENE,,,,,,
SSOSD,02/01/2020 08:10 UTC,,,16.38,12.6,4.0,79.95,5.55,12.82,,-12.53,,E,,,,,,
SSOSD,02/01/2020 08:20 UTC,,,16.32,12.36,3.94,82.9,4.67,12.82,,-12.82,,E,,,,,,
SSOSD,02/01/2020 08:30 UTC,,,16.77,11.75,4.17,70.59,5.39,12.82,,-13.08,,ENE,,,,,,
SSOSD,02/01/2020 08:40 UTC,,,16.49,12.54,4.03,62.51,5.52,12.81,,-12.5,,ENE,,,,,,
SSOSD,02/01/2020 08:50 UTC,,,16.33,12.88,4.65,71.31,6.01,12.81,,-12.3,,ENE,,,,,,
SSOSD,02/01/2020 09:00 UTC,,,15.93,13.37,3.78,72.93,4.7,12.8,,-12.17,,ENE,,,,,,
SSOSD,02/01/2020 09:10 UTC,,,15.56,14.06,3.53,82.2,4.67,12.8,,-11.84,,E,,,,,,
SSOSD,02/01/2020 09:20 UTC,,,16.38,12.43,2.69,102.2,3.24,12.8,,-12.7,,ESE,,,,,,
SSOSD,02/01/2020 09:30 UTC,,,16.57,12.12,2.79,98.5,3.4,12.79,,-12.86,,E,,,,,,
SSOSD,02/01/2020 09:40 UTC,,,15.86,13.5,2.92,102.3,4.38,12.79,,-12.1,,ESE,,,,,,
SSOSD,02/01/2020 09:50 UTC,,,15.34,14.17,3.45,115.7,5.07,12.78,,-11.92,,ESE,,,,,,
SSOSD,02/01/2020 10:00 UTC,,,15.58,13.39,3.3,96.0,3.92,12.78,,-12.43,,E,,,,,,
SSOSD,02/01/2020 10:10 UTC,,,16.71,11.69,4.32,62.31,5.92,12.78,,-13.19,,ENE,,,,,,
SSOSD,02/01/2020 10:20 UTC,,,17.01,11.43,4.7,62.91,6.04,12.77,,-13.22,,ENE,,,,,,
SSOSD,02/01/2020 10:30 UTC,,,16.57,11.9,4.3,72.1,5.88,12.77,,-13.08,,ENE,,,,,,
SSOSD,02/01/2020 10:40 UTC,,,16.02,12.53,3.87,74.22,5.32,12.76,,-12.89,,ENE,,,,,,
SSOSD,02/01/2020 10:50 UTC,,,16.43,11.94,4.07,62.45,5.85,12.76,,-13.15,,ENE,,,,,,
SSOSD,02/01/2020 11:00 UTC,,,16.31,12.8,4.05,63.48,5.75,12.75,,-12.4,,ENE,,,,,,
SSOSD,02/01/2020 11:10 UTC,,,16.21,13.11,3.85,60.91,5.49,12.75,,-12.18,,ENE,,,,,,
SSOSD,02/01/2020 11:20 UTC,,,16.27,12.72,4.39,67.2,5.78,12.75,,-12.5,,ENE,,,,,,
SSOSD,02/01/2020 11:30 UTC,,,15.24,13.92,4.34,83.6,6.08,12.74,,-12.22,,E,,,,,,
SSOSD,02/01/2020 11:40 UTC,,,14.82,14.75,4.15,85.7,5.52,12.74,,-11.85,,E,,,,,,
SSOSD,02/01/2020 11:50 UTC,,,14.85,14.93,3.84,85.2,5.42,12.74,,-11.67,,E,,,,,,
SSOSD,02/01/2020 12:00 UTC,,,14.93,15.04,3.74,79.66,5.29,12.73,,-11.52,,E,,,,,,
SSOSD,02/01/2020 12:10 UTC,,,14.81,15.4,3.64,81.7,5.32,12.73,,-11.32,,E,,,,,,
SSOSD,02/01/2020 12:20 UTC,,,15.32,14.56,3.7,76.35,5.98,12.72,,-11.6,,ENE,,,,,,
SSOSD,02/01/2020 12:30 UTC,,,15.24,14.55,3.54,72.58,4.96,12.72,,-11.68,,ENE,,,,,,
SSOSD,02/01/2020 12:40 UTC,,,15.21,14.7,3.49,84.7,4.7,12.71,,-11.58,,E,,,,,,
SSOSD,02/01/2020 12:50 UTC,,,15.34,14.21,3.26,89.7,4.25,12.71,,-11.89,,E,,,,,,
