# STATION: STVSD
# STATION NAME: Santa Teresa Valley
# LATITUDE: 33.06877
# LONGITUDE: -116.76175
# ELEVATION [ft]: 2604
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,volt_set_1,wind_gust_set_1,wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,volts,m/s,Degrees,Celsius,Celsius,code,Celsius
STVSD,01/31/2020 23:00 PST,16.29,15.4,3.51,12.83,5.07,50.53,-10.12,,NE,
STVSD,01/31/2020 23:10 PST,16.47,14.96,3.09,12.83,4.31,58.89,-10.34,,ENE,
STVSD,01/31/2020 23:20 PST,16.24,14.38,2.81,12.83,4.15,53.42,-11.02,,NE,
STVSD,01/31/2020 23:30 PST,16.42,13.04,3.05,12.82,5.23,49.9,-12.08,,NE,
STVSD,01/31/2020 23:40 PST,16.71,11.9,3.44,12.82,4.83,50.27,-12.97,,NE,
STVSD,01/31/2020 23:50 PST,16.81,11.28,4.01,12.81,5.65,47.92,-13.54,,NE,
STVSD,02/01/2020 00:00 PST,16.8,11.08,3.38,12.81,5.0,44.53,-13.76,,NE,
STVSD,02/01/2020 00:10 PST,16.6,11.14,2.76,12.81,4.35,35.45,-13.86,,NE,
STVSD,02/01/2020 00:20 PST,16.2,11.71,1.45,12.81,4.54,18.9,-13.57,,NNE,
STVSD,02/01/2020 00:30 PST,16.62,10.76,1.36,12.8,3.63,22.1,-14.26,,NNE,
STVSD,02/01/2020 00:40 PST,16.17,11.47,1.81,12.8,3.98,23.53,-13.84,,NNE,
STVSD,02/01/2020 00:50 PST,16.06,11.7,3.26,12.8,5.75,45.9,-13.69,,NE,
STVSD,02/01/2020 01:00 PST,16.14,11.78,3.37,12.79,5.62,46.18,-13.54,,NE,
STVSD,02/01/2020 01:10 PST,16.38,11.43,3.83,12.79,6.04,48.39,-13.72,,NE,
STVSD,02/01/2020 01:20 PST,16.01,12.18,4.28,12.79,5.88,51.62,-13.24,,NE,
STVSD,02/01/2020 01:30 PST,15.9,12.4,4.52,12.78,5.85,50.49,-13.11,,NE,
STVSD,02/01/2020 01:40 PST,15.38,13.35,3.49,12.78,5.13,57.75,-12.62,,ENE,
STVSD,02/01/2020 01:50 PST,14.09,15.24,2.89,12.78,4.08,47.3,-12.04,,NE,
STVSD,02/01/2020 02:00 PST,14.21,15.03,2.82,12.77,3.72,63.25,-12.11,,ENE,
STVSD,02/01/2020 02:10 PST,14.53,13.96,3.53,12.77,4.93,59.11,-12.76,,ENE,
STVSD,02/01/2020 02:20 PST,16.22,11.36,3.84,12.76,6.01,60.09,-13.92,,ENE,
STVSD,02/01/2020 02:30 PST,16.32,11.5,4.38,12.76,6.67,54.82,-13.69,,NE,
STVSD,02/01/2020 02:40 PST,16.13,11.64,3.93,12.76,6.47,48.74,-13.69,,NE,
STVSD,02/01/2020 02:50 PST,15.47,12.64,4.21,12.75,6.14,50.29,-13.22,,NE,
STVSD,02/01/2020 03:00 PST,15.24,12.94,3.77,12.75,5.23,52.23,-13.12,,NE,
STVSD,02/01/2020 03:10 PST,15.14,12.97,3.09,12.75,4.21,59.01,-13.17,,ENE,
STVSD,02/01/2020 03:20 PST,15.29,12.64,2.88,12.74,4.67,63.93,-13.36,,ENE,
STVSD,02/01/2020 03:30 PST,14.52,14.19,3.02,12.74,3.85,79.67,-12.57,,E,
STVSD,02/01/2020 03:40 PST,15.16,12.82,3.01,12.73,4.77,66.58,-13.29,,ENE,
STVSD,02/01/2020 03:50 PST,15.44,12.58,3.65,12.73,5.13,50.0,-13.3,,NE,
STVSD,02/01/2020 04:00 PST,15.85,12.09,3.58,12.72,5.13,50.27,-13.46,,NE,
STVSD,02/01/2020 04:10 PST,15.86,12.11,3.43,12.72,4.6,52.79,-13.43,,NE,
STVSD,02/01/2020 04:20 PST,15.37,12.93,2.9,12.72,3.79,55.37,-13.02,,NE,
STVSD,02/01/2020 04:30 PST,15.32,12.93,3.12,12.71,3.95,53.28,-13.06,,NE,
STVSD,02/01/2020 04:40 PST,14.48,14.53,3.59,12.71,4.67,54.15,-12.31,,NE,
STVSD,02/01/2020 04:50 PST,14.42,14.64,3.77,12.71,5.13,54.83,-12.26,,NE,
STVSD,02/01/2020 05:00 PST,14.74,14.35,3.35,12.7,4.7,59.99,-12.25,,ENE,
STVSD,02/01/2020 05:10 PST,14.91,14.44,3.31,12.7,4.31,51.31,-12.04,,NE,
STVSD,02/01/2020 05:20 PST,14.93,14.39,2.87,12.7,3.79,56.94,-12.06,,ENE,
STVSD,02/01/2020 05:30 PST,13.82,17.14,2.99,12.69,4.12,97.6,-10.8,,E,
STVSD,02/01/2020 05:40 PST,11.61,21.76,2.01,12.69,2.97,78.58,-9.64,,ENE,
STVSD,02/01/2020 05:50 PST,12.52,19.76,2.12,12.69,3.13,75.26,-10.1,,ENE,
STVSD,02/01/2020 06:00 PST,13.68,18.13,2.06,12.68,2.97,84.0,-10.21,,E,
STVSD,02/01/2020 06:10 PST,14.15,17.97,2.81,12.68,5.07,72.05,-9.94,,ENE,
STVSD,02/01/2020 06:20 PST,17.01,13.65,3.97,12.68,5.62,50.32,-11.04,,NE,
STVSD,02/01/2020 06:30 PST,17.55,13.44,4.17,12.68,5.98,49.55,-10.8,,NE,
STVSD,02/01/2020 06:40 PST,17.38,14.57,3.93,12.68,5.65,54.93,-9.93,,NE,
STVSD,02/01/2020 06:50 PST,17.48,15.24,4.06,12.68,5.92,53.37,-9.29,,NE,
STVSD,02/01/2020 07:00 PST,17.66,15.19,3.68,12.68,5.16,56.69,-9.18,,ENE,
STVSD,02/01/2020 07:10 PST,17.54,15.77,3.87,12.68,6.4,53.18,-8.81,,NE,
STVSD,02/01/2020 07:20 PST,18.12,16.51,3.44,12.69,6.08,49.85,-7.75,,NE,
STVSD,02/01/2020 07:30 PST,18.63,17.73,3.02,12.69,4.64,46.38,-6.41,,NE,
STVSD,02/01/2020 07:40 PST,19.09,18.29,3.41,12.7,4.93,50.96,-5.62,,NE,
STVSD,02/01/2020 07:50 PST,19.1,20.0,2.47,12.72,3.88,68.09,-4.44,,ENE,
STVSD,02/01/2020 08:00 PST,19.01,20.42,2.76,12.72,4.12,58.64,-4.24,,ENE,
STVSD,02/01/2020 08:10 PST,19.5,20.32,2.68,12.73,4.28,60.96,-3.9,,ENE,
STVSD,02/01/2020 08:20 PST,19.96,19.46,2.28,12.87,3.79,70.96,-4.09,,ENE,
STVSD,02/01/2020 08:30 PST,20.32,19.39,2.13,12.99,3.6,70.21,-3.83,,ENE,
STVSD,02/01/2020 08:40 PST,20.57,19.19,2.22,13.12,4.21,72.66,-3.76,,ENE,
STVSD,02/01/2020 08:50 PST,20.67,19.32,3.18,13.24,5.45,59.05,-3.59,,ENE,
STVSD,02/01/2020 09:00 PST,21.14,19.78,2.6,13.32,5.0,78.1,-2.89,,ENE,
STVSD,02/01/2020 09:10 PST,21.39,19.62,3.2,13.39,5.13,73.3,-2.79,,ENE,
STVSD,02/01/2020 09:20 PST,21.74,19.72,3.51,13.44,6.47,71.3,-2.43,,ENE,
STVSD,02/01/2020 09:30 PST,21.62,19.3,5.41,13.49,9.47,76.92,-2.81,,ENE,
STVSD,02/01/2020 09:40 PST,21.53,19.27,5.82,13.54,10.06,76.18,-2.91,,ENE,
STVSD,02/01/2020 09:50 PST,21.43,19.35,6.33,13.61,10.68,75.66,-2.94,,ENE,
STVSD,02/01/2020 10:00 PST,21.28,19.38,7.38,13.64,11.92,74.0,-3.04,,ENE,
STVSD,02/01/2020 10:10 PST,21.36,19.59,7.35,13.63,11.63,74.24,-2.83,,ENE,
STVSD,02/01/2020 10:20 PST,21.34,19.59,7.54,13.62,11.82,80.4,-2.85,,E,
STVSD,02/01/2020 10:30 PST,21.49,19.77,7.27,13.61,11.3,77.18,-2.6,,ENE,
STVSD,02/01/2020 10:40 PST,21.47,19.5,7.94,13.63,11.72,76.67,-2.8,,ENE,
STVSD,02/01/2020 10:50 PST,21.63,19.62,5.8,13.63,9.73,70.45,-2.59,,ENE,
STVSD,02/01/2020 11:00 PST,21.64,19.46,5.78,13.63,11.07,69.68,-2.69,,ENE,
STVSD,02/01/2020 11:10 PST,21.62,19.6,5.0,13.63,9.12,73.98,-2.61,,ENE,
STVSD,02/01/2020 11:20 PST,21.68,19.67,6.12,13.63,10.39,78.75,-2.51,,E,
STVSD,02/01/2020 11:30 PST,21.83,20.07,4.86,13.63,9.34,71.69,-2.11,,ENE,
STVSD,02/01/2020 11:40 PST,21.92,19.96,4.66,13.63,8.49,61.95,-2.11,,ENE,
STVSD,02/01/2020 11:50 PST,22.16,20.26,4.36,13.63,10.03,67.82,-1.71,,ENE,
STVSD,02/01/2020 12:00 PST,22.16,19.91,4.84,13.63,8.59,73.06,-1.95,,ENE,
STVSD,02/01/2020 12:10 PST,21.95,19.88,5.11,13.63,7.84,77.55,-2.14,,ENE,
STVSD,02/01/2020 12:20 PST,22.09,19.82,4.83,13.63,8.0,63.9,-2.07,,ENE,
STVSD,02/01/2020 12:30 PST,22.24,19.97,4.68,13.63,9.54,63.85,-1.84,,ENE,
STVSD,02/01/2020 12:40 PST,22.31,19.69,5.03,13.63,8.04,68.45,-1.97,,ENE,
STVSD,02/01/2020 12:50 PST,22.35,19.44,5.21,13.63,8.46,74.98,-2.11,,ENE,
STVSD,02/01/2020 13:00 PST,22.24,18.9,5.83,13.63,8.2,77.48,-2.58,,ENE,
STVSD,02/01/2020 13:10 PST,22.32,19.3,6.06,13.63,9.9,83.3,-2.23,,E,
STVSD,02/01/2020 13:20 PST,22.31,19.47,6.1,13.63,8.88,82.1,-2.12,,E,
STVSD,02/01/2020 13:30 PST,22.29,19.39,5.92,13.63,8.36,84.7,-2.19,,E,
STVSD,02/01/2020 13:40 PST,22.63,19.54,5.37,13.63,9.4,78.95,-1.81,,E,
STVSD,02/01/2020 13:50 PST,22.65,18.67,5.55,13.63,8.65,70.88,-2.4,,ENE,
STVSD,02/01/2020 14:00 PST,22.54,18.3,6.27,13.63,9.5,75.86,-2.76,,ENE,
STVSD,02/01/2020 14:10 PST,22.54,18.3,5.91,13.63,9.96,71.11,-2.76,,ENE,
STVSD,02/01/2020 14:20 PST,22.38,18.22,6.12,13.63,9.34,72.76,-2.95,,ENE,
STVSD,02/01/2020 14:30 PST,22.34,18.1,6.67,13.63,9.64,72.54,-3.07,,ENE,
STVSD,02/01/2020 14:40 PST,22.29,18.14,6.58,13.63,9.64,75.04,-3.09,,ENE,
STVSD,02/01/2020 14:50 PST,22.41,18.01,6.47,13.63,8.82,75.61,-3.08,,ENE,
STVSD,02/01/2020 15:00 PST,22.46,18.48,5.72,13.63,8.62,74.51,-2.7,,ENE,
STVSD,02/01/2020 15:10 PST,22.52,18.07,6.19,13.63,11.11,72.62,-2.95,,ENE,
STVSD,02/01/2020 15:20 PST,22.29,17.68,6.69,13.63,10.62,76.32,-3.43,,ENE,
STVSD,02/01/2020 15:30 PST,22.29,17.57,6.37,13.63,10.91,72.25,-3.51,,ENE,
STVSD,02/01/2020 15:40 PST,22.19,17.99,5.99,13.63,9.67,71.89,-3.28,,ENE,
STVSD,02/01/2020 15:50 PST,22.06,18.78,5.2,13.63,8.62,74.23,-2.81,,ENE,
STVSD,02/01/2020 16:00 PST,21.77,18.96,5.75,13.63,9.31,71.45,-2.93,,ENE,
STVSD,02/01/2020 16:10 PST,21.62,18.69,5.72,13.63,10.09,70.67,-3.24,,ENE,
STVSD,02/01/2020 16:20 PST,21.42,19.05,5.29,13.65,8.59,69.81,-3.15,,ENE,
STVSD,02/01/2020 16:30 PST,21.27,19.02,5.2,13.67,7.97,71.68,-3.3,,ENE,
STVSD,02/01/2020 16:40 PST,20.99,19.39,4.89,13.67,8.17,72.8,-3.28,,ENE,
STVSD,02/01/2020 16:50 PST,20.73,19.41,5.75,13.67,9.15,70.74,-3.48,,ENE,
STVSD,02/01/2020 17:00 PST,20.33,19.99,4.65,13.67,7.52,65.3,-3.42,,ENE,
STVSD,02/01/2020 17:10 PST,19.99,20.35,5.51,13.23,7.84,67.36,-3.47,,ENE,
STVSD,02/01/2020 17:20 PST,19.65,20.85,5.23,13.04,7.28,65.52,-3.43,,ENE,
STVSD,02/01/2020 17:30 PST,19.31,21.45,5.23,12.99,7.55,64.61,-3.34,,ENE,
STVSD,02/01/2020 17:40 PST,19.02,21.79,5.24,12.97,8.85,60.04,-3.37,,ENE,
STVSD,02/01/2020 17:50 PST,18.76,22.1,5.14,12.96,7.9,57.95,-3.4,,ENE,
STVSD,02/01/2020 18:00 PST,18.91,21.74,4.81,12.96,7.94,60.63,-3.5,,ENE,
STVSD,02/01/2020 18:10 PST,18.94,21.64,5.07,12.95,8.07,60.58,-3.53,,ENE,
STVSD,02/01/2020 18:20 PST,18.96,21.74,4.88,12.94,7.64,59.48,-3.45,,ENE,
STVSD,02/01/2020 18:30 PST,18.47,22.62,4.33,12.94,7.32,57.51,-3.34,,ENE,
STVSD,02/01/2020 18:40 PST,18.11,23.27,3.55,12.93,6.17,54.55,-3.27,,NE,
STVSD,02/01/2020 18:50 PST,17.77,23.92,2.97,12.93,4.7,61.22,-3.19,,ENE,
STVSD,02/01/2020 19:00 PST,17.21,24.98,1.88,12.92,3.56,45.53,-3.08,,NE,
STVSD,02/01/2020 19:10 PST,17.13,25.18,2.45,12.92,4.12,60.9,-3.05,,ENE,
