site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
5407,2020-02-01,0,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,1,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,2,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,3,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,4,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,5,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,6,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,7,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,8,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,22,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,23,1013.250,BPSTA,Millibars ( mb ),0,y,,H,-99,Bombay Beach 
5410,2020-02-01,0,1029.460,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,1,1029.460,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,2,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,3,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,4,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,5,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,6,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,7,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,8,1029.460,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,9,1029.460,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,10,1030.480,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,11,1031.490,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,12,1030.480,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,13,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,14,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,15,1027.440,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,16,1026.420,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,17,1026.420,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,18,1025.410,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,19,1025.410,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,20,1025.410,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,21,1025.410,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,22,1025.410,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5410,2020-02-01,23,1024.400,BPSTA,Millibars ( mb ),0,y,,H,-99,Salton City 
5408,2020-02-01,0,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,1,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,2,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,3,1032.500,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,4,1032.500,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,5,1032.500,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,6,1032.500,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,7,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,8,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,9,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,10,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,11,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,12,1033.520,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,13,1032.500,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,14,1030.480,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,15,1029.460,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,16,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,17,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,18,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,19,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,20,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,21,1027.440,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,22,1028.450,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
5408,2020-02-01,23,1027.440,BPSTA,Millibars ( mb ),0,y,,H,-99,Sonny Bono 
