site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3541,2020-02-01,0,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,1,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,2,4.34,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,3,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,4,7.82,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,5,5.21,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,6,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,7,5.21,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,8,9.56,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,9,8.69,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,10,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,11,10.43,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,12,10.43,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,13,9.56,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,14,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,15,7.82,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,16,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,17,5.21,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,18,2.61,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,19,7.82,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,20,7.82,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,21,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,22,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,23,4.34,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Buttercup 
3516,2020-02-01,0,5.21,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
3516,2020-02-01,1,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
3516,2020-02-01,2,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
3516,2020-02-01,3,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
3516,2020-02-01,4,6.08,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
3516,2020-02-01,5,6.95,PKSPD,Knots ( knots ),0,y,RAWS,H,-99,Cahuilla 
