site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
5407,2020-02-01,0,39.8,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,1,57.9,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,2,35.1,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,3,48.3,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,4,63.8,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,5,66.0,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,6,67.8,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,7,65.7,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,8,63.4,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,9,54.7,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,10,60.8,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,11,46.2,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,12,40.6,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,13,19.0,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,14,22.1,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,15,26.1,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,16,26.5,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,17,25.2,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,18,23.3,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,19,25.2,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,20,24.8,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,21,56.3,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,22,82.5,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,23,61.1,RELHUM,Percent ( % ),0,y,,H,-99,Bombay Beach 
3541,2020-02-01,0,31.0,RELHUM,Percent ( % ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,1,32.0,RELHUM,Percent ( % ),0,y,RAWS,H,-99,Buttercup 
3541,2020-02-01,2,29.0,RELHUM,Percent ( % ),0,y,RAWS,H,-99,Buttercup 
