site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
5407,2020-02-01,0, 343/07,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,1, 249/07,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,2, 347/04,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,3, 058/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,4, 061/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,5, 071/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,6, 067/04,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,7, 082/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,8, 070/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,9, 078/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,10, 157/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,11, 225/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,12, 234/04,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,13, 192/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,14, 163/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,15,00/01,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,16, 197/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,17,00/01,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,18, 056/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,19, 015/03,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,20, 350/06,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,21, 327/06,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,22, 238/02,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
5407,2020-02-01,23, 107/01,SWINSPD_met_fmt,Knots ( knots ),0,y,,H,-99,Bombay Beach 
3135,2020-02-01,0,__/03,SWINSPD_met_fmt,Knots ( knots ),0,y,AIRS,H,-99,Calexico-Ethel Street 
