site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
5409,2020-01-01,0, 289/04.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,1, 313/03.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,2, 258/02.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,3, 257/03.5,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,4, 288/04.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,5, 314/03.9,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,6, 309/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,7, 273/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,8, 291/02.5,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,9, 220/01.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,10, 056/00.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,11, 060/01.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,12, 069/01.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,13, 052/01.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,14, 053/01.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,15, 063/02.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,16, 359/02.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,17, 236/01.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,18, 212/00.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,19, 074/00.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,20, 052/01.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,21, 294/01.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,22, 279/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-01,23, 328/02.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,0, 285/03.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,1, 279/02.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,2, 337/02.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,3, 269/03.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,4, 270/02.9,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,5, 309/02.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,6, 248/02.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,7, 230/03.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,8, 217/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,9, 257/02.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,10, 337/01.9,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,11, 262/01.6,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,12, 030/01.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,13, 052/01.6,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,14, 056/02.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,15, 047/01.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,16, 016/00.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,17, 038/00.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,18, 041/01.9,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,19, 231/02.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,20, 252/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,21, 254/02.8,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,22, 238/03.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-02,23, 254/02.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,0, 261/03.5,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,1, 258/02.9,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,2, 244/03.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,3, 278/03.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,4, 339/01.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,5, 217/02.5,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,6, 277/02.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,7, 306/03.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,8, 316/03.0,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,9, 359/02.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,10, 027/00.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,11, 018/01.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,12, 057/01.3,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,13,CALM,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,14, 183/01.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,15, 174/01.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,16, 019/02.4,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,17, 342/02.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,18, 354/02.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,19, 327/02.2,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,20, 311/01.7,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
5409,2020-01-03,21, 314/01.1,SWINSPD_wd/ws,Meters/Second ( m/s ),0,y,,H,-99,Naval Test Base 
