site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
5407,t,2020-01-01,0,2.24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,1,-0.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,2,3.27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,3,6.28,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,4,3.83,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,5,1.89,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,6,1.71,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,7,4.94,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,8,0.52,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,9,4.27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,10,3.82,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,11,4.49,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,12,8.96,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,13,-1.91,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,14,1.72,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,15,3.04,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,16,1.88,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,17,4.81,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,18,-0.24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,19,0.88,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,20,1.90,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,21,1.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,22,1.05,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5407,t,2020-01-01,23,1.36,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Bombay Beach 
5406,t,2020-01-01,0,3.26,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,1,4.27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,2,4.17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,3,2.59,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,4,6.62,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,5,6.87,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,6,-3.15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,7,2.97,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,8,2.13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,9,7.21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,10,9.85,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,11,1.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,12,4.53,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,13,2.52,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,14,2.26,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,15,4.51,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,16,5.94,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,17,-0.11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,18,3.08,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,19,-1.02,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,20,1.19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
5406,t,2020-01-01,21,2.13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Salton Sea Park 
