# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: KNJK
# STATION NAME: El Centro, Naval Air Facility
# LATITUDE: 32.82500
# LONGITUDE: -115.66056
# ELEVATION [ft]: -43
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
KNJK,2020-01-01T00:56:00Z,16.7,2.06,80.0
KNJK,2020-01-01T01:56:00Z,13.9,0.0,0.0
KNJK,2020-01-01T02:56:00Z,11.1,0.0,0.0
KNJK,2020-01-01T03:56:00Z,10.6,2.57,230.0
KNJK,2020-01-01T04:56:00Z,9.4,3.09,250.0
KNJK,2020-01-01T05:56:00Z,8.9,2.06,250.0
KNJK,2020-01-01T06:56:00Z,8.3,2.57,260.0
KNJK,2020-01-01T07:56:00Z,8.3,3.6,250.0
KNJK,2020-01-01T08:56:00Z,7.8,4.12,250.0
KNJK,2020-01-01T09:56:00Z,6.7,3.09,240.0
KNJK,2020-01-01T10:56:00Z,6.7,3.09,240.0
KNJK,2020-01-01T11:56:00Z,6.1,3.6,270.0
KNJK,2020-01-01T12:56:00Z,6.1,2.57,250.0
KNJK,2020-01-01T13:56:00Z,6.1,1.54,80.0
KNJK,2020-01-01T14:56:00Z,5.0,2.06,240.0
KNJK,2020-01-01T15:56:00Z,6.1,3.09,220.0
KNJK,2020-01-01T16:56:00Z,9.4,1.54,250.0
KNJK,2020-01-01T17:56:00Z,13.9,2.06,300.0
KNJK,2020-01-01T18:56:00Z,16.1,0.0,0.0
KNJK,2020-01-01T19:56:00Z,17.8,0.0,0.0
KNJK,2020-01-01T20:56:00Z,18.3,0.0,0.0
KNJK,2020-01-01T21:56:00Z,18.9,2.06,170.0
KNJK,2020-01-01T22:56:00Z,18.9,2.57,90.0
KNJK,2020-01-01T23:56:00Z,17.8,4.63,20.0
KNJK,2020-01-02T00:56:00Z,15.6,3.09,230.0
KNJK,2020-01-02T01:56:00Z,14.4,1.54,300.0
KNJK,2020-01-02T05:56:00Z,7.8,2.57,240.0
KNJK,2020-01-02T06:56:00Z,7.2,2.06,310.0
KNJK,2020-01-02T07:56:00Z,7.2,4.63,260.0
KNJK,2020-01-02T08:56:00Z,6.1,1.54,330.0
KNJK,2020-01-02T09:56:00Z,5.0,1.54,110.0
KNJK,2020-01-02T10:56:00Z,5.6,1.54,220.0
KNJK,2020-01-02T11:56:00Z,6.1,2.06,250.0
KNJK,2020-01-02T12:56:00Z,5.0,3.09,200.0
KNJK,2020-01-02T13:56:00Z,5.6,0.0,0.0
KNJK,2020-01-02T14:56:00Z,4.4,0.0,0.0
KNJK,2020-01-02T15:56:00Z,8.3,0.0,0.0
KNJK,2020-01-02T16:56:00Z,11.7,3.09,260.0
KNJK,2020-01-02T17:56:00Z,16.1,2.06,240.0
KNJK,2020-01-02T18:56:00Z,20.0,1.54,340.0
KNJK,2020-01-02T19:56:00Z,21.1,3.09,20.0
KNJK,2020-01-02T20:56:00Z,21.7,3.6,350.0
KNJK,2020-01-02T21:56:00Z,22.2,2.57,350.0
KNJK,2020-01-02T22:56:00Z,22.2,3.09,10.0
KNJK,2020-01-02T23:56:00Z,21.7,2.06,340.0
KNJK,2020-01-03T00:56:00Z,17.8,0.0,0.0
KNJK,2020-01-03T01:56:00Z,14.4,2.06,210.0
KNJK,2020-01-03T02:56:00Z,12.2,3.09,260.0
KNJK,2020-01-03T03:56:00Z,12.8,2.57,200.0
KNJK,2020-01-03T04:56:00Z,10.6,3.09,250.0
KNJK,2020-01-03T05:56:00Z,11.1,4.12,250.0
KNJK,2020-01-03T06:56:00Z,9.4,2.57,260.0
KNJK,2020-01-03T07:56:00Z,8.9,4.12,270.0
KNJK,2020-01-03T08:56:00Z,8.9,5.14,260.0
KNJK,2020-01-03T09:56:00Z,9.4,5.14,260.0
KNJK,2020-01-03T10:56:00Z,7.8,4.12,220.0
KNJK,2020-01-03T11:56:00Z,7.2,3.09,250.0
KNJK,2020-01-03T12:56:00Z,7.8,3.09,230.0
KNJK,2020-01-03T13:56:00Z,8.3,4.12,300.0
KNJK,2020-01-03T14:56:00Z,5.6,3.09,290.0
KNJK,2020-01-03T15:56:00Z,8.3,2.57,260.0
KNJK,2020-01-03T16:56:00Z,14.4,1.54,350.0
KNJK,2020-01-03T17:56:00Z,17.2,1.54,
KNJK,2020-01-03T18:56:00Z,18.3,0.0,0.0
KNJK,2020-01-03T19:56:00Z,20.0,1.54,160.0
KNJK,2020-01-03T20:56:00Z,21.1,1.54,160.0
KNJK,2020-01-03T21:56:00Z,21.7,3.09,140.0
