# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: MXCB1
# STATION NAME: MEXICALI
# LATITUDE: 32.66667
# LONGITUDE: -115.45778
# ELEVATION [ft]: 13
# STATE: None
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
MXCB1,2020-01-01T00:00:00Z,18.5,1.44,65.0
MXCB1,2020-01-01T00:10:00Z,18.5,1.75,65.0
MXCB1,2020-01-01T00:20:00Z,18.3,1.86,63.0
MXCB1,2020-01-01T00:30:00Z,17.9,1.89,55.0
MXCB1,2020-01-01T00:40:00Z,17.2,1.97,35.0
MXCB1,2020-01-01T00:50:00Z,16.7,1.91,16.0
MXCB1,2020-01-01T01:00:00Z,16.3,2.8,19.0
MXCB1,2020-01-01T01:10:00Z,16.1,3.99,25.0
MXCB1,2020-01-01T01:20:00Z,15.6,2.5,17.0
MXCB1,2020-01-01T01:30:00Z,15.2,1.69,352.0
MXCB1,2020-01-01T01:40:00Z,15.0,2.24,9.0
MXCB1,2020-01-01T01:50:00Z,15.2,3.6,33.0
MXCB1,2020-01-01T02:00:00Z,15.5,4.18,34.0
MXCB1,2020-01-01T02:10:00Z,15.6,3.49,42.0
MXCB1,2020-01-01T02:20:00Z,15.1,2.66,54.0
MXCB1,2020-01-01T02:30:00Z,15.1,3.19,53.0
MXCB1,2020-01-01T02:40:00Z,14.0,2.33,353.0
MXCB1,2020-01-01T02:50:00Z,13.8,2.19,348.0
MXCB1,2020-01-01T03:00:00Z,13.4,1.72,271.0
MXCB1,2020-01-01T03:10:00Z,13.6,1.16,292.0
MXCB1,2020-01-01T03:20:00Z,13.7,1.64,303.0
MXCB1,2020-01-01T03:30:00Z,13.5,1.47,274.0
MXCB1,2020-01-01T03:40:00Z,13.7,2.0,245.0
MXCB1,2020-01-01T03:50:00Z,14.0,1.44,238.0
MXCB1,2020-01-01T04:00:00Z,14.2,1.75,267.0
MXCB1,2020-01-01T04:10:00Z,14.4,2.22,273.0
MXCB1,2020-01-01T04:20:00Z,14.1,2.94,278.0
MXCB1,2020-01-01T04:30:00Z,13.9,2.66,288.0
MXCB1,2020-01-01T04:40:00Z,13.6,2.72,286.0
MXCB1,2020-01-01T04:50:00Z,13.7,2.33,286.0
MXCB1,2020-01-01T05:00:00Z,13.7,1.72,277.0
MXCB1,2020-01-01T05:10:00Z,13.8,1.66,262.0
MXCB1,2020-01-01T05:20:00Z,13.6,1.44,261.0
MXCB1,2020-01-01T05:30:00Z,13.4,1.72,267.0
MXCB1,2020-01-01T05:40:00Z,13.3,1.97,266.0
MXCB1,2020-01-01T05:50:00Z,13.3,2.13,268.0
MXCB1,2020-01-01T06:00:00Z,14.0,2.8,272.0
MXCB1,2020-01-01T06:10:00Z,13.6,2.77,286.0
MXCB1,2020-01-01T06:20:00Z,12.8,2.55,288.0
MXCB1,2020-01-01T06:30:00Z,12.5,2.08,284.0
MXCB1,2020-01-01T06:40:00Z,12.4,2.22,278.0
MXCB1,2020-01-01T06:50:00Z,12.1,1.64,255.0
MXCB1,2020-01-01T07:00:00Z,12.1,1.64,267.0
MXCB1,2020-01-01T07:10:00Z,12.1,1.66,273.0
MXCB1,2020-01-01T07:20:00Z,12.1,1.83,276.0
MXCB1,2020-01-01T07:30:00Z,11.9,1.52,275.0
MXCB1,2020-01-01T07:40:00Z,11.4,0.94,270.0
