# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: E0772
# STATION NAME: EW0772 Coachella
# LATITUDE: 33.66883
# LONGITUDE: -116.15350
# ELEVATION [ft]: 110
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
E0772,2020-01-01T00:01:00Z,20.56,1.34,0.0
E0772,2020-01-01T03:00:00Z,15.0,1.79,0.0
E0772,2020-01-01T04:01:00Z,12.78,0.9,20.0
E0772,2020-01-01T04:30:00Z,11.67,0.9,20.0
E0772,2020-01-01T04:32:00Z,11.67,0.9,20.0
E0772,2020-01-01T07:01:00Z,10.56,1.34,355.0
E0772,2020-01-01T07:16:00Z,10.0,0.9,35.0
E0772,2020-01-01T08:00:00Z,10.56,2.68,0.0
E0772,2020-01-01T08:30:00Z,8.33,1.34,0.0
E0772,2020-01-01T09:01:00Z,8.33,0.45,0.0
E0772,2020-01-01T09:17:00Z,7.78,1.34,17.0
E0772,2020-01-01T10:00:00Z,7.22,0.45,34.0
E0772,2020-01-01T10:46:00Z,6.67,0.9,245.0
E0772,2020-01-01T11:16:00Z,5.0,0.9,250.0
E0772,2020-01-01T13:02:00Z,6.11,1.34,0.0
E0772,2020-01-01T14:02:00Z,5.56,1.79,0.0
E0772,2020-01-01T14:32:00Z,5.0,1.34,0.0
E0772,2020-01-01T15:01:00Z,5.0,0.45,0.0
E0772,2020-01-01T15:30:00Z,5.56,0.9,9.0
E0772,2020-01-01T15:32:00Z,5.56,1.34,9.0
E0772,2020-01-01T19:00:00Z,15.56,0.45,0.0
E0772,2020-01-01T19:15:00Z,17.22,0.9,0.0
E0772,2020-01-01T20:01:00Z,17.78,0.45,92.0
E0772,2020-01-01T20:16:00Z,17.78,0.9,91.0
E0772,2020-01-01T20:31:00Z,17.78,0.9,103.0
E0772,2020-01-02T01:00:00Z,15.0,0.0,
E0772,2020-01-02T01:47:00Z,12.22,2.23,0.0
E0772,2020-01-02T03:45:00Z,10.0,1.34,0.0
E0772,2020-01-02T04:31:00Z,9.44,1.79,15.0
E0772,2020-01-02T10:02:00Z,,,
E0772,2020-01-02T10:46:00Z,,,
E0772,2020-01-02T11:16:00Z,,,
E0772,2020-01-02T12:00:00Z,5.56,1.79,0.0
E0772,2020-01-02T12:15:00Z,5.56,0.9,0.0
E0772,2020-01-02T12:46:00Z,6.67,1.34,12.0
E0772,2020-01-02T13:16:00Z,6.11,1.34,213.0
E0772,2020-01-02T13:32:00Z,6.11,1.34,0.0
E0772,2020-01-02T17:02:00Z,12.78,0.9,0.0
E0772,2020-01-02T17:18:00Z,14.44,1.34,0.0
E0772,2020-01-02T18:17:00Z,14.44,1.79,118.0
E0772,2020-01-02T18:45:00Z,15.56,0.9,0.0
E0772,2020-01-02T22:15:00Z,23.33,2.68,0.0
E0772,2020-01-02T23:16:00Z,22.78,2.68,0.0
E0772,2020-01-03T00:17:00Z,20.56,3.58,0.0
E0772,2020-01-03T01:02:00Z,20.56,3.13,182.0
E0772,2020-01-03T02:15:00Z,20.0,0.45,179.0
E0772,2020-01-03T03:45:00Z,16.67,0.0,
E0772,2020-01-03T04:16:00Z,16.67,0.9,163.0
E0772,2020-01-03T05:15:00Z,15.56,0.9,196.0
E0772,2020-01-03T06:17:00Z,13.33,0.9,117.0
E0772,2020-01-03T07:15:00Z,14.44,1.79,92.0
E0772,2020-01-03T07:30:00Z,12.78,0.9,316.0
