# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: E3298
# STATION NAME: EW3298 Indio
# LATITUDE: 33.69683
# LONGITUDE: -116.21650
# ELEVATION [ft]: 26
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
E3298,2020-01-01T00:01:00Z,20.56,0.0,
E3298,2020-01-01T00:15:00Z,20.56,0.0,
E3298,2020-01-01T00:31:00Z,20.0,0.0,
E3298,2020-01-01T00:45:00Z,19.44,0.0,
E3298,2020-01-01T01:00:00Z,18.89,0.0,
E3298,2020-01-01T01:15:00Z,18.33,0.0,
E3298,2020-01-01T01:31:00Z,17.78,0.0,
E3298,2020-01-01T01:46:00Z,17.22,0.0,
E3298,2020-01-01T02:16:00Z,16.11,0.0,
E3298,2020-01-01T02:31:00Z,16.67,0.0,
E3298,2020-01-01T02:45:00Z,17.22,0.0,
E3298,2020-01-01T03:00:00Z,17.22,0.0,
E3298,2020-01-01T03:16:00Z,16.67,0.0,
E3298,2020-01-01T03:30:00Z,16.67,0.0,
E3298,2020-01-01T03:46:00Z,16.11,0.0,
E3298,2020-01-01T04:00:00Z,15.56,0.0,
E3298,2020-01-01T04:16:00Z,15.0,0.0,
E3298,2020-01-01T04:32:00Z,14.44,0.0,
E3298,2020-01-01T04:46:00Z,13.89,0.0,
E3298,2020-01-01T05:01:00Z,13.89,0.0,
E3298,2020-01-01T05:16:00Z,13.89,1.34,280.0
E3298,2020-01-01T05:31:00Z,13.89,1.34,281.0
E3298,2020-01-01T05:47:00Z,13.33,0.9,282.0
E3298,2020-01-01T06:01:00Z,13.33,1.79,282.0
E3298,2020-01-01T06:16:00Z,13.33,2.23,282.0
E3298,2020-01-01T06:33:00Z,13.33,0.0,
E3298,2020-01-01T06:47:00Z,12.78,0.0,
E3298,2020-01-01T07:01:00Z,12.22,0.0,
E3298,2020-01-01T07:16:00Z,11.67,0.0,
E3298,2020-01-01T07:33:00Z,11.11,0.45,282.0
E3298,2020-01-01T07:46:00Z,10.56,0.45,282.0
E3298,2020-01-01T08:02:00Z,11.11,1.34,282.0
E3298,2020-01-01T08:17:00Z,11.67,0.9,284.0
E3298,2020-01-01T08:32:00Z,11.11,0.45,284.0
E3298,2020-01-01T08:45:00Z,10.56,0.0,
E3298,2020-01-01T09:00:00Z,9.44,0.0,
E3298,2020-01-01T09:15:00Z,9.44,0.45,284.0
E3298,2020-01-01T09:30:00Z,9.44,0.9,284.0
E3298,2020-01-01T10:01:00Z,8.89,0.0,
E3298,2020-01-01T10:17:00Z,8.33,1.34,284.0
E3298,2020-01-01T10:32:00Z,8.33,0.9,284.0
E3298,2020-01-01T10:45:00Z,7.78,0.45,284.0
E3298,2020-01-01T11:15:00Z,7.78,0.9,284.0
E3298,2020-01-01T11:32:00Z,7.78,0.9,284.0
E3298,2020-01-01T11:47:00Z,7.78,0.9,284.0
E3298,2020-01-01T12:00:00Z,8.89,0.0,
E3298,2020-01-01T12:15:00Z,7.78,1.79,284.0
E3298,2020-01-01T12:46:00Z,7.22,0.0,
E3298,2020-01-01T13:01:00Z,6.67,0.0,
E3298,2020-01-01T13:17:00Z,6.67,0.0,
E3298,2020-01-01T13:32:00Z,6.67,0.0,
E3298,2020-01-01T13:47:00Z,6.67,0.0,
E3298,2020-01-01T14:02:00Z,6.67,0.45,284.0
E3298,2020-01-01T14:16:00Z,7.22,2.23,284.0
E3298,2020-01-01T14:31:00Z,7.22,1.34,284.0
E3298,2020-01-01T14:46:00Z,7.22,0.9,284.0
E3298,2020-01-01T15:01:00Z,7.78,0.0,
E3298,2020-01-01T15:46:00Z,7.78,0.0,
E3298,2020-01-01T16:00:00Z,8.89,0.0,
E3298,2020-01-01T16:15:00Z,8.89,0.45,284.0
E3298,2020-01-01T16:30:00Z,9.44,0.0,
E3298,2020-01-01T16:45:00Z,10.56,0.9,284.0
E3298,2020-01-01T17:31:00Z,12.78,0.0,
E3298,2020-01-01T17:47:00Z,13.89,0.0,
E3298,2020-01-01T18:02:00Z,13.89,0.0,
E3298,2020-01-01T18:16:00Z,14.44,0.0,
E3298,2020-01-01T18:46:00Z,15.0,0.0,
E3298,2020-01-01T19:00:00Z,15.56,0.0,
E3298,2020-01-01T19:15:00Z,16.11,0.0,
E3298,2020-01-01T19:30:00Z,16.67,0.0,
E3298,2020-01-01T19:47:00Z,17.22,0.0,
E3298,2020-01-01T20:00:00Z,17.78,0.0,
E3298,2020-01-01T20:16:00Z,17.78,0.0,
E3298,2020-01-01T20:30:00Z,18.33,0.0,
E3298,2020-01-01T20:45:00Z,17.78,0.0,
E3298,2020-01-01T21:01:00Z,17.78,0.0,
E3298,2020-01-01T21:31:00Z,17.78,0.0,
E3298,2020-01-01T21:45:00Z,17.78,0.45,183.0
E3298,2020-01-01T22:17:00Z,17.78,0.0,
E3298,2020-01-01T22:32:00Z,17.78,0.0,
E3298,2020-01-01T22:34:00Z,17.78,0.0,
E3298,2020-01-01T23:16:00Z,17.78,0.0,
E3298,2020-01-01T23:32:00Z,17.22,0.0,
E3298,2020-01-01T23:45:00Z,17.22,0.0,
E3298,2020-01-02T00:00:00Z,16.67,0.0,
E3298,2020-01-02T00:15:00Z,16.67,0.0,
E3298,2020-01-02T00:30:00Z,16.11,0.0,
E3298,2020-01-02T00:45:00Z,15.56,0.45,144.0
E3298,2020-01-02T00:46:00Z,15.56,0.0,
E3298,2020-01-02T01:02:00Z,15.56,0.0,
E3298,2020-01-02T01:31:00Z,14.44,0.0,
E3298,2020-01-02T01:45:00Z,13.89,0.0,
E3298,2020-01-02T02:03:00Z,13.89,0.0,
E3298,2020-01-02T02:16:00Z,13.89,0.0,
E3298,2020-01-02T02:32:00Z,13.33,0.0,
E3298,2020-01-02T02:49:00Z,12.22,0.0,
E3298,2020-01-02T03:02:00Z,11.67,0.0,
E3298,2020-01-02T03:33:00Z,11.67,0.0,
E3298,2020-01-02T03:46:00Z,11.67,0.0,
