# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: KL08
# STATION NAME: Borrego Valley Airport
# LATITUDE: 33.25903
# LONGITUDE: -116.32097
# ELEVATION [ft]: 522
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
KL08,2020-01-01T00:15:00Z,18.0,4.63,160.0
KL08,2020-01-01T00:35:00Z,17.0,5.14,150.0
KL08,2020-01-01T00:55:00Z,15.0,2.57,240.0
KL08,2020-01-01T01:15:00Z,14.0,2.06,300.0
KL08,2020-01-01T01:35:00Z,14.0,0.0,0.0
KL08,2020-01-01T01:55:00Z,13.0,1.54,220.0
KL08,2020-01-01T02:15:00Z,11.0,0.0,0.0
KL08,2020-01-01T02:35:00Z,11.0,0.0,0.0
KL08,2020-01-01T02:55:00Z,10.0,0.0,0.0
KL08,2020-01-01T03:15:00Z,9.0,2.06,350.0
KL08,2020-01-01T03:35:00Z,8.0,2.06,280.0
KL08,2020-01-01T03:55:00Z,7.0,2.06,310.0
KL08,2020-01-01T04:15:00Z,6.0,0.0,0.0
KL08,2020-01-01T04:35:00Z,6.0,0.0,0.0
KL08,2020-01-01T04:55:00Z,7.0,0.0,0.0
KL08,2020-01-01T05:15:00Z,7.0,0.0,0.0
KL08,2020-01-01T05:35:00Z,7.0,0.0,0.0
KL08,2020-01-01T05:55:00Z,5.0,0.0,0.0
KL08,2020-01-01T06:15:00Z,6.0,0.0,0.0
KL08,2020-01-01T06:35:00Z,5.0,2.57,270.0
KL08,2020-01-01T06:55:00Z,4.0,0.0,0.0
KL08,2020-01-01T07:15:00Z,4.0,1.54,360.0
KL08,2020-01-01T07:35:00Z,4.0,0.0,0.0
KL08,2020-01-01T07:55:00Z,4.0,0.0,0.0
KL08,2020-01-01T08:15:00Z,3.0,0.0,0.0
KL08,2020-01-01T08:35:00Z,3.0,0.0,0.0
KL08,2020-01-01T08:55:00Z,2.0,0.0,0.0
KL08,2020-01-01T09:15:00Z,2.0,0.0,0.0
KL08,2020-01-01T09:35:00Z,2.0,0.0,0.0
KL08,2020-01-01T09:55:00Z,2.0,0.0,0.0
KL08,2020-01-01T10:15:00Z,2.0,0.0,0.0
KL08,2020-01-01T10:35:00Z,2.0,2.57,260.0
KL08,2020-01-01T10:55:00Z,2.0,2.57,290.0
KL08,2020-01-01T11:15:00Z,2.0,1.54,280.0
KL08,2020-01-01T11:35:00Z,2.0,0.0,0.0
KL08,2020-01-01T11:55:00Z,2.0,2.06,310.0
KL08,2020-01-01T12:15:00Z,2.0,0.0,0.0
KL08,2020-01-01T12:35:00Z,2.0,0.0,0.0
KL08,2020-01-01T12:55:00Z,2.0,0.0,0.0
KL08,2020-01-01T13:15:00Z,3.0,0.0,0.0
KL08,2020-01-01T13:35:00Z,2.0,2.06,330.0
KL08,2020-01-01T13:55:00Z,3.0,2.57,280.0
KL08,2020-01-01T14:15:00Z,2.0,0.0,0.0
KL08,2020-01-01T14:35:00Z,3.0,3.09,30.0
KL08,2020-01-01T14:55:00Z,3.0,2.57,50.0
KL08,2020-01-01T15:15:00Z,2.0,0.0,0.0
KL08,2020-01-01T15:35:00Z,3.0,2.06,230.0
KL08,2020-01-01T15:55:00Z,5.0,0.0,0.0
KL08,2020-01-01T16:15:00Z,7.0,0.0,0.0
KL08,2020-01-01T16:35:00Z,8.0,0.0,0.0
KL08,2020-01-01T16:55:00Z,11.0,0.0,0.0
KL08,2020-01-01T17:15:00Z,11.0,0.0,0.0
KL08,2020-01-01T17:35:00Z,13.0,0.0,0.0
KL08,2020-01-01T17:55:00Z,14.0,0.0,0.0
KL08,2020-01-01T18:15:00Z,15.0,2.06,330.0
KL08,2020-01-01T18:35:00Z,15.0,0.0,0.0
KL08,2020-01-01T18:55:00Z,16.0,0.0,0.0
KL08,2020-01-01T19:15:00Z,17.0,0.0,0.0
KL08,2020-01-01T19:35:00Z,17.0,0.0,0.0
KL08,2020-01-01T19:55:00Z,17.0,0.0,0.0
KL08,2020-01-01T20:15:00Z,17.0,0.0,0.0
KL08,2020-01-01T20:35:00Z,18.0,1.54,
KL08,2020-01-01T20:55:00Z,18.0,1.54,
KL08,2020-01-01T21:15:00Z,18.0,2.06,
KL08,2020-01-01T21:35:00Z,18.0,2.06,120.0
KL08,2020-01-01T21:55:00Z,18.0,2.06,
