# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: KL08
# STATION NAME: Borrego Valley Airport
# LATITUDE: 33.25903
# LONGITUDE: -116.32097
# ELEVATION [ft]: 522
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
KL08,2020-02-29T00:15:00Z,27.0,3.6,120.0
KL08,2020-02-29T00:35:00Z,26.0,4.12,120.0
KL08,2020-02-29T00:55:00Z,25.0,2.57,130.0
KL08,2020-02-29T01:15:00Z,24.0,2.06,120.0
KL08,2020-02-29T01:35:00Z,23.0,2.57,110.0
KL08,2020-02-29T01:55:00Z,22.0,2.06,120.0
KL08,2020-02-29T02:15:00Z,22.0,1.54,230.0
KL08,2020-02-29T02:35:00Z,22.0,0.0,0.0
KL08,2020-02-29T02:55:00Z,20.0,0.0,0.0
KL08,2020-02-29T03:15:00Z,20.0,1.54,350.0
KL08,2020-02-29T03:35:00Z,18.0,0.0,0.0
KL08,2020-02-29T03:55:00Z,17.0,2.06,360.0
KL08,2020-02-29T04:15:00Z,17.0,0.0,0.0
KL08,2020-02-29T04:35:00Z,16.0,2.57,350.0
KL08,2020-02-29T04:55:00Z,17.0,2.57,330.0
KL08,2020-02-29T05:15:00Z,15.0,0.0,0.0
KL08,2020-02-29T05:35:00Z,16.0,0.0,0.0
KL08,2020-02-29T05:55:00Z,15.0,0.0,0.0
KL08,2020-02-29T06:15:00Z,17.0,0.0,0.0
KL08,2020-02-29T06:35:00Z,14.0,0.0,0.0
KL08,2020-02-29T06:55:00Z,14.0,0.0,0.0
KL08,2020-02-29T07:15:00Z,12.0,0.0,0.0
KL08,2020-02-29T07:35:00Z,12.0,0.0,0.0
KL08,2020-02-29T07:55:00Z,11.0,0.0,0.0
KL08,2020-02-29T08:15:00Z,9.0,0.0,0.0
KL08,2020-02-29T08:35:00Z,9.0,0.0,0.0
KL08,2020-02-29T08:55:00Z,9.0,1.54,70.0
KL08,2020-02-29T09:15:00Z,10.0,2.06,80.0
KL08,2020-02-29T09:35:00Z,9.0,2.06,250.0
KL08,2020-02-29T09:55:00Z,7.0,0.0,0.0
KL08,2020-02-29T10:15:00Z,7.0,2.06,320.0
KL08,2020-02-29T10:35:00Z,6.0,2.57,230.0
KL08,2020-02-29T10:55:00Z,6.0,1.54,240.0
KL08,2020-02-29T11:15:00Z,6.0,0.0,0.0
KL08,2020-02-29T11:35:00Z,6.0,0.0,0.0
KL08,2020-02-29T11:55:00Z,8.0,0.0,0.0
KL08,2020-02-29T12:15:00Z,6.0,0.0,0.0
KL08,2020-02-29T12:35:00Z,7.0,0.0,0.0
KL08,2020-02-29T12:55:00Z,6.0,0.0,0.0
KL08,2020-02-29T13:15:00Z,6.0,0.0,0.0
KL08,2020-02-29T13:35:00Z,5.0,0.0,0.0
KL08,2020-02-29T13:55:00Z,4.0,0.0,0.0
KL08,2020-02-29T14:15:00Z,5.0,0.0,0.0
KL08,2020-02-29T14:35:00Z,8.0,0.0,0.0
KL08,2020-02-29T14:55:00Z,8.0,0.0,0.0
KL08,2020-02-29T15:15:00Z,9.0,0.0,0.0
KL08,2020-02-29T15:35:00Z,12.0,2.06,50.0
KL08,2020-02-29T15:55:00Z,16.0,1.54,300.0
KL08,2020-02-29T16:15:00Z,17.0,2.57,260.0
KL08,2020-02-29T16:35:00Z,20.0,2.57,240.0
KL08,2020-02-29T16:55:00Z,23.0,0.0,0.0
KL08,2020-02-29T17:15:00Z,24.0,0.0,0.0
KL08,2020-02-29T17:35:00Z,25.0,0.0,0.0
KL08,2020-02-29T17:55:00Z,24.0,0.0,0.0
KL08,2020-02-29T18:15:00Z,25.0,0.0,0.0
KL08,2020-02-29T18:35:00Z,25.0,2.06,240.0
KL08,2020-02-29T18:55:00Z,25.0,4.63,240.0
KL08,2020-02-29T19:15:00Z,25.0,4.12,270.0
KL08,2020-02-29T19:35:00Z,25.0,3.09,280.0
KL08,2020-02-29T19:55:00Z,25.0,4.12,280.0
KL08,2020-02-29T20:15:00Z,25.0,5.66,250.0
KL08,2020-02-29T20:35:00Z,25.0,7.2,260.0
KL08,2020-02-29T20:55:00Z,27.0,6.17,260.0
KL08,2020-02-29T21:15:00Z,27.0,7.2,260.0
KL08,2020-02-29T21:35:00Z,27.0,7.72,270.0
KL08,2020-02-29T21:55:00Z,27.0,7.2,260.0
KL08,2020-02-29T22:15:00Z,27.0,6.17,260.0
KL08,2020-02-29T22:35:00Z,27.0,4.63,250.0
KL08,2020-02-29T22:55:00Z,27.0,7.72,220.0
KL08,2020-02-29T23:15:00Z,26.0,10.8,240.0
KL08,2020-02-29T23:35:00Z,26.0,7.2,250.0
KL08,2020-02-29T23:55:00Z,26.0,10.8,250.0
KL08,2020-03-01T00:15:00Z,25.0,9.77,240.0
KL08,2020-03-01T00:35:00Z,24.0,8.75,250.0
KL08,2020-03-01T00:55:00Z,22.0,10.8,250.0
KL08,2020-03-01T01:15:00Z,21.0,10.8,250.0
KL08,2020-03-01T01:35:00Z,21.0,8.75,260.0
KL08,2020-03-01T01:55:00Z,20.0,6.17,270.0
KL08,2020-03-01T02:15:00Z,20.0,4.12,270.0
KL08,2020-03-01T02:35:00Z,20.0,0.0,0.0
KL08,2020-03-01T02:55:00Z,19.0,4.63,90.0
KL08,2020-03-01T03:15:00Z,19.0,4.12,100.0
KL08,2020-03-01T03:35:00Z,19.0,0.0,0.0
KL08,2020-03-01T03:55:00Z,17.0,3.09,50.0
KL08,2020-03-01T04:15:00Z,19.0,6.17,250.0
KL08,2020-03-01T04:35:00Z,18.0,5.14,280.0
KL08,2020-03-01T04:55:00Z,15.0,2.06,30.0
KL08,2020-03-01T05:15:00Z,16.0,2.06,60.0
KL08,2020-03-01T05:35:00Z,17.0,3.09,60.0
KL08,2020-03-01T05:55:00Z,15.0,2.57,350.0
KL08,2020-03-01T06:15:00Z,15.0,2.06,340.0
KL08,2020-03-01T06:35:00Z,15.0,3.6,360.0
KL08,2020-03-01T06:55:00Z,15.0,4.63,360.0
KL08,2020-03-01T07:15:00Z,15.0,5.14,20.0
KL08,2020-03-01T07:35:00Z,17.0,2.06,
KL08,2020-03-01T07:55:00Z,14.0,2.06,360.0
KL08,2020-03-01T08:15:00Z,14.0,2.06,120.0
KL08,2020-03-01T08:35:00Z,15.0,0.0,0.0
KL08,2020-03-01T08:55:00Z,13.0,3.09,130.0
KL08,2020-03-01T09:15:00Z,15.0,2.57,260.0
KL08,2020-03-01T09:35:00Z,14.0,4.12,290.0
KL08,2020-03-01T09:55:00Z,13.0,4.63,270.0
KL08,2020-03-01T10:15:00Z,14.0,6.17,300.0
KL08,2020-03-01T10:35:00Z,13.0,7.2,300.0
KL08,2020-03-01T10:55:00Z,13.0,7.2,330.0
KL08,2020-03-01T11:15:00Z,14.0,6.69,310.0
KL08,2020-03-01T11:35:00Z,14.0,7.2,320.0
KL08,2020-03-01T11:55:00Z,14.0,5.14,330.0
KL08,2020-03-01T12:15:00Z,14.0,6.17,330.0
KL08,2020-03-01T12:35:00Z,13.0,4.12,330.0
KL08,2020-03-01T12:55:00Z,13.0,3.6,320.0
