# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: UP640
# STATION NAME: NILAN1
# LATITUDE: 33.22242
# LONGITUDE: -115.46562
# ELEVATION [ft]: -58
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,m/s,Degrees
UP640,2020-01-01T12:10:00Z,5.0,1.8,181.0
UP640,2020-01-01T14:10:00Z,6.11,3.14,261.0
UP640,2020-01-01T14:20:00Z,5.56,2.68,259.0
UP640,2020-01-01T14:55:00Z,6.11,1.8,225.0
UP640,2020-01-01T15:15:00Z,6.11,2.68,222.0
UP640,2020-01-01T17:15:00Z,9.44,0.46,275.0
UP640,2020-01-01T17:30:00Z,10.56,1.34,261.0
UP640,2020-01-01T19:30:00Z,14.44,1.8,162.0
UP640,2020-01-01T21:35:00Z,17.22,1.34,280.0
UP640,2020-01-01T22:25:00Z,16.67,0.0,
UP640,2020-01-02T00:25:00Z,14.44,1.8,53.0
UP640,2020-01-02T02:15:00Z,11.11,1.34,259.0
UP640,2020-01-02T03:05:00Z,10.56,1.8,236.0
UP640,2020-01-02T05:05:00Z,8.89,2.21,231.0
UP640,2020-01-02T07:05:00Z,7.22,0.87,186.0
UP640,2020-01-02T09:10:00Z,6.11,0.46,81.0
UP640,2020-01-02T10:30:00Z,6.67,1.34,252.0
UP640,2020-01-02T11:45:00Z,5.56,2.21,304.0
UP640,2020-01-02T12:50:00Z,4.44,0.87,244.0
UP640,2020-01-02T13:45:00Z,3.89,6.28,309.0
UP640,2020-01-02T15:45:00Z,6.11,1.8,299.0
UP640,2020-01-02T16:50:00Z,8.89,2.21,315.0
UP640,2020-01-02T18:15:00Z,16.67,0.87,265.0
UP640,2020-01-02T18:30:00Z,16.67,0.87,261.0
UP640,2020-01-02T19:30:00Z,16.67,3.6,64.0
UP640,2020-01-02T21:30:00Z,18.89,4.01,97.0
UP640,2020-01-02T23:30:00Z,19.44,2.68,142.0
UP640,2020-01-03T00:40:00Z,18.33,3.6,139.0
UP640,2020-01-03T02:25:00Z,16.67,1.34,333.0
UP640,2020-01-03T04:20:00Z,14.44,3.6,207.0
UP640,2020-01-03T04:50:00Z,15.0,2.21,203.0
UP640,2020-01-03T05:35:00Z,13.89,2.68,238.0
UP640,2020-01-03T07:35:00Z,10.56,2.68,245.0
UP640,2020-01-03T08:50:00Z,8.33,2.21,240.0
UP640,2020-01-03T09:50:00Z,9.44,0.87,252.0
UP640,2020-01-03T11:50:00Z,9.44,3.6,229.0
UP640,2020-01-03T13:35:00Z,5.56,1.34,277.0
UP640,2020-01-03T14:40:00Z,5.0,1.34,286.0
UP640,2020-01-03T16:00:00Z,8.89,0.0,
UP640,2020-01-03T16:30:00Z,10.0,1.34,329.0
UP640,2020-01-03T17:40:00Z,13.89,1.8,310.0
UP640,2020-01-03T19:40:00Z,18.33,0.0,
UP640,2020-01-03T21:40:00Z,18.33,1.8,94.0
UP640,2020-01-03T23:40:00Z,18.89,0.87,267.0
UP640,2020-01-04T00:05:00Z,18.89,1.8,321.0
UP640,2020-01-04T00:15:00Z,18.33,0.87,274.0
UP640,2020-01-04T00:55:00Z,17.78,2.68,286.0
UP640,2020-01-04T01:20:00Z,17.22,0.46,120.0
UP640,2020-01-04T03:05:00Z,11.67,1.8,246.0
UP640,2020-01-04T05:05:00Z,10.56,1.34,233.0
UP640,2020-01-04T07:05:00Z,9.44,0.0,
UP640,2020-01-04T08:40:00Z,9.44,1.8,229.0
UP640,2020-01-04T09:35:00Z,7.22,3.14,344.0
UP640,2020-01-04T11:35:00Z,6.67,1.34,307.0
UP640,2020-01-04T12:00:00Z,6.11,4.48,297.0
UP640,2020-01-04T13:10:00Z,4.44,1.34,290.0
UP640,2020-01-04T13:55:00Z,5.0,1.8,274.0
UP640,2020-01-04T15:25:00Z,4.44,0.46,15.0
UP640,2020-01-04T17:25:00Z,12.22,0.87,351.0
UP640,2020-01-04T19:10:00Z,16.11,0.87,337.0
UP640,2020-01-04T19:30:00Z,16.67,1.34,143.0
UP640,2020-01-04T20:35:00Z,18.33,0.87,139.0
UP640,2020-01-04T21:30:00Z,18.33,1.34,131.0
UP640,2020-01-04T22:20:00Z,18.89,2.68,149.0
UP640,2020-01-05T00:20:00Z,17.22,1.8,120.0
UP640,2020-01-05T02:20:00Z,12.78,2.21,239.0
UP640,2020-01-05T04:10:00Z,10.56,1.34,228.0
UP640,2020-01-05T06:10:00Z,9.44,2.21,191.0
UP640,2020-01-05T06:25:00Z,9.44,1.8,207.0
UP640,2020-01-05T07:05:00Z,10.0,0.0,
UP640,2020-01-05T09:05:00Z,7.78,0.87,287.0
UP640,2020-01-05T09:55:00Z,7.78,0.0,
UP640,2020-01-05T11:55:00Z,6.67,0.0,
UP640,2020-01-05T13:45:00Z,5.0,2.21,323.0
UP640,2020-01-05T14:40:00Z,5.56,1.34,305.0
UP640,2020-01-05T15:35:00Z,5.56,3.6,345.0
UP640,2020-01-05T17:35:00Z,11.67,0.0,
UP640,2020-01-05T18:50:00Z,14.44,3.14,303.0
UP640,2020-01-05T19:45:00Z,16.67,0.0,
UP640,2020-01-05T19:55:00Z,16.67,0.46,164.0
UP640,2020-01-05T21:20:00Z,18.33,2.21,139.0
UP640,2020-01-05T21:50:00Z,18.89,2.68,139.0
UP640,2020-01-05T23:05:00Z,18.89,2.68,144.0
UP640,2020-01-06T00:50:00Z,16.67,1.8,3.0
UP640,2020-01-06T01:15:00Z,16.11,0.87,286.0
UP640,2020-01-06T02:25:00Z,12.22,0.0,
UP640,2020-01-06T04:25:00Z,11.11,1.8,191.0
UP640,2020-01-06T06:25:00Z,14.44,1.8,106.0
UP640,2020-01-06T08:25:00Z,6.11,1.34,300.0
UP640,2020-01-06T08:40:00Z,6.11,0.87,274.0
UP640,2020-01-06T09:30:00Z,6.11,2.21,296.0
UP640,2020-01-06T10:10:00Z,8.89,1.34,217.0
UP640,2020-01-06T10:35:00Z,8.89,0.87,315.0
