# STATION: BRGSD
# STATION NAME: Borrego
# LATITUDE: 33.26246
# LONGITUDE: -116.34817
# ELEVATION [ft]: 544
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_ten_minute_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,Millimeters,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
BRGSD,01/31/2020 23:00 PST,,,12.78,30.0,1.34,217.0,1.79,,12.18,,-4.48,,SW,,,,,,
BRGSD,01/31/2020 23:10 PST,,,11.67,33.0,1.34,250.0,1.79,,12.17,,-4.18,,WSW,,,,,,
BRGSD,01/31/2020 23:20 PST,,,11.11,35.0,1.79,270.0,2.23,,12.17,,-3.89,,W,,,,,,
BRGSD,01/31/2020 23:30 PST,,,11.67,34.0,1.34,297.0,1.79,,12.17,,-3.78,,WNW,,,,,,
BRGSD,01/31/2020 23:40 PST,,,11.11,36.0,0.9,308.0,1.79,,12.16,,-3.52,,NW,,,,,,
BRGSD,01/31/2020 23:50 PST,,,9.44,40.0,1.34,326.0,1.79,,12.16,,-3.6,,NW,,,,,,
BRGSD,02/01/2020 00:00 PST,,,9.44,39.0,1.34,338.0,1.79,,12.16,,-3.94,,NNW,,,,,,
BRGSD,02/01/2020 00:10 PST,,,10.56,36.0,1.34,340.0,1.79,,12.15,,-4.01,,NNW,,,,,,
BRGSD,02/01/2020 00:20 PST,,,10.56,37.0,1.79,331.0,2.23,,12.15,,-3.64,,NNW,,,,,,
BRGSD,02/01/2020 00:30 PST,,,10.56,36.0,1.79,319.0,2.23,,12.14,,-4.01,,NW,,,,,,
BRGSD,02/01/2020 00:40 PST,,,10.56,36.0,1.34,297.0,1.79,,12.14,,-4.01,,WNW,,,,,,
BRGSD,02/01/2020 00:50 PST,,,9.44,41.0,1.79,276.0,2.23,,12.14,,-3.27,,W,,,,,,
BRGSD,02/01/2020 01:00 PST,,,10.0,37.0,1.34,290.0,1.79,,12.14,,-4.14,,WNW,,,,,,
BRGSD,02/01/2020 01:10 PST,,,10.0,39.0,1.34,286.0,1.79,,12.13,,-3.44,,WNW,,,,,,
BRGSD,02/01/2020 01:20 PST,,,7.78,45.0,0.45,80.0,1.34,,12.13,,-3.52,,E,,,,,,
BRGSD,02/01/2020 01:30 PST,,,8.33,43.0,0.45,124.0,0.9,,12.12,,-3.63,,SE,,,,,,
BRGSD,02/01/2020 01:40 PST,,,8.89,40.0,0.45,2.0,1.34,,12.12,,-4.1,,N,,,,,,
BRGSD,02/01/2020 01:50 PST,,,10.0,37.0,1.79,28.0,2.23,,12.11,,-4.14,,NNE,,,,,,
BRGSD,02/01/2020 02:00 PST,,,10.56,35.0,1.79,17.0,2.23,,12.11,,-4.38,,NNE,,,,,,
BRGSD,02/01/2020 02:10 PST,,,12.22,30.0,0.9,34.0,1.34,,12.11,,-4.97,,NE,,,,,,
BRGSD,02/01/2020 02:20 PST,,,10.0,37.0,1.79,330.0,2.68,,12.11,,-4.14,,NNW,,,,,,
BRGSD,02/01/2020 02:30 PST,,,6.67,48.0,2.23,322.0,3.58,,12.1,,-3.67,,NW,,,,,,
BRGSD,02/01/2020 02:40 PST,,,8.89,40.0,1.34,308.0,2.23,,12.1,,-4.1,,NW,,,,,,
BRGSD,02/01/2020 02:50 PST,,,8.33,41.0,1.79,316.0,2.23,,12.09,,-4.27,,NW,,,,,,
BRGSD,02/01/2020 03:00 PST,,,8.33,41.0,1.34,321.0,2.23,,12.09,,-4.27,,NW,,,,,,
BRGSD,02/01/2020 03:10 PST,,,6.11,49.0,0.9,2.0,1.34,,12.09,,-3.91,,N,,,,,,
BRGSD,02/01/2020 03:20 PST,,,7.78,44.0,0.9,332.0,1.79,,12.08,,-3.83,,NNW,,,,,,
BRGSD,02/01/2020 03:30 PST,,,5.56,51.0,0.0,,0.9,,12.08,,-3.88,,,,,,,,
BRGSD,02/01/2020 03:40 PST,,,6.67,46.0,0.9,259.0,1.34,,12.07,,-4.25,,W,,,,,,
BRGSD,02/01/2020 03:50 PST,,,7.22,47.0,0.9,268.0,1.34,,12.07,,-3.45,,W,,,,,,
BRGSD,02/01/2020 04:00 PST,,,7.22,46.0,1.34,276.0,1.79,,12.07,,-3.74,,W,,,,,,
BRGSD,02/01/2020 04:10 PST,,,8.33,41.0,0.9,286.0,1.79,,12.06,,-4.27,,WNW,,,,,,
BRGSD,02/01/2020 04:20 PST,,,8.89,39.0,0.9,274.0,1.79,,12.06,,-4.43,,W,,,,,,
BRGSD,02/01/2020 04:30 PST,,,8.89,39.0,1.79,323.0,2.68,,12.05,,-4.43,,NW,,,,,,
BRGSD,02/01/2020 04:40 PST,,,8.89,38.0,1.79,321.0,2.23,,12.05,,-4.78,,NW,,,,,,
BRGSD,02/01/2020 04:50 PST,,,8.33,40.0,1.79,328.0,2.68,,12.04,,-4.6,,NNW,,,,,,
BRGSD,02/01/2020 05:00 PST,,,7.78,42.0,1.79,313.0,2.23,,12.03,,-4.45,,NW,,,,,,
BRGSD,02/01/2020 05:10 PST,,,6.67,46.0,2.23,308.0,2.68,,12.04,,-4.25,,NW,,,,,,
BRGSD,02/01/2020 05:20 PST,,,6.67,48.0,2.23,315.0,2.68,,12.04,,-3.67,,NW,,,,,,
BRGSD,02/01/2020 05:30 PST,,,7.22,45.0,2.23,322.0,2.68,,12.03,,-4.04,,NW,,,,,,
BRGSD,02/01/2020 05:40 PST,,,8.33,41.0,2.23,313.0,2.68,,12.02,,-4.27,,NW,,,,,,
BRGSD,02/01/2020 05:50 PST,,,7.78,41.0,1.79,302.0,2.23,,12.02,,-4.77,,WNW,,,,,,
BRGSD,02/01/2020 06:00 PST,,,6.67,46.0,0.9,346.0,1.79,,12.02,,-4.25,,NNW,,,,,,
BRGSD,02/01/2020 06:10 PST,,,5.0,54.0,1.34,347.0,1.79,,12.01,,-3.64,,NNW,,,,,,
BRGSD,02/01/2020 06:20 PST,,,7.22,45.0,1.79,330.0,2.23,,12.01,,-4.04,,NNW,,,,,,
BRGSD,02/01/2020 06:30 PST,,,8.33,41.0,1.34,342.0,2.23,,12.01,,-4.27,,NNW,,,,,,
BRGSD,02/01/2020 06:40 PST,,,6.67,45.0,0.9,31.0,2.23,,12.01,,-4.54,,NNE,,,,,,
BRGSD,02/01/2020 06:50 PST,,,7.22,42.0,1.34,338.0,1.79,,12.05,,-4.96,,NNW,,,,,,
BRGSD,02/01/2020 07:00 PST,,,7.22,47.0,1.34,265.0,1.79,,12.15,,-3.45,,W,,,,,,
BRGSD,02/01/2020 07:10 PST,,,6.67,48.0,1.34,313.0,2.23,,12.3,,-3.67,,NW,,,,,,
BRGSD,02/01/2020 07:20 PST,,,6.11,47.0,2.23,334.0,2.68,,12.52,,-4.47,,NNW,,,,,,
BRGSD,02/01/2020 07:30 PST,,,8.33,42.0,0.45,320.0,1.79,,12.78,,-3.95,,NW,,,,,,
BRGSD,02/01/2020 07:40 PST,,,8.89,41.0,0.9,279.0,1.34,,12.98,,-3.77,,W,,,,,,
BRGSD,02/01/2020 07:50 PST,,,8.89,45.0,1.34,213.0,1.79,,13.2,,-2.51,,SSW,,,,,,
BRGSD,02/01/2020 08:00 PST,,,10.0,42.0,0.9,232.0,1.34,,13.24,,-2.43,,SW,,,,,,
BRGSD,02/01/2020 08:10 PST,,,11.67,38.0,0.9,254.0,1.34,,13.14,,-2.29,,WSW,,,,,,
BRGSD,02/01/2020 08:20 PST,,,13.33,35.0,0.0,,0.45,,13.1,,-1.92,,,,,,,,
BRGSD,02/01/2020 08:30 PST,,,15.0,30.0,0.45,68.0,0.9,,13.08,,-2.53,,ENE,,,,,,
BRGSD,02/01/2020 08:40 PST,,,15.0,30.0,0.45,103.0,1.34,,13.06,,-2.53,,ESE,,,,,,
BRGSD,02/01/2020 08:50 PST,,,16.11,29.0,0.45,92.0,1.34,,13.05,,-2.02,,E,,,,,,
BRGSD,02/01/2020 09:00 PST,,,16.67,28.0,0.9,104.0,1.34,,13.04,,-2.01,,ESE,,,,,,
BRGSD,02/01/2020 09:10 PST,,,17.22,27.0,0.45,83.0,0.9,,13.02,,-2.03,,E,,,,,,
BRGSD,02/01/2020 09:20 PST,,,18.33,24.0,0.45,73.0,1.34,,13.01,,-2.66,,ENE,,,,,,
BRGSD,02/01/2020 09:30 PST,,,18.89,22.0,0.45,107.0,1.34,,13.0,,-3.35,,ESE,,,,,,
BRGSD,02/01/2020 09:40 PST,,,20.0,20.0,0.45,106.0,0.9,,12.99,,-3.69,,ESE,,,,,,
BRGSD,02/01/2020 09:50 PST,,,21.11,18.0,0.45,131.0,1.79,,12.98,,-4.16,,SE,,,,,,
BRGSD,02/01/2020 10:00 PST,,,20.56,18.0,0.9,95.0,1.79,,12.97,,-4.62,,E,,,,,,
BRGSD,02/01/2020 10:10 PST,,,21.11,17.0,0.9,120.0,1.79,,12.96,,-4.92,,ESE,,,,,,
BRGSD,02/01/2020 10:20 PST,,,22.78,16.0,0.45,26.0,0.9,,12.95,,-4.35,,NNE,,,,,,
BRGSD,02/01/2020 10:30 PST,,,22.78,16.0,0.45,122.0,1.34,,12.95,,-4.35,,ESE,,,,,,
BRGSD,02/01/2020 10:40 PST,,,23.33,14.0,0.9,164.0,2.23,,12.94,,-5.65,,SSE,,,,,,
BRGSD,02/01/2020 10:50 PST,,,23.33,14.0,0.9,161.0,2.23,,12.94,,-5.65,,SSE,,,,,,
BRGSD,02/01/2020 11:00 PST,,,23.89,14.0,1.34,168.0,2.68,,12.94,,-5.2,,SSE,,,,,,
BRGSD,02/01/2020 11:10 PST,,,23.89,14.0,0.9,136.0,2.23,,12.95,,-5.2,,SE,,,,,,
BRGSD,02/01/2020 11:20 PST,,,23.89,14.0,1.34,178.0,3.13,,12.95,,-5.2,,S,,,,,,
BRGSD,02/01/2020 11:30 PST,,,23.89,13.0,1.34,150.0,3.13,,12.95,,-6.16,,SSE,,,,,,
BRGSD,02/01/2020 11:40 PST,,,23.89,13.0,1.34,161.0,3.58,,12.95,,-6.16,,SSE,,,,,,
BRGSD,02/01/2020 11:50 PST,,,24.44,13.0,0.9,192.0,2.23,,12.95,,-5.72,,SSW,,,,,,
BRGSD,02/01/2020 12:00 PST,,,24.44,13.0,1.34,178.0,3.13,,12.95,,-5.72,,S,,,,,,
BRGSD,02/01/2020 12:10 PST,,,24.44,14.0,1.79,118.0,3.13,,12.94,,-4.76,,ESE,,,,,,
BRGSD,02/01/2020 12:20 PST,,,24.44,13.0,1.34,197.0,2.23,,12.94,,-5.72,,SSW,,,,,,
BRGSD,02/01/2020 12:30 PST,,,25.0,13.0,1.34,208.0,2.23,,12.93,,-5.28,,SSW,,,,,,
BRGSD,02/01/2020 12:40 PST,,,25.0,14.0,1.34,111.0,3.13,,12.92,,-4.31,,ESE,,,,,,
BRGSD,02/01/2020 12:50 PST,,,25.0,14.0,2.23,118.0,3.58,,12.91,,-4.31,,ESE,,,,,,
BRGSD,02/01/2020 13:00 PST,,,24.44,14.0,1.79,111.0,3.58,,12.91,,-4.76,,ESE,,,,,,
BRGSD,02/01/2020 13:10 PST,,,25.0,14.0,2.23,141.0,4.02,,12.91,,-4.31,,SE,,,,,,
BRGSD,02/01/2020 13:20 PST,,,25.56,14.0,1.79,129.0,3.58,,12.91,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 13:30 PST,,,25.0,14.0,1.79,111.0,4.02,,12.91,,-4.31,,ESE,,,,,,
BRGSD,02/01/2020 13:40 PST,,,25.56,14.0,2.23,138.0,4.47,,12.9,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 13:50 PST,,,25.56,14.0,2.23,118.0,4.02,,12.9,,-3.86,,ESE,,,,,,
BRGSD,02/01/2020 14:00 PST,,,25.56,14.0,1.79,99.0,2.68,,12.91,,-3.86,,E,,,,,,
BRGSD,02/01/2020 14:10 PST,,,25.56,14.0,1.34,150.0,3.13,,12.91,,-3.86,,SSE,,,,,,
BRGSD,02/01/2020 14:20 PST,,,26.11,13.0,1.34,152.0,2.68,,12.91,,-4.39,,SSE,,,,,,
BRGSD,02/01/2020 14:30 PST,,,26.11,13.0,0.9,158.0,2.68,,12.91,,-4.39,,SSE,,,,,,
BRGSD,02/01/2020 14:40 PST,,,26.11,14.0,1.34,109.0,2.68,,12.9,,-3.41,,ESE,,,,,,
BRGSD,02/01/2020 14:50 PST,,,25.56,14.0,1.79,141.0,3.58,,12.91,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 15:00 PST,,,25.56,14.0,1.79,115.0,3.13,,12.91,,-3.86,,ESE,,,,,,
BRGSD,02/01/2020 15:10 PST,,,25.56,14.0,1.79,129.0,4.47,,12.91,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 15:20 PST,,,25.56,14.0,2.68,124.0,4.02,,12.91,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 15:30 PST,,,25.56,14.0,1.79,135.0,4.02,,12.91,,-3.86,,SE,,,,,,
BRGSD,02/01/2020 15:40 PST,,,25.56,15.0,2.68,123.0,4.02,,12.91,,-2.94,,ESE,,,,,,
BRGSD,02/01/2020 15:50 PST,,,25.56,15.0,1.79,124.0,3.13,,12.92,,-2.94,,SE,,,,,,
BRGSD,02/01/2020 16:00 PST,,,25.56,15.0,2.23,137.0,3.58,,12.92,,-2.94,,SE,,,,,,
BRGSD,02/01/2020 16:10 PST,,,25.56,15.0,2.23,163.0,3.58,,12.93,,-2.94,,SSE,,,,,,
BRGSD,02/01/2020 16:20 PST,,,25.56,15.0,2.23,153.0,4.47,,12.93,,-2.94,,SSE,,,,,,
BRGSD,02/01/2020 16:30 PST,,,25.0,16.0,1.79,150.0,3.13,,12.94,,-2.54,,SSE,,,,,,
BRGSD,02/01/2020 16:40 PST,,,25.0,16.0,1.79,147.0,2.68,,12.94,,-2.54,,SSE,,,,,,
BRGSD,02/01/2020 16:50 PST,,,24.44,17.0,1.34,146.0,2.23,,12.87,,-2.18,,SE,,,,,,
BRGSD,02/01/2020 17:00 PST,,,23.89,18.0,1.34,138.0,1.79,,12.46,,-1.87,,SE,,,,,,
BRGSD,02/01/2020 17:10 PST,,,23.89,18.0,1.34,128.0,1.34,,12.41,,-1.87,,SE,,,,,,
BRGSD,02/01/2020 17:20 PST,,,23.33,19.0,0.9,129.0,2.68,,12.39,,-1.6,,SE,,,,,,
BRGSD,02/01/2020 17:30 PST,,,22.22,21.0,1.79,272.0,2.68,,12.37,,-1.17,,W,,,,,,
BRGSD,02/01/2020 17:40 PST,,,21.11,22.0,0.9,305.0,1.34,,12.36,,-1.48,,NW,,,,,,
BRGSD,02/01/2020 17:50 PST,,,20.0,24.0,1.34,304.0,1.79,,12.36,,-1.24,,NW,,,,,,
BRGSD,02/01/2020 18:00 PST,,,19.44,24.0,1.79,308.0,2.23,,12.34,,-1.72,,NW,,,,,,
BRGSD,02/01/2020 18:10 PST,,,19.44,25.0,1.79,316.0,2.23,,12.34,,-1.16,,NW,,,,,,
BRGSD,02/01/2020 18:20 PST,,,18.89,25.0,1.79,315.0,2.23,,12.33,,-1.63,,NW,,,,,,
BRGSD,02/01/2020 18:30 PST,,,18.89,26.0,1.79,319.0,2.23,,12.33,,-1.1,,NW,,,,,,
BRGSD,02/01/2020 18:40 PST,,,17.78,27.0,2.23,318.0,3.13,,12.32,,-1.55,,NW,,,,,,
BRGSD,02/01/2020 18:50 PST,,,18.33,26.0,3.13,326.0,4.02,,12.32,,-1.58,,NW,,,,,,
BRGSD,02/01/2020 19:00 PST,,,17.78,28.0,2.68,324.0,3.13,,12.31,,-1.05,,NW,,,,,,
BRGSD,02/01/2020 19:10 PST,,,18.33,26.0,2.23,314.0,2.68,,12.31,,-1.58,,NW,,,,,,
BRGSD,02/01/2020 19:20 PST,,,16.67,30.0,3.13,332.0,3.58,,12.3,,-1.07,,NNW,,,,,,
BRGSD,02/01/2020 19:30 PST,,,16.11,32.0,2.23,335.0,2.68,,12.3,,-0.68,,NNW,,,,,,
BRGSD,02/01/2020 19:40 PST,,,15.56,33.0,1.79,326.0,2.68,,12.29,,-0.75,,NW,,,,,,
BRGSD,02/01/2020 19:50 PST,,,15.56,32.0,2.23,336.0,3.13,,12.29,,-1.17,,NNW,,,,,,
BRGSD,02/01/2020 20:00 PST,,,16.11,30.0,2.68,336.0,3.13,,12.29,,-1.56,,NNW,,,,,,
BRGSD,02/01/2020 20:10 PST,,,15.0,33.0,1.34,313.0,2.68,,12.28,,-1.24,,NW,,,,,,
BRGSD,02/01/2020 20:20 PST,,,13.89,36.0,1.34,292.0,1.79,,12.27,,-1.04,,WNW,,,,,,
BRGSD,02/01/2020 20:30 PST,,,14.44,35.0,1.79,308.0,2.23,,12.27,,-0.93,,NW,,,,,,
BRGSD,02/01/2020 20:40 PST,,,14.44,36.0,1.79,305.0,2.23,,12.26,,-0.55,,NW,,,,,,
BRGSD,02/01/2020 20:50 PST,,,13.89,36.0,1.79,308.0,2.23,,12.26,,-1.04,,NW,,,,,,
BRGSD,02/01/2020 21:00 PST,,,13.89,36.0,1.79,310.0,2.23,,12.25,,-1.04,,NW,,,,,,
BRGSD,02/01/2020 21:10 PST,,,13.89,35.0,2.23,319.0,2.68,,12.25,,-1.42,,NW,,,,,,
BRGSD,02/01/2020 21:20 PST,,,13.89,36.0,1.34,304.0,2.23,,12.24,,-1.04,,NW,,,,,,
BRGSD,02/01/2020 21:30 PST,,,12.22,41.0,0.45,195.0,0.9,,12.24,,-0.75,,SSW,,,,,,
BRGSD,02/01/2020 21:40 PST,,,11.67,41.0,0.45,169.0,0.9,,12.23,,-1.25,,S,,,,,,
BRGSD,02/01/2020 21:50 PST,,,12.22,40.0,1.34,209.0,1.79,,12.22,,-1.09,,SSW,,,,,,
BRGSD,02/01/2020 22:00 PST,,,12.22,40.0,1.79,219.0,2.23,,12.22,,-1.09,,SW,,,,,,
BRGSD,02/01/2020 22:10 PST,,,12.22,41.0,1.79,239.0,2.23,,12.21,,-0.75,,WSW,,,,,,
BRGSD,02/01/2020 22:20 PST,,,12.78,39.0,1.34,246.0,1.79,,12.21,,-0.93,,WSW,,,,,,
BRGSD,02/01/2020 22:30 PST,,,12.78,38.0,0.45,283.0,0.9,,12.2,,-1.29,,WNW,,,,,,
BRGSD,02/01/2020 22:40 PST,,,13.33,36.0,0.0,,0.45,,12.2,,-1.54,,,,,,,,
BRGSD,02/01/2020 22:50 PST,,,13.33,37.0,0.45,1.0,0.9,,12.19,,-1.16,,N,,,,,,
BRGSD,02/01/2020 23:00 PST,,,13.33,37.0,1.34,340.0,1.34,,12.19,,-1.16,,NNW,,,,,,
BRGSD,02/01/2020 23:10 PST,,,13.33,36.0,1.34,325.0,2.23,,12.19,,-1.54,,NW,,,,,,
BRGSD,02/01/2020 23:20 PST,,,10.56,43.0,1.79,314.0,2.23,,12.18,,-1.61,,NW,,,,,,
