# STATION: IKPSD
# STATION NAME: In Ko Pah
# LATITUDE: 32.63601
# LONGITUDE: -116.11834
# ELEVATION [ft]: 3218
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
IKPSD,02/01/2020 00:00 UTC,,,15.56,17.0,4.92,33.0,8.05,,276.0,-9.47,,NNE,,,,,,
IKPSD,02/01/2020 00:10 UTC,,,15.56,17.0,4.92,41.0,6.7,,239.0,-9.47,,NE,,,,,,
IKPSD,02/01/2020 00:20 UTC,,,15.56,16.0,4.47,43.0,6.26,,203.0,-10.24,,NE,,,,,,
IKPSD,02/01/2020 00:30 UTC,,,15.56,16.0,4.47,45.0,6.7,,168.0,-10.24,,NE,,,,,,
IKPSD,02/01/2020 00:40 UTC,,,15.56,16.0,4.47,44.0,7.15,,132.0,-10.24,,NE,,,,,,
IKPSD,02/01/2020 00:50 UTC,,,15.56,16.0,4.02,45.0,5.81,,90.0,-10.24,,NE,,,,,,
IKPSD,02/01/2020 01:00 UTC,,,15.0,16.0,3.58,48.0,5.37,,52.0,-10.69,,NE,,,,,,
IKPSD,02/01/2020 01:10 UTC,,,15.0,16.0,3.13,46.0,4.47,,19.0,-10.69,,NE,,,,,,
IKPSD,02/01/2020 01:20 UTC,,,14.44,17.0,3.13,32.0,4.47,,6.0,-10.39,,NNE,,,,,,
IKPSD,02/01/2020 01:30 UTC,,,14.44,17.0,4.02,41.0,5.81,,2.0,-10.39,,NE,,,,,,
IKPSD,02/01/2020 01:40 UTC,,,14.44,17.0,3.13,38.0,4.92,,1.0,-10.39,,NE,,,,,,
IKPSD,02/01/2020 01:50 UTC,,,13.89,17.0,2.23,26.0,4.02,,0.0,-10.85,,NNE,,,,,,
IKPSD,02/01/2020 02:00 UTC,,,13.89,17.0,2.23,25.0,3.13,,0.0,-10.85,,NNE,,,,,,
IKPSD,02/01/2020 02:10 UTC,,,13.89,17.0,2.68,35.0,3.58,,0.0,-10.85,,NE,,,,,,
IKPSD,02/01/2020 02:20 UTC,,,13.89,18.0,3.13,31.0,4.47,,0.0,-10.13,,NNE,,,,,,
IKPSD,02/01/2020 02:30 UTC,,,13.33,18.0,2.68,32.0,3.58,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 02:40 UTC,,,13.33,18.0,3.13,37.0,4.47,,0.0,-10.59,,NE,,,,,,
IKPSD,02/01/2020 02:50 UTC,,,13.33,18.0,3.13,31.0,4.47,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:00 UTC,,,13.33,18.0,3.58,32.0,4.47,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:10 UTC,,,13.33,18.0,3.58,31.0,4.47,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:20 UTC,,,13.33,18.0,3.13,29.0,4.47,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:30 UTC,,,13.33,18.0,3.13,29.0,4.02,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:40 UTC,,,13.33,18.0,3.13,28.0,4.47,,0.0,-10.59,,NNE,,,,,,
IKPSD,02/01/2020 03:50 UTC,,,13.33,19.0,3.58,30.0,4.92,,0.0,-9.91,,NNE,,,,,,
IKPSD,02/01/2020 04:00 UTC,,,13.33,19.0,3.13,32.0,4.47,,0.0,-9.91,,NNE,,,,,,
IKPSD,02/01/2020 04:10 UTC,,,13.33,19.0,3.13,29.0,4.47,,0.0,-9.91,,NNE,,,,,,
IKPSD,02/01/2020 04:20 UTC,,,13.33,20.0,2.68,25.0,3.58,,0.0,-9.27,,NNE,,,,,,
IKPSD,02/01/2020 04:30 UTC,,,13.33,20.0,2.68,29.0,3.58,,0.0,-9.27,,NNE,,,,,,
IKPSD,02/01/2020 04:40 UTC,,,13.33,20.0,2.68,32.0,3.58,,0.0,-9.27,,NNE,,,,,,
IKPSD,02/01/2020 04:50 UTC,,,13.33,20.0,2.23,33.0,3.58,,0.0,-9.27,,NNE,,,,,,
IKPSD,02/01/2020 05:00 UTC,,,13.33,20.0,2.23,30.0,3.58,,0.0,-9.27,,NNE,,,,,,
IKPSD,02/01/2020 05:10 UTC,,,13.33,20.0,2.23,34.0,3.58,,0.0,-9.27,,NE,,,,,,
IKPSD,02/01/2020 05:20 UTC,,,13.33,19.0,2.23,30.0,3.13,,0.0,-9.91,,NNE,,,,,,
IKPSD,02/01/2020 05:30 UTC,,,13.33,19.0,2.23,28.0,3.58,,0.0,-9.91,,NNE,,,,,,
IKPSD,02/01/2020 05:40 UTC,,,13.89,18.0,1.79,27.0,2.68,,0.0,-10.13,,NNE,,,,,,
IKPSD,02/01/2020 05:50 UTC,,,13.33,19.0,1.34,46.0,2.23,,0.0,-9.91,,NE,,,,,,
IKPSD,02/01/2020 06:00 UTC,,,12.78,19.0,1.34,63.0,1.79,,0.0,-10.37,,ENE,,,,,,
IKPSD,02/01/2020 06:10 UTC,,,12.78,19.0,0.9,65.0,1.79,,0.0,-10.37,,ENE,,,,,,
IKPSD,02/01/2020 06:20 UTC,,,10.56,23.0,0.9,216.0,1.34,,0.0,-9.83,,SW,,,,,,
IKPSD,02/01/2020 06:30 UTC,,,8.89,27.0,0.45,198.0,1.79,,0.0,-9.23,,SSW,,,,,,
IKPSD,02/01/2020 06:40 UTC,,,9.44,26.0,0.9,194.0,1.79,,0.0,-9.23,,SSW,,,,,,
IKPSD,02/01/2020 06:50 UTC,,,10.56,24.0,0.9,195.0,1.79,,0.0,-9.29,,SSW,,,,,,
IKPSD,02/01/2020 07:00 UTC,,,10.56,23.0,0.9,193.0,1.79,,0.0,-9.83,,SSW,,,,,,
IKPSD,02/01/2020 07:10 UTC,,,10.56,24.0,0.45,199.0,1.34,,0.0,-9.29,,SSW,,,,,,
IKPSD,02/01/2020 07:20 UTC,,,10.56,24.0,0.9,193.0,1.34,,0.0,-9.29,,SSW,,,,,,
IKPSD,02/01/2020 07:30 UTC,,,10.56,24.0,0.0,,1.34,,0.0,-9.29,,,,,,,,
IKPSD,02/01/2020 07:40 UTC,,,9.44,25.0,0.45,208.0,0.9,,0.0,-9.73,,SSW,,,,,,
IKPSD,02/01/2020 07:50 UTC,,,9.44,25.0,0.0,,0.0,,0.0,-9.73,,,,,,,,
IKPSD,02/01/2020 08:00 UTC,,,8.89,26.0,0.0,,0.45,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 08:10 UTC,,,8.89,26.0,0.0,,0.0,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 08:20 UTC,,,8.89,27.0,0.0,,0.0,,0.0,-9.23,,,,,,,,
IKPSD,02/01/2020 08:30 UTC,,,8.33,27.0,0.0,,0.0,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 08:40 UTC,,,8.33,27.0,0.0,,0.9,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 08:50 UTC,,,8.33,27.0,0.9,221.0,1.34,,0.0,-9.71,,SW,,,,,,
IKPSD,02/01/2020 09:00 UTC,,,8.33,27.0,0.9,218.0,0.9,,0.0,-9.71,,SW,,,,,,
IKPSD,02/01/2020 09:10 UTC,,,8.33,27.0,0.45,225.0,1.34,,0.0,-9.71,,SW,,,,,,
IKPSD,02/01/2020 09:20 UTC,,,7.78,28.0,0.9,221.0,1.34,,0.0,-9.73,,SW,,,,,,
IKPSD,02/01/2020 09:30 UTC,,,7.78,29.0,1.34,222.0,1.79,,0.0,-9.28,,SW,,,,,,
IKPSD,02/01/2020 09:40 UTC,,,6.67,31.0,1.34,218.0,1.79,,0.0,-9.4,,SW,,,,,,
IKPSD,02/01/2020 09:50 UTC,,,7.22,30.0,0.9,213.0,1.34,,0.0,-9.34,,SSW,,,,,,
IKPSD,02/01/2020 10:00 UTC,,,6.67,31.0,0.0,,0.45,,0.0,-9.4,,,,,,,,
IKPSD,02/01/2020 10:10 UTC,,,7.22,30.0,0.45,36.0,0.9,,0.0,-9.34,,NE,,,,,,
IKPSD,02/01/2020 10:20 UTC,,,7.22,29.0,0.45,57.0,0.9,,0.0,-9.77,,ENE,,,,,,
IKPSD,02/01/2020 10:30 UTC,,,7.78,28.0,0.45,51.0,0.9,,0.0,-9.73,,NE,,,,,,
IKPSD,02/01/2020 10:40 UTC,,,7.78,27.0,0.0,,0.9,,0.0,-10.19,,,,,,,,
IKPSD,02/01/2020 10:50 UTC,,,8.89,25.0,0.0,,0.9,,0.0,-10.2,,,,,,,,
IKPSD,02/01/2020 11:00 UTC,,,8.89,24.0,0.9,207.0,1.79,,0.0,-10.72,,SSW,,,,,,
IKPSD,02/01/2020 11:10 UTC,,,7.22,29.0,1.34,247.0,1.79,,0.0,-9.77,,WSW,,,,,,
IKPSD,02/01/2020 11:20 UTC,,,6.11,32.0,0.45,229.0,0.9,,0.0,-9.49,,SW,,,,,,
IKPSD,02/01/2020 11:30 UTC,,,6.67,31.0,0.0,,0.45,,0.0,-9.4,,,,,,,,
IKPSD,02/01/2020 11:40 UTC,,,6.67,31.0,0.45,223.0,0.9,,0.0,-9.4,,SW,,,,,,
IKPSD,02/01/2020 11:50 UTC,,,6.67,31.0,0.45,236.0,0.9,,0.0,-9.4,,SW,,,,,,
IKPSD,02/01/2020 12:00 UTC,,,7.22,28.0,0.0,,0.45,,0.0,-10.21,,,,,,,,
IKPSD,02/01/2020 12:10 UTC,,,7.78,27.0,0.9,54.0,2.23,,0.0,-10.19,,NE,,,,,,
IKPSD,02/01/2020 12:20 UTC,,,11.67,21.0,1.79,58.0,2.23,,0.0,-10.04,,ENE,,,,,,
IKPSD,02/01/2020 12:30 UTC,,,12.22,20.0,0.9,50.0,1.34,,0.0,-10.19,,NE,,,,,,
IKPSD,02/01/2020 12:40 UTC,,,10.0,24.0,0.0,,0.9,,0.0,-9.77,,,,,,,,
IKPSD,02/01/2020 12:50 UTC,,,8.89,26.0,0.0,,0.45,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 13:00 UTC,,,8.33,27.0,0.0,,0.0,,0.0,-9.71,,,,,,,,
IKPSD,02/01/2020 13:10 UTC,,,8.89,26.0,0.45,65.0,0.9,,0.0,-9.71,,ENE,,,,,,
IKPSD,02/01/2020 13:20 UTC,,,8.33,27.0,0.45,51.0,1.79,,0.0,-9.71,,NE,,,,,,
IKPSD,02/01/2020 13:30 UTC,,,11.67,21.0,1.79,33.0,3.13,,0.0,-10.04,,NNE,,,,,,
IKPSD,02/01/2020 13:40 UTC,,,12.78,20.0,1.79,30.0,3.13,,0.0,-9.73,,NNE,,,,,,
IKPSD,02/01/2020 13:50 UTC,,,13.33,20.0,1.79,37.0,3.13,,0.0,-9.27,,NE,,,,,,
IKPSD,02/01/2020 14:00 UTC,,,12.78,21.0,1.79,41.0,2.23,,0.0,-9.11,,NE,,,,,,
