# STATION: UCI10
# STATION NAME: BWD Wilcox Well
# LATITUDE: 33.21100
# LONGITUDE: -116.36513
# ELEVATION [ft]: 700
# STATE: CA
Station_ID,Date_Time,PM_25_concentration_set_1,flow_rate_set_1,internal_relative_humidity_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_one_hour_set_1,sensor_error_code_set_1,solar_radiation_set_1,air_flow_temperature_set_1,soil_moisture_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,ug/m3,liters/min,%,Celsius,%,m/s,Degrees,m/s,Millimeters,code,W/m**2,Celsius,%,Celsius,Celsius,code,Celsius
UCI10,02/13/2020 13:15 PST,,,,19.78,18.83,,,,,,,,,-4.67,,,
UCI10,02/17/2020 06:00 PST,,,,,,,,,,,,,6.5,,,,
UCI10,02/17/2020 06:10 PST,4.72,2.0,39.0,,,,,,,0.0,,8.18,,,,,
UCI10,02/17/2020 06:20 PST,4.61,2.0,39.0,,,,,,,0.0,,8.66,,,,,
UCI10,02/17/2020 06:30 PST,4.75,2.0,39.64,,,,,,,0.0,,9.04,,,,,
UCI10,02/17/2020 06:40 PST,4.31,2.0,40.0,,,,,,,0.0,,8.64,,,,,
UCI10,02/17/2020 06:50 PST,4.32,1.88,40.0,,,,,,,0.0,,8.16,,,,,
UCI10,02/17/2020 07:00 PST,3.64,2.0,39.18,,,,,,,0.0,,9.81,,,,,
UCI10,02/17/2020 07:10 PST,4.06,2.0,38.09,,,,,,,0.0,,11.42,,,,,
UCI10,02/17/2020 07:20 PST,3.83,2.0,37.58,,,,,,,0.0,,12.96,,,,,
UCI10,02/17/2020 07:30 PST,3.96,2.0,37.02,,,,,,,0.0,,14.39,6.5,,,,
UCI10,02/17/2020 07:40 PST,4.4,2.0,36.77,,,,,,,0.0,,14.86,,,,,
UCI10,02/17/2020 07:45 PST,,,,15.17,42.01,,,,,,,,,2.26,,,
UCI10,02/17/2020 07:50 PST,4.66,1.88,36.0,,,,,,,0.0,,15.78,,,,,
UCI10,02/17/2020 08:00 PST,3.92,2.0,35.17,17.43,36.1,,,1.96,0.0,0.0,151.0,17.61,,2.16,,,
UCI10,02/17/2020 08:10 PST,6.87,2.0,34.58,,,,,,,0.0,,18.87,,,,,
UCI10,02/17/2020 08:15 PST,,,,19.11,31.18,,,,,,,,,1.6,,,
UCI10,02/17/2020 08:20 PST,4.72,1.98,33.34,,,,,,,0.0,,20.44,,,,,
UCI10,02/17/2020 08:30 PST,4.77,1.98,31.68,17.71,34.12,,,,,0.0,,19.89,,1.62,,,
UCI10,02/17/2020 08:40 PST,4.05,1.98,30.52,,,,,,,0.0,,20.14,,,,,
UCI10,02/17/2020 08:45 PST,,,,18.93,31.76,,,,,,,,,1.69,,,
UCI10,02/17/2020 08:50 PST,3.72,1.87,29.53,,,,,,,0.0,,21.61,,,,,
UCI10,02/17/2020 09:00 PST,4.8,2.0,28.32,21.08,28.12,,,2.25,0.0,0.0,335.0,23.04,6.5,1.87,,,
UCI10,02/17/2020 09:10 PST,4.34,2.0,27.05,,,,,,,0.0,,23.88,,,,,
UCI10,02/17/2020 09:15 PST,,,,21.73,25.16,,,,,,,,,0.89,,,
UCI10,02/17/2020 09:20 PST,3.44,2.02,25.52,,,,,,,0.0,,24.21,,,,,
UCI10,02/17/2020 09:30 PST,3.46,2.02,24.06,21.58,23.05,,,,,0.0,,24.9,,-0.45,,,
UCI10,02/17/2020 09:40 PST,2.91,2.02,22.51,,,,,,,0.0,,25.78,,,,,
UCI10,02/17/2020 09:45 PST,,,,22.36,22.4,,,,,,,,,-0.18,,,
UCI10,02/17/2020 09:50 PST,3.06,1.89,21.48,,,,,,,0.0,,26.43,,,,,
UCI10,02/17/2020 10:00 PST,3.04,2.0,20.53,22.56,21.8,,,1.96,0.0,0.0,501.0,26.81,,-0.38,,,
UCI10,02/17/2020 10:10 PST,2.61,2.0,19.77,,,,,,,0.0,,26.24,,,,,
UCI10,02/17/2020 10:15 PST,,,,22.61,20.51,,,,,,,,,-1.17,,,
UCI10,02/17/2020 10:20 PST,2.24,2.0,18.99,,,,,,,0.0,,25.97,,,,,
UCI10,02/17/2020 10:30 PST,2.16,1.99,18.03,23.15,21.42,,,,,0.0,,26.18,6.6,-0.12,,,
UCI10,02/17/2020 10:40 PST,2.65,1.99,18.63,,,,,,,0.0,,26.24,,,,,
UCI10,02/17/2020 10:45 PST,,,,23.27,20.51,,,,,,,,,-0.61,,,
UCI10,02/17/2020 10:50 PST,7.24,1.89,18.16,,,,,,,0.0,,26.16,,,,,
UCI10,02/17/2020 11:00 PST,3.7,1.98,18.04,23.25,20.44,,,4.12,0.0,0.0,625.0,26.23,,-0.68,,,
UCI10,02/17/2020 11:10 PST,3.92,2.0,18.0,,,,,,,0.0,,26.34,,,,,
UCI10,02/17/2020 11:15 PST,,,,23.4,19.98,,,,,,,,,-0.86,,,
UCI10,02/17/2020 11:20 PST,4.51,2.0,18.0,,,,,,,0.0,,26.68,,,,,
UCI10,02/17/2020 11:30 PST,4.62,2.0,18.18,23.68,19.88,,,,,0.0,,26.9,,-0.7,,,
UCI10,02/17/2020 11:40 PST,4.26,1.99,18.21,,,,,,,0.0,,27.38,,,,,
UCI10,02/17/2020 11:45 PST,,,,24.59,19.33,,,,,,,,,-0.32,,,
UCI10,02/17/2020 11:50 PST,4.18,1.99,18.0,,,,,,,0.0,,27.46,,,,,
UCI10,02/17/2020 12:00 PST,3.89,1.87,18.0,24.29,19.06,,,3.82,0.0,0.0,696.0,26.95,6.6,-0.76,,,
UCI10,02/17/2020 12:10 PST,4.43,1.99,18.0,,,,,,,0.0,,27.72,,,,,
UCI10,02/17/2020 12:15 PST,,,,24.68,19.36,,,,,,,,,-0.22,,,
UCI10,02/17/2020 12:20 PST,5.58,1.99,18.0,,,,,,,0.0,,27.65,,,,,
UCI10,02/17/2020 12:30 PST,5.89,1.98,17.94,24.19,19.2,,,,,0.0,,28.1,,-0.74,,,
UCI10,02/17/2020 12:40 PST,5.96,1.98,17.7,,,,,,,0.0,,28.13,,,,,
UCI10,02/17/2020 12:45 PST,,,,24.78,18.66,,,,,,,,,-0.64,,,
UCI10,02/17/2020 12:50 PST,5.04,1.98,17.0,,,,,,,0.0,,28.3,,,,,
UCI10,02/17/2020 13:00 PST,6.96,1.87,17.0,24.96,19.16,,,4.51,0.0,0.0,704.0,28.35,,-0.13,,,
UCI10,02/17/2020 13:10 PST,4.57,1.99,17.0,,,,,,,0.0,,28.02,,,,,
UCI10,02/17/2020 13:15 PST,,,,25.19,18.56,,,,,,,,,-0.38,,,
UCI10,02/17/2020 13:20 PST,4.8,1.98,17.0,,,,,,,0.0,,28.38,,,,,
UCI10,02/17/2020 13:30 PST,5.97,1.98,17.0,25.16,18.28,,,,,0.0,,28.58,6.6,-0.61,,,
UCI10,02/17/2020 13:40 PST,5.5,1.98,17.0,,,,,,,0.0,,28.14,,,,,
UCI10,02/17/2020 13:45 PST,,,,25.39,18.27,,,,,,,,,-0.42,,,
UCI10,02/17/2020 13:50 PST,4.49,1.98,17.0,,,,,,,0.0,,28.39,,,,,
UCI10,02/17/2020 14:00 PST,3.99,1.87,17.0,25.33,18.15,,,6.76,0.0,0.0,651.0,28.1,,-0.56,,,
UCI10,02/17/2020 14:10 PST,3.69,1.98,17.0,,,,,,,0.0,,27.54,,,,,
UCI10,02/17/2020 14:15 PST,,,,25.79,17.57,,,,,,,,,-0.63,,,
UCI10,02/17/2020 14:20 PST,3.83,1.99,17.0,,,,,,,0.0,,27.66,,,,,
UCI10,02/17/2020 14:30 PST,4.39,1.98,17.0,25.84,17.5,,,,,0.0,,27.71,,-0.64,,,
UCI10,02/17/2020 14:40 PST,4.34,1.98,17.0,,,,,,,0.0,,27.72,,,,,
UCI10,02/17/2020 14:45 PST,,,,25.44,17.97,,,,,,,,,-0.61,,,
UCI10,02/17/2020 14:50 PST,3.92,1.98,17.0,,,,,,,0.0,,27.51,,,,,
UCI10,02/17/2020 15:00 PST,3.86,1.87,17.0,25.39,17.73,,,5.78,0.0,0.0,537.0,27.41,6.6,-0.83,,,
UCI10,02/17/2020 15:10 PST,3.8,1.98,17.0,,,,,,,0.0,,27.2,,,,,
UCI10,02/17/2020 15:15 PST,,,,25.48,17.95,,,,,,,,,-0.59,,,
UCI10,02/17/2020 15:20 PST,3.95,1.99,17.0,,,,,,,0.0,,27.12,,,,,
UCI10,02/17/2020 15:30 PST,4.24,1.98,17.0,25.28,17.5,,,,,0.0,,27.24,,-1.1,,,
UCI10,02/17/2020 15:45 PST,,,,25.33,17.57,,,,,,,,,-1.01,,,
UCI10,02/17/2020 16:00 PST,,,,25.04,17.52,,,,,,,,,-1.28,,,
UCI10,02/17/2020 16:15 PST,,,,25.13,17.62,,,,,,,,,-1.13,,,
UCI10,02/17/2020 16:30 PST,,,,25.03,17.47,,,,,,,,,-1.33,,,
UCI10,02/17/2020 16:45 PST,,,,24.51,18.22,,,,,,,,,-1.19,,,
UCI10,02/17/2020 17:00 PST,,,,22.87,21.04,,,,,,,,,-0.6,,,
UCI10,02/17/2020 17:15 PST,,,,21.34,24.91,,,,,,,,,0.41,,,
UCI10,02/17/2020 17:30 PST,,,,20.43,26.5,,,,,,,,,0.49,,,
UCI10,02/17/2020 17:45 PST,,,,20.04,26.67,,,,,,,,,0.24,,,
UCI10,02/17/2020 18:00 PST,,,,19.81,26.74,,,2.74,0.0,,18.0,,6.7,0.08,,,
UCI10,02/17/2020 18:15 PST,,,,19.21,27.79,,,,,,,,,0.09,,,
UCI10,02/17/2020 18:30 PST,,,,19.03,28.04,,,,,,,,,0.05,,,
UCI10,02/17/2020 18:45 PST,,,,19.81,26.03,,,,,,,,,-0.29,,,
UCI10,02/17/2020 19:00 PST,,,,19.48,26.71,,,2.84,0.0,,7.0,,,-0.22,,,
UCI10,02/17/2020 19:15 PST,,,,17.85,30.69,,,,,,,,,0.27,,,
UCI10,02/17/2020 19:30 PST,,,,18.33,29.2,,,,,,,,6.7,0.0,,,
UCI10,02/17/2020 19:39 PST,,,,,,0.88,218.1,,,,,,,,,SW,
UCI10,02/17/2020 19:40 PST,,,,,,0.88,220.4,,,,,,,,,SW,
UCI10,02/17/2020 19:41 PST,,,,,,0.68,235.7,,,,,,,,,SW,
UCI10,02/17/2020 19:42 PST,,,,,,0.59,250.4,,,,,,,,,WSW,
UCI10,02/17/2020 19:43 PST,,,,,,0.68,257.5,,,,,,,,,WSW,
UCI10,02/17/2020 19:44 PST,,,,,,0.49,259.3,,,,,,,,,W,
UCI10,02/17/2020 19:45 PST,,,,20.34,24.57,0.68,251.0,,,,,,,-0.63,,WSW,
UCI10,02/17/2020 19:46 PST,,,,,,0.68,266.2,,,,,,,,,W,
UCI10,02/17/2020 19:47 PST,,,,,,0.68,266.7,,,,,,,,,W,
UCI10,02/17/2020 19:48 PST,,,,,,0.68,235.1,,,,,,,,,SW,
UCI10,02/17/2020 19:49 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 19:50 PST,,,,,,0.88,203.7,,,,,,,,,SSW,
UCI10,02/17/2020 19:51 PST,,,,,,0.98,206.8,,,,,,,,,SSW,
UCI10,02/17/2020 19:52 PST,,,,,,1.08,225.6,,,,,,,,,SW,
UCI10,02/17/2020 19:53 PST,,,,,,0.88,238.4,,,,,,,,,WSW,
UCI10,02/17/2020 19:54 PST,,,,,,0.98,240.2,,,,,,,,,WSW,
UCI10,02/17/2020 19:55 PST,,,,,,0.98,244.7,,,,,,,,,WSW,
UCI10,02/17/2020 19:56 PST,,,,,,0.78,246.4,,,,,,,,,WSW,
UCI10,02/17/2020 19:57 PST,,,,,,0.59,274.3,,,,,,,,,W,
UCI10,02/17/2020 19:58 PST,,,,,,0.59,285.5,,,,,,,,,WNW,
UCI10,02/17/2020 19:59 PST,,,,,,0.39,269.6,,,,,,,,,W,
UCI10,02/17/2020 20:00 PST,,,,19.48,26.16,0.49,294.8,2.55,0.0,,7.0,,,-0.51,,WNW,
UCI10,02/17/2020 20:01 PST,,,,,,0.39,285.3,,,,,,,,,WNW,
UCI10,02/17/2020 20:02 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 20:03 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 20:04 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 20:05 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 20:06 PST,,,,,,0.0,,,,,,,,,,,
UCI10,02/17/2020 20:07 PST,,,,,,0.68,107.9,,,,,,,,,ESE,
UCI10,02/17/2020 20:08 PST,,,,,,0.78,91.8,,,,,,,,,E,
UCI10,02/17/2020 20:09 PST,,,,,,0.68,101.1,,,,,,,,,E,
UCI10,02/17/2020 20:10 PST,,,,,,0.68,88.6,,,,,,,,,E,
UCI10,02/17/2020 20:11 PST,,,,,,0.59,99.2,,,,,,,,,E,
UCI10,02/17/2020 20:12 PST,,,,,,0.68,140.1,,,,,,,,,SE,
UCI10,02/17/2020 20:13 PST,,,,,,0.68,138.4,,,,,,,,,SE,
UCI10,02/17/2020 20:14 PST,,,,,,0.78,143.3,,,,,,,,,SE,
UCI10,02/17/2020 20:15 PST,,,,17.53,30.88,0.88,145.0,,,,,,,0.08,,SE,
UCI10,02/17/2020 20:16 PST,,,,,,1.18,143.8,,,,,,,,,SE,
UCI10,02/17/2020 20:17 PST,,,,,,0.88,134.3,,,,,,,,,SE,
UCI10,02/17/2020 20:18 PST,,,,,,1.28,134.3,,,,,,,,,SE,
UCI10,02/17/2020 20:19 PST,,,,,,1.57,143.5,,,,,,,,,SE,
UCI10,02/17/2020 20:20 PST,,,,,,1.86,130.7,,,,,,,,,SE,
UCI10,02/17/2020 20:21 PST,,,,,,1.57,127.3,,,,,,,,,SE,
UCI10,02/17/2020 20:22 PST,,,,,,1.37,135.0,,,,,,,,,SE,
UCI10,02/17/2020 20:23 PST,,,,,,1.18,129.1,,,,,,,,,SE,
UCI10,02/17/2020 20:24 PST,,,,,,1.08,137.1,,,,,,,,,SE,
UCI10,02/17/2020 20:25 PST,,,,,,1.28,146.5,,,,,,,,,SSE,
UCI10,02/17/2020 20:26 PST,,,,,,1.47,145.2,,,,,,,,,SE,
UCI10,02/17/2020 20:27 PST,,,,,,1.28,143.1,,,,,,,,,SE,
