# STATION: BNASD
# STATION NAME: Barona
# LATITUDE: 32.93442
# LONGITUDE: -116.87602
# ELEVATION [ft]: 1316
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
BNASD,01/31/2020 23:00 PST,,,6.02,62.22,0.99,40.43,1.8,12.8,,-0.74,,NE,,,,,,
BNASD,01/31/2020 23:10 PST,,,5.06,65.47,0.38,119.8,1.18,12.79,,-0.95,,ESE,,,,,,
BNASD,01/31/2020 23:20 PST,,,4.82,66.82,0.85,358.7,1.21,12.79,,-0.9,,N,,,,,,
BNASD,01/31/2020 23:30 PST,,,5.33,64.61,0.85,106.6,1.5,12.79,,-0.88,,ESE,,,,,,
BNASD,01/31/2020 23:40 PST,,,4.35,69.29,0.51,26.41,0.95,12.78,,-0.85,,NNE,,,,,,
BNASD,01/31/2020 23:50 PST,,,4.54,67.68,0.47,98.7,1.18,12.78,,-0.99,,E,,,,,,
BNASD,02/01/2020 00:00 PST,,,4.25,67.2,0.22,64.6,0.75,12.77,,-1.36,,ENE,,,,,,
BNASD,02/01/2020 00:10 PST,,,4.52,67.26,0.6,37.23,0.92,12.77,,-1.09,,NE,,,,,,
BNASD,02/01/2020 00:20 PST,,,4.73,66.7,1.13,6.94,1.6,12.76,,-1.01,,N,,,,,,
BNASD,02/01/2020 00:30 PST,,,5.3,62.22,0.92,19.93,1.4,12.76,,-1.42,,NNE,,,,,,
BNASD,02/01/2020 00:40 PST,,,4.07,70.65,0.77,85.8,1.37,12.75,,-0.85,,E,,,,,,
BNASD,02/01/2020 00:50 PST,,,3.57,72.4,0.54,73.72,1.01,12.75,,-0.99,,ENE,,,,,,
BNASD,02/01/2020 01:00 PST,,,3.45,72.34,0.62,99.8,1.31,12.75,,-1.12,,E,,,,,,
