# STATION: MLGSD
# STATION NAME: Mt. Laguna
# LATITUDE: 32.87828
# LONGITUDE: -116.42359
# ELEVATION [ft]: 5805
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
MLGSD,02/01/2020 00:00 UTC,,,11.16,12.63,1.57,43.37,3.24,12.07,,-16.65,,NE,,,,,,
MLGSD,02/01/2020 00:10 UTC,,,11.57,10.85,1.52,50.36,4.05,12.06,,-18.11,,NE,,,,,,
MLGSD,02/01/2020 00:20 UTC,,,11.15,11.36,2.19,55.06,4.12,12.06,,-17.9,,NE,,,,,,
MLGSD,02/01/2020 00:30 UTC,,,10.72,12.81,1.97,58.75,3.88,12.06,,-16.84,,ENE,,,,,,
MLGSD,02/01/2020 00:40 UTC,,,10.58,13.47,1.9,56.38,3.07,12.05,,-16.36,,ENE,,,,,,
MLGSD,02/01/2020 00:50 UTC,,,11.21,10.41,1.72,54.79,3.63,12.1,,-18.86,,NE,,,,,,
MLGSD,02/01/2020 01:00 UTC,,,10.27,12.14,2.13,59.17,4.28,12.05,,-17.82,,ENE,,,,,,
MLGSD,02/01/2020 01:10 UTC,,,9.83,12.31,1.95,62.37,3.07,12.03,,-18.01,,ENE,,,,,,
MLGSD,02/01/2020 01:20 UTC,,,9.43,12.62,2.0,66.67,3.43,12.02,,-18.04,,ENE,,,,,,
MLGSD,02/01/2020 01:30 UTC,,,9.4,12.66,1.75,68.24,3.36,12.01,,-18.02,,ENE,,,,,,
MLGSD,02/01/2020 01:40 UTC,,,9.23,12.83,1.89,62.69,3.6,12.01,,-18.0,,ENE,,,,,,
MLGSD,02/01/2020 01:50 UTC,,,9.26,12.96,1.83,66.08,4.02,12.01,,-17.86,,ENE,,,,,,
MLGSD,02/01/2020 02:00 UTC,,,9.1,13.32,1.53,70.27,3.66,12.0,,-17.67,,ENE,,,,,,
MLGSD,02/01/2020 02:10 UTC,,,9.15,13.42,1.56,68.23,2.91,12.0,,-17.54,,ENE,,,,,,
MLGSD,02/01/2020 02:20 UTC,,,9.19,14.3,1.99,65.37,2.88,11.99,,-16.77,,ENE,,,,,,
MLGSD,02/01/2020 02:30 UTC,,,9.17,15.69,1.99,67.34,3.85,11.99,,-15.68,,ENE,,,,,,
MLGSD,02/01/2020 02:40 UTC,,,8.98,18.11,1.8,67.55,3.3,11.99,,-14.11,,ENE,,,,,,
MLGSD,02/01/2020 02:50 UTC,,,9.06,18.0,2.06,65.72,3.92,11.98,,-14.12,,ENE,,,,,,
MLGSD,02/01/2020 03:00 UTC,,,8.97,18.46,1.52,76.5,3.43,11.98,,-13.89,,ENE,,,,,,
MLGSD,02/01/2020 03:10 UTC,,,9.19,17.93,1.82,71.39,3.72,11.98,,-14.06,,ENE,,,,,,
MLGSD,02/01/2020 03:20 UTC,,,8.97,21.06,1.48,79.12,4.25,11.98,,-12.28,,E,,,,,,
MLGSD,02/01/2020 03:30 UTC,,,8.86,21.46,1.55,71.53,3.33,11.97,,-12.14,,ENE,,,,,,
MLGSD,02/01/2020 03:40 UTC,,,8.99,21.79,1.48,77.05,3.3,11.97,,-11.84,,ENE,,,,,,
MLGSD,02/01/2020 03:50 UTC,,,8.96,22.63,1.37,75.93,2.52,11.97,,-11.39,,ENE,,,,,,
MLGSD,02/01/2020 04:00 UTC,,,8.83,24.0,1.56,65.19,2.78,11.96,,-10.77,,ENE,,,,,,
MLGSD,02/01/2020 04:10 UTC,,,8.61,24.73,1.56,71.65,4.21,11.96,,-10.58,,ENE,,,,,,
MLGSD,02/01/2020 04:20 UTC,,,8.72,25.09,1.79,67.95,3.76,11.95,,-10.3,,ENE,,,,,,
MLGSD,02/01/2020 04:30 UTC,,,8.87,24.63,1.46,66.81,3.88,11.95,,-10.41,,ENE,,,,,,
MLGSD,02/01/2020 04:40 UTC,,,8.77,24.06,1.35,74.87,4.6,11.95,,-10.79,,ENE,,,,,,
MLGSD,02/01/2020 04:50 UTC,,,9.09,23.43,1.2,72.0,2.61,11.94,,-10.85,,ENE,,,,,,
MLGSD,02/01/2020 05:00 UTC,,,8.69,25.14,0.92,69.03,2.58,11.94,,-10.3,,ENE,,,,,,
MLGSD,02/01/2020 05:10 UTC,,,9.23,20.76,0.99,73.78,2.81,11.94,,-12.23,,ENE,,,,,,
MLGSD,02/01/2020 05:20 UTC,,,8.85,24.44,0.83,78.24,2.97,11.93,,-10.52,,ENE,,,,,,
MLGSD,02/01/2020 05:30 UTC,,,8.57,26.01,0.54,85.9,1.4,11.93,,-9.98,,E,,,,,,
MLGSD,02/01/2020 05:40 UTC,,,8.44,25.95,0.71,64.99,1.8,11.92,,-10.12,,ENE,,,,,,
MLGSD,02/01/2020 05:50 UTC,,,8.72,25.24,0.65,84.6,1.99,11.92,,-10.23,,E,,,,,,
MLGSD,02/01/2020 06:00 UTC,,,8.99,18.63,1.53,70.82,2.74,11.92,,-13.76,,ENE,,,,,,
MLGSD,02/01/2020 06:10 UTC,,,9.43,16.14,1.22,73.06,3.63,11.91,,-15.13,,ENE,,,,,,
MLGSD,02/01/2020 06:20 UTC,,,9.64,14.55,1.13,70.71,2.09,11.91,,-16.2,,ENE,,,,,,
MLGSD,02/01/2020 06:30 UTC,,,9.5,13.13,0.92,68.66,2.03,11.9,,-17.52,,ENE,,,,,,
MLGSD,02/01/2020 06:40 UTC,,,9.54,11.66,1.18,60.96,2.25,11.9,,-18.87,,ENE,,,,,,
MLGSD,02/01/2020 06:50 UTC,,,9.88,10.65,1.15,71.69,2.52,11.9,,-19.64,,ENE,,,,,,
MLGSD,02/01/2020 07:00 UTC,,,9.68,10.47,1.14,63.52,2.16,11.89,,-19.99,,ENE,,,,,,
MLGSD,02/01/2020 07:10 UTC,,,9.8,9.57,1.11,71.49,2.12,11.89,,-20.91,,ENE,,,,,,
MLGSD,02/01/2020 07:20 UTC,,,9.74,9.25,1.29,68.87,2.39,11.89,,-21.34,,ENE,,,,,,
MLGSD,02/01/2020 07:30 UTC,,,9.9,8.75,1.42,64.99,2.58,11.88,,-21.84,,ENE,,,,,,
MLGSD,02/01/2020 07:40 UTC,,,10.12,8.54,1.7,66.9,3.17,11.88,,-21.94,,ENE,,,,,,
MLGSD,02/01/2020 07:50 UTC,,,9.81,8.82,1.47,69.06,3.13,11.87,,-21.82,,ENE,,,,,,
MLGSD,02/01/2020 08:00 UTC,,,9.84,9.12,1.24,61.77,2.09,11.87,,-21.42,,ENE,,,,,,
MLGSD,02/01/2020 08:10 UTC,,,9.81,9.16,1.57,65.04,3.56,11.87,,-21.4,,ENE,,,,,,
MLGSD,02/01/2020 08:20 UTC,,,9.91,9.49,1.53,67.97,3.56,11.86,,-20.92,,ENE,,,,,,
MLGSD,02/01/2020 08:30 UTC,,,9.64,10.15,1.47,65.57,2.88,11.86,,-20.37,,ENE,,,,,,
MLGSD,02/01/2020 08:40 UTC,,,9.74,9.89,1.5,72.62,3.33,11.85,,-20.59,,ENE,,,,,,
MLGSD,02/01/2020 08:50 UTC,,,9.98,9.04,1.62,64.88,2.88,11.85,,-21.42,,ENE,,,,,,
MLGSD,02/01/2020 09:00 UTC,,,10.09,8.33,1.7,58.52,3.76,11.85,,-22.24,,ENE,,,,,,
MLGSD,02/01/2020 09:10 UTC,,,10.19,7.96,1.37,63.29,3.36,11.84,,-22.67,,ENE,,,,,,
MLGSD,02/01/2020 09:20 UTC,,,9.97,8.01,1.3,60.09,2.22,11.84,,-22.77,,ENE,,,,,,
MLGSD,02/01/2020 09:30 UTC,,,10.34,7.68,1.53,58.03,3.95,11.84,,-22.95,,ENE,,,,,,
MLGSD,02/01/2020 09:40 UTC,,,10.31,7.71,1.42,65.42,3.27,11.83,,-22.93,,ENE,,,,,,
MLGSD,02/01/2020 09:50 UTC,,,10.12,8.23,0.8,53.39,1.73,11.83,,-22.35,,NE,,,,,,
MLGSD,02/01/2020 10:00 UTC,,,10.1,8.17,0.73,60.46,2.35,11.83,,-22.45,,ENE,,,,,,
MLGSD,02/01/2020 10:10 UTC,,,10.25,8.65,0.74,43.36,2.19,11.82,,-21.7,,NE,,,,,,
MLGSD,02/01/2020 10:20 UTC,,,10.2,8.25,0.67,69.27,2.55,11.82,,-22.27,,ENE,,,,,,
MLGSD,02/01/2020 10:30 UTC,,,10.09,8.32,0.7,209.2,2.25,11.82,,-22.26,,SSW,,,,,,
MLGSD,02/01/2020 10:40 UTC,,,9.95,8.37,0.91,52.01,3.53,11.81,,-22.3,,NE,,,,,,
MLGSD,02/01/2020 10:50 UTC,,,10.68,8.07,1.1,55.29,3.82,11.81,,-22.15,,NE,,,,,,
MLGSD,02/01/2020 11:00 UTC,,,10.88,8.65,1.13,28.52,3.72,11.8,,-21.22,,NNE,,,,,,
MLGSD,02/01/2020 11:10 UTC,,,10.63,9.58,1.06,34.57,3.88,11.8,,-20.26,,NE,,,,,,
MLGSD,02/01/2020 11:20 UTC,,,10.37,10.52,1.03,49.96,3.27,11.8,,-19.4,,NE,,,,,,
MLGSD,02/01/2020 11:30 UTC,,,10.51,10.66,1.09,33.36,3.72,11.79,,-19.14,,NNE,,,,,,
MLGSD,02/01/2020 11:40 UTC,,,10.35,11.05,0.68,28.47,2.12,11.79,,-18.85,,NNE,,,,,,
MLGSD,02/01/2020 11:50 UTC,,,10.41,11.45,0.85,27.3,2.45,11.79,,-18.39,,NNE,,,,,,
MLGSD,02/01/2020 12:00 UTC,,,10.39,12.75,1.11,43.72,4.05,11.78,,-17.15,,NE,,,,,,
MLGSD,02/01/2020 12:10 UTC,,,10.58,13.7,1.74,40.8,4.93,11.78,,-16.16,,NE,,,,,,
MLGSD,02/01/2020 12:20 UTC,,,10.52,14.1,1.08,34.0,3.36,11.78,,-15.86,,NE,,,,,,
MLGSD,02/01/2020 12:30 UTC,,,10.44,14.63,1.34,25.8,3.82,11.77,,-15.49,,NNE,,,,,,
MLGSD,02/01/2020 12:40 UTC,,,10.36,15.13,1.22,40.82,3.53,11.77,,-15.15,,NE,,,,,,
MLGSD,02/01/2020 12:50 UTC,,,10.38,15.69,1.36,33.89,4.6,11.76,,-14.7,,NE,,,,,,
MLGSD,02/01/2020 13:00 UTC,,,10.46,15.65,1.65,30.21,5.52,11.76,,-14.66,,NNE,,,,,,
MLGSD,02/01/2020 13:10 UTC,,,10.3,15.84,1.7,35.67,4.96,11.76,,-14.65,,NE,,,,,,
MLGSD,02/01/2020 13:20 UTC,,,10.1,16.37,1.46,32.92,5.03,11.76,,-14.42,,NNE,,,,,,
