# STATION: SVCSD
# STATION NAME: San Vicente
# LATITUDE: 32.91264
# LONGITUDE: -116.95121
# ELEVATION [ft]: 562
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
SVCSD,02/01/2020 00:00 UTC,,,24.58,24.04,2.33,282.9,5.1,13.6,,2.69,,WNW,,,,,,
SVCSD,02/01/2020 00:10 UTC,,,24.0,27.13,2.52,285.9,4.77,13.6,,3.9,,WNW,,,,,,
SVCSD,02/01/2020 00:20 UTC,,,23.0,30.58,2.65,289.1,5.07,13.34,,4.73,,WNW,,,,,,
SVCSD,02/01/2020 00:30 UTC,,,22.02,31.62,2.48,294.3,4.96,13.06,,4.35,,WNW,,,,,,
SVCSD,02/01/2020 00:40 UTC,,,21.62,32.85,1.76,304.5,3.95,13.02,,4.54,,NW,,,,,,
SVCSD,02/01/2020 00:50 UTC,,,21.22,33.92,1.75,294.1,4.28,13.0,,4.65,,WNW,,,,,,
SVCSD,02/01/2020 01:00 UTC,,,20.64,35.86,0.37,315.1,2.74,12.98,,4.93,,NW,,,,,,
SVCSD,02/01/2020 01:10 UTC,,,20.42,36.59,0.25,23.39,1.08,12.96,,5.02,,NNE,,,,,,
SVCSD,02/01/2020 01:20 UTC,,,20.06,37.57,1.59,273.3,3.33,12.94,,5.08,,W,,,,,,
SVCSD,02/01/2020 01:30 UTC,,,19.19,40.03,1.06,323.4,2.48,12.94,,5.21,,NW,,,,,,
SVCSD,02/01/2020 01:40 UTC,,,17.04,45.97,0.76,301.5,1.76,12.93,,5.25,,WNW,,,,,,
SVCSD,02/01/2020 01:50 UTC,,,15.24,50.77,0.8,302.4,1.53,12.92,,5.03,,WNW,,,,,,
SVCSD,02/01/2020 02:00 UTC,,,13.75,55.25,0.94,318.3,1.4,12.91,,4.86,,NW,,,,,,
SVCSD,02/01/2020 02:10 UTC,,,12.42,59.32,1.12,312.6,1.6,12.9,,4.64,,NW,,,,,,
SVCSD,02/01/2020 02:20 UTC,,,11.84,60.81,0.65,309.9,1.11,12.9,,4.45,,NW,,,,,,
SVCSD,02/01/2020 02:30 UTC,,,11.38,61.95,0.89,305.0,1.6,12.89,,4.28,,NW,,,,,,
SVCSD,02/01/2020 02:40 UTC,,,11.06,62.9,0.8,311.0,1.6,12.89,,4.19,,NW,,,,,,
SVCSD,02/01/2020 02:50 UTC,,,10.7,64.39,0.79,314.6,1.53,12.88,,4.19,,NW,,,,,,
SVCSD,02/01/2020 03:00 UTC,,,10.38,64.98,1.63,310.8,2.22,12.87,,4.01,,NW,,,,,,
SVCSD,02/01/2020 03:10 UTC,,,10.8,63.3,1.4,311.9,2.45,12.86,,4.04,,NW,,,,,,
SVCSD,02/01/2020 03:20 UTC,,,10.31,65.08,1.02,318.2,2.09,12.86,,3.97,,NW,,,,,,
SVCSD,02/01/2020 03:30 UTC,,,10.04,64.69,1.52,305.5,2.16,12.85,,3.63,,NW,,,,,,
SVCSD,02/01/2020 03:40 UTC,,,10.48,61.62,1.34,313.9,2.25,12.85,,3.35,,NW,,,,,,
SVCSD,02/01/2020 03:50 UTC,,,10.49,59.86,0.86,309.7,1.57,12.84,,2.94,,NW,,,,,,
SVCSD,02/01/2020 04:00 UTC,,,9.85,61.75,0.28,320.0,1.31,12.84,,2.78,,NW,,,,,,
SVCSD,02/01/2020 04:10 UTC,,,9.23,63.45,1.11,320.7,1.99,12.83,,2.58,,NW,,,,,,
SVCSD,02/01/2020 04:20 UTC,,,8.54,64.79,1.64,308.4,2.84,12.83,,2.22,,NW,,,,,,
SVCSD,02/01/2020 04:30 UTC,,,8.67,63.33,1.3,312.9,2.48,12.82,,2.02,,NW,,,,,,
SVCSD,02/01/2020 04:40 UTC,,,8.58,63.39,0.77,317.5,1.6,12.82,,1.95,,NW,,,,,,
SVCSD,02/01/2020 04:50 UTC,,,8.42,63.38,1.27,314.5,2.71,12.81,,1.79,,NW,,,,,,
SVCSD,02/01/2020 05:00 UTC,,,8.48,61.92,1.0,315.3,1.76,12.81,,1.52,,NW,,,,,,
SVCSD,02/01/2020 05:10 UTC,,,7.49,65.25,1.08,307.1,2.03,12.8,,1.32,,NW,,,,,,
SVCSD,02/01/2020 05:20 UTC,,,7.42,65.42,1.41,310.2,2.03,12.8,,1.29,,NW,,,,,,
SVCSD,02/01/2020 05:30 UTC,,,7.57,64.19,1.36,317.0,1.96,12.79,,1.17,,NW,,,,,,
SVCSD,02/01/2020 05:40 UTC,,,7.67,62.76,1.34,307.2,2.28,12.79,,0.94,,NW,,,,,,
SVCSD,02/01/2020 05:50 UTC,,,7.53,62.7,1.13,313.0,2.35,12.79,,0.8,,NW,,,,,,
SVCSD,02/01/2020 06:00 UTC,,,7.36,62.89,0.78,314.6,1.93,12.78,,0.68,,NW,,,,,,
SVCSD,02/01/2020 06:10 UTC,,,6.95,64.38,1.16,315.6,1.99,12.78,,0.62,,NW,,,,,,
SVCSD,02/01/2020 06:20 UTC,,,7.14,62.87,1.39,313.4,2.52,12.77,,0.47,,NW,,,,,,
SVCSD,02/01/2020 06:30 UTC,,,6.91,63.59,1.03,321.0,1.76,12.77,,0.41,,NW,,,,,,
