# STATION: SWRSD
# STATION NAME: Sweetwater River
# LATITUDE: 32.83174
# LONGITUDE: -116.62835
# ELEVATION [ft]: 3394
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,volt_set_1,wind_gust_set_1,wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,volts,m/s,Degrees,Celsius,Celsius,code,Celsius
SWRSD,01/31/2020 23:00 PST,14.92,15.22,6.38,12.88,9.24,56.33,-11.38,,ENE,
SWRSD,01/31/2020 23:10 PST,14.9,14.49,6.16,12.88,9.18,56.38,-12.0,,ENE,
SWRSD,01/31/2020 23:20 PST,14.96,12.79,5.76,12.88,8.65,53.49,-13.48,,NE,
SWRSD,01/31/2020 23:30 PST,15.02,11.39,5.24,12.87,8.27,57.7,-14.83,,ENE,
SWRSD,01/31/2020 23:40 PST,14.85,10.61,4.75,12.87,7.45,60.37,-15.81,,ENE,
SWRSD,01/31/2020 23:50 PST,14.84,9.97,4.91,12.87,7.8,60.72,-16.55,,ENE,
SWRSD,02/01/2020 00:00 PST,14.48,10.17,4.76,12.86,7.32,69.7,-16.59,,ENE,
SWRSD,02/01/2020 00:10 PST,14.24,10.03,4.69,12.86,7.09,68.02,-16.94,,ENE,
SWRSD,02/01/2020 00:20 PST,13.6,10.55,3.8,12.86,5.65,66.37,-16.85,,ENE,
SWRSD,02/01/2020 00:30 PST,13.61,10.32,4.8,12.85,6.83,63.24,-17.1,,ENE,
SWRSD,02/01/2020 00:40 PST,13.2,10.65,4.78,12.85,7.02,68.62,-17.05,,ENE,
SWRSD,02/01/2020 00:50 PST,12.43,11.43,4.86,12.84,6.57,72.43,-16.82,,ENE,
SWRSD,02/01/2020 01:00 PST,12.6,10.88,4.33,12.84,6.37,78.77,-17.27,,E,
SWRSD,02/01/2020 01:10 PST,12.4,11.35,3.8,12.83,5.49,82.3,-16.93,,E,
SWRSD,02/01/2020 01:20 PST,12.23,12.25,4.37,12.83,6.53,74.17,-16.16,,ENE,
SWRSD,02/01/2020 01:30 PST,12.44,11.79,4.47,12.82,5.65,68.49,-16.45,,ENE,
SWRSD,02/01/2020 01:40 PST,11.97,12.32,4.52,12.82,6.43,68.41,-16.3,,ENE,
SWRSD,02/01/2020 01:50 PST,11.71,12.64,5.43,12.82,7.48,64.59,-16.21,,ENE,
SWRSD,02/01/2020 02:00 PST,11.83,12.23,5.01,12.81,7.58,71.36,-16.5,,ENE,
SWRSD,02/01/2020 02:10 PST,10.97,13.51,5.13,12.81,7.09,70.32,-16.01,,ENE,
SWRSD,02/01/2020 02:20 PST,10.98,13.63,5.61,12.8,7.32,72.2,-15.9,,ENE,
SWRSD,02/01/2020 02:30 PST,11.09,13.17,4.19,12.8,6.73,73.93,-16.21,,ENE,
SWRSD,02/01/2020 02:40 PST,10.81,13.78,2.53,12.79,4.15,72.61,-15.9,,ENE,
