# STATION: VCMSD
# STATION NAME: Volcan Mountain
# LATITUDE: 33.10301
# LONGITUDE: -116.579742
# ELEVATION [ft]: 5154
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
VCMSD,01/31/2020 23:00 PST,,,11.4,14.47,5.93,85.1,7.02,12.82,,-14.84,,E,,,,,,
VCMSD,01/31/2020 23:10 PST,,,11.14,14.74,5.89,83.4,7.05,12.81,,-14.83,,E,,,,,,
VCMSD,01/31/2020 23:20 PST,,,11.11,14.28,5.83,82.2,6.73,12.81,,-15.24,,E,,,,,,
VCMSD,01/31/2020 23:30 PST,,,11.12,12.88,5.86,80.5,6.7,12.8,,-16.45,,E,,,,,,
VCMSD,01/31/2020 23:40 PST,,,11.09,13.53,6.15,78.13,6.86,12.8,,-15.9,,ENE,,,,,,
VCMSD,01/31/2020 23:50 PST,,,11.23,13.41,6.43,74.91,7.28,12.8,,-15.89,,ENE,,,,,,
VCMSD,02/01/2020 00:00 PST,,,11.38,13.45,6.64,70.57,7.28,12.79,,-15.73,,ENE,,,,,,
VCMSD,02/01/2020 00:10 PST,,,11.36,13.94,6.53,68.02,7.22,12.79,,-15.32,,ENE,,,,,,
VCMSD,02/01/2020 00:20 PST,,,11.58,13.98,6.9,63.8,7.48,12.78,,-15.11,,ENE,,,,,,
VCMSD,02/01/2020 00:30 PST,,,11.64,13.45,6.91,63.77,7.45,12.78,,-15.53,,ENE,,,,,,
VCMSD,02/01/2020 00:40 PST,,,11.61,13.3,7.05,62.02,7.58,12.78,,-15.68,,ENE,,,,,,
VCMSD,02/01/2020 00:50 PST,,,11.63,12.79,6.61,62.74,7.38,12.77,,-16.13,,ENE,,,,,,
VCMSD,02/01/2020 01:00 PST,,,12.18,10.13,6.47,62.08,7.64,12.77,,-18.42,,ENE,,,,,,
VCMSD,02/01/2020 01:10 PST,,,12.17,10.1,5.8,67.51,6.99,12.76,,-18.47,,ENE,,,,,,
VCMSD,02/01/2020 01:20 PST,,,12.05,10.62,5.49,70.84,6.67,12.76,,-17.98,,ENE,,,,,,
VCMSD,02/01/2020 01:30 PST,,,11.83,12.15,6.06,75.05,8.82,12.75,,-16.58,,ENE,,,,,,
