# STATION: WCKSD
# STATION NAME: Witch Creek
# LATITUDE: 33.07272
# LONGITUDE: -116.73794
# ELEVATION [ft]: 2517
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Pascals,Pascals,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
WCKSD,01/31/2020 23:00 PST,,,12.29,23.66,1.2,51.97,2.71,12.87,,-8.0,,NE,,,,,,
WCKSD,01/31/2020 23:10 PST,,,12.57,22.6,1.01,129.1,2.55,12.86,,-8.35,,SE,,,,,,
WCKSD,01/31/2020 23:20 PST,,,12.19,22.94,0.32,301.4,1.21,12.86,,-8.48,,WNW,,,,,,
WCKSD,01/31/2020 23:30 PST,,,12.06,21.63,0.76,78.43,2.28,12.85,,-9.34,,ENE,,,,,,
WCKSD,01/31/2020 23:40 PST,,,13.68,17.66,0.94,46.09,2.81,12.85,,-10.54,,NE,,,,,,
WCKSD,01/31/2020 23:50 PST,,,14.76,14.83,2.01,39.85,3.46,12.84,,-11.83,,NE,,,,,,
WCKSD,02/01/2020 00:00 PST,,,16.13,12.94,2.1,54.85,2.58,12.84,,-12.41,,NE,,,,,,
WCKSD,02/01/2020 00:10 PST,,,15.36,13.93,2.05,55.1,3.17,12.83,,-12.12,,NE,,,,,,
WCKSD,02/01/2020 00:20 PST,,,15.51,13.77,3.08,45.02,4.12,12.83,,-12.14,,NE,,,,,,
WCKSD,02/01/2020 00:30 PST,,,14.24,16.25,0.85,111.3,2.55,12.82,,-11.12,,ESE,,,,,,
WCKSD,02/01/2020 00:40 PST,,,13.31,16.92,0.56,151.9,2.12,12.82,,-11.38,,SSE,,,,,,
WCKSD,02/01/2020 00:50 PST,,,12.13,18.61,0.82,94.6,1.73,12.82,,-11.17,,E,,,,,,
WCKSD,02/01/2020 01:00 PST,,,12.33,18.1,1.2,146.1,2.48,12.81,,-11.35,,SE,,,,,,
WCKSD,02/01/2020 01:10 PST,,,12.31,18.28,0.43,168.4,1.47,12.81,,-11.24,,SSE,,,,,,
WCKSD,02/01/2020 01:20 PST,,,12.52,18.18,0.71,267.8,1.99,12.8,,-11.14,,W,,,,,,
WCKSD,02/01/2020 01:30 PST,,,11.86,21.15,1.6,211.2,2.81,12.8,,-9.79,,SSW,,,,,,
WCKSD,02/01/2020 01:40 PST,,,11.47,21.83,1.62,203.2,2.97,12.79,,-9.72,,SSW,,,,,,
WCKSD,02/01/2020 01:50 PST,,,11.46,22.15,1.53,311.0,2.81,12.79,,-9.55,,NW,,,,,,
WCKSD,02/01/2020 02:00 PST,,,11.56,21.19,0.62,281.9,1.4,12.78,,-10.02,,WNW,,,,,,
WCKSD,02/01/2020 02:10 PST,,,11.66,20.81,1.47,217.1,2.97,12.78,,-10.16,,SW,,,,,,
WCKSD,02/01/2020 02:20 PST,,,12.44,19.04,1.37,226.1,2.97,12.78,,-10.63,,SW,,,,,,
WCKSD,02/01/2020 02:30 PST,,,13.18,17.38,0.91,266.0,2.42,12.77,,-11.15,,W,,,,,,
